qrID,quoteText,responseText,topic,disagree_agree
1@0,"i got a good idea however , they do tend to stay with their own",by your own admission you havent 'hung out' with stoners for a while and you 're making generalisations about them to people who do spend a lot of time with stoners \?,marijuana legalization,0
1@1,be sure to give your guns a big fat kiss tonight before you go to bed tonight 'cuz guns did really good today,"actually , they did n't the whole tragedy was caused by gun control if even one student was packing when that occured , 33 lives could have been saved but no , more victims of botched laws and corrupt politicians",gun control,0
1@2,"one of the biggest arguments against gun control is that if the government became too oppressive , the people would n't have the capacity to carry out a successful rebellion of course , if the government was becoming oppressive , it would likely implement gun control , so the absence of gun control is necessary to ensure that we do not take a plunge towards fascism !","not quite to be more correct regarding government and guns , the right to own weapons is for the right to revolt and revolt with violence our political philosophy is very clear on this that whenever any form of government becomes destructive of these ends , it is the right of the people to alter or to abolish it declearation of independace you have the right to try and revolt with violence you do n't have the right to win a revolt",gun control,0
1@3,"first of all , compare the b specimen in your fossil link to the modern specimen and point out any significant difference to me","at your service comparison i could 've just circled the whole thing , but this makes it clearer plus it 's overall body shape is fatter",evolution,0
1@4,"there are some incedents that are beyond your control if you own a rifle or large handgun , it 's at your own risk",well yes,gun control,1
1@6,legality does not matter religous implications do not matter other peoples moral considerations do not matter what matters is you and what you are going to think about yourself in 5 years,"exact , to the point , amp beautiful",abortion,1
2@0,it can go both ways we all doubt it is what you do with it that matters,true,evolution,1
2@1,"once again , you seem to support the killing of certain people based on what \?","based on the idea that people are dispensible , particularly if they obstruct your well being a woman would abort her baby because being a mother contradicts her idea of well being in the same way we send soldiers to kill the enemy if they are deemed contrary to the well being of our country can you be against abortion and pro war \?",abortion,1
2@2,"i personly would not condone an abortion , however i would n't condem a person who wanted one its there choice you ca n't pass your ideas of when life began ect on to another person but its highly debatable and each person has a right to decide for themselves you can not prove life begans at conception , and the burden of proof for taking away one 's rights relys on proof points 1 \) child birth is dangerious , deadly and painful many women have died during child labor due to our bi pedalism the female hip is much smaller than it should be making it most of the time impossible to give birth \( thus a c section \) how can you force someone to carry around a child they do not want for 9 months \? 2 \) rape 3 \) if you try to stop it , you wo n't you will just put it back on the street \( much like drugs \) doctors will be preforming back alley abortions 4 \) if your mother doesnt' want you who will \? people say oh adoption is in such high demand true however its not because of a lack of children its because of buerocratic xxxxxxxx the gov does n't want to be responsible for child abuse so they over screen adoption parents and make it diffucult to get a child the cost is astronomical 5 \) overpopulation is a problem note religion should not influence your decision in law making only in personal moral decisions","this is a pretty touchy issue , and i agree with the different points of view most of them make sense while i do n't personally agree with abortion , i do n't feel that i have the right to tell someone else what they should do the way i see it , is that it 's their body , their life , they are the ones who will be affected by their decision i do n't have to like the choices someone else makes , and i do n't have to agree with it , but while i have that right , i also believe that people should have the right to make those decisions are these anti abortion people going to step in and pay for the cost of having the baby , raising it , etc \? \? \? maybe some of those are the issues people consider when having an abortion maybe the woman was raped i see the point when someone said that the baby should not be punished for that , and i agree with that , but the rape was committed against the woman 's will she did n't ask for that to happen , and if a pregnancy results from that , that is also against her will , so why should she feel that she has to have the child \? what does she tell the child when it decides to ask who its father is \? \? the child could still be born and given up for adoption , and that is a good idea , but maybe the woman will relive the rape throughout the pregnancy by being reminded of it on a daily basis all i feel is until it happens to you , and you are forced to make these kinds of choices , you should n't judge anyone else for the choices that they make",abortion,1
2@4,alright how did evolution start \?,see above,evolution,1
2@5,do you not even get statutory sick pay \?,you have to be off for more than 4 days and after that i would get the princely sum of 79 15 per week hardly worth having unlike teachers i cannot stay at home and get paid when it snows too,healthcare,1
