qrID,quoteText,responseText,topic,emotion_fact
1@0,"i got a good idea however , they do tend to stay with their own",by your own admission you havent 'hung out' with stoners for a while and you 're making generalisations about them to people who do spend a lot of time with stoners \?,marijuana legalization,0
1@2,"one of the biggest arguments against gun control is that if the government became too oppressive , the people would n't have the capacity to carry out a successful rebellion of course , if the government was becoming oppressive , it would likely implement gun control , so the absence of gun control is necessary to ensure that we do not take a plunge towards fascism !","not quite to be more correct regarding government and guns , the right to own weapons is for the right to revolt and revolt with violence our political philosophy is very clear on this that whenever any form of government becomes destructive of these ends , it is the right of the people to alter or to abolish it declearation of independace you have the right to try and revolt with violence you do n't have the right to win a revolt",gun control,1
1@4,"there are some incedents that are beyond your control if you own a rifle or large handgun , it 's at your own risk",well yes,gun control,0
1@6,legality does not matter religous implications do not matter other peoples moral considerations do not matter what matters is you and what you are going to think about yourself in 5 years,"exact , to the point , amp beautiful",abortion,0
2@1,"once again , you seem to support the killing of certain people based on what \?","based on the idea that people are dispensible , particularly if they obstruct your well being a woman would abort her baby because being a mother contradicts her idea of well being in the same way we send soldiers to kill the enemy if they are deemed contrary to the well being of our country can you be against abortion and pro war \?",abortion,0
2@2,"i personly would not condone an abortion , however i would n't condem a person who wanted one its there choice you ca n't pass your ideas of when life began ect on to another person but its highly debatable and each person has a right to decide for themselves you can not prove life begans at conception , and the burden of proof for taking away one 's rights relys on proof points 1 \) child birth is dangerious , deadly and painful many women have died during child labor due to our bi pedalism the female hip is much smaller than it should be making it most of the time impossible to give birth \( thus a c section \) how can you force someone to carry around a child they do not want for 9 months \? 2 \) rape 3 \) if you try to stop it , you wo n't you will just put it back on the street \( much like drugs \) doctors will be preforming back alley abortions 4 \) if your mother doesnt' want you who will \? people say oh adoption is in such high demand true however its not because of a lack of children its because of buerocratic xxxxxxxx the gov does n't want to be responsible for child abuse so they over screen adoption parents and make it diffucult to get a child the cost is astronomical 5 \) overpopulation is a problem note religion should not influence your decision in law making only in personal moral decisions","this is a pretty touchy issue , and i agree with the different points of view most of them make sense while i do n't personally agree with abortion , i do n't feel that i have the right to tell someone else what they should do the way i see it , is that it 's their body , their life , they are the ones who will be affected by their decision i do n't have to like the choices someone else makes , and i do n't have to agree with it , but while i have that right , i also believe that people should have the right to make those decisions are these anti abortion people going to step in and pay for the cost of having the baby , raising it , etc \? \? \? maybe some of those are the issues people consider when having an abortion maybe the woman was raped i see the point when someone said that the baby should not be punished for that , and i agree with that , but the rape was committed against the woman 's will she did n't ask for that to happen , and if a pregnancy results from that , that is also against her will , so why should she feel that she has to have the child \? what does she tell the child when it decides to ask who its father is \? \? the child could still be born and given up for adoption , and that is a good idea , but maybe the woman will relive the rape throughout the pregnancy by being reminded of it on a daily basis all i feel is until it happens to you , and you are forced to make these kinds of choices , you should n't judge anyone else for the choices that they make",abortion,0
2@3,"first , there is no us on your part regarding this i am talking to you others here that argue your same positions have been much less beligerent , so as far as i'm concerned your attitude sets you apart second , i was n't trying to give you justification , nor am i obligated to you should be giving justification for wanting to redefine marriage as an institution which you have n't done but i do n't owe you any justification take your silly games up with mana'ia they wo n't work with me you 're right , as well as having the institution of marriage on the line but you are the one who seems to think this is a game , based on your posts \( with your comments like you 've won he 's lost , and other silly things , as if this is a basketball game or something \) it seems you 'd do well to take your own advice if you want people to constantly have to justify something to you , then you should make your own compelling arguments first throw something out there yourself rather than expect everyone else to do it for you no one owes you anything here as for me , i'm not interested in your little games","ah , i see your reasons are secret reasons on a debate forum , about gay rights , you oppose it based on well you wo n't say ! nice debate who 's really playing the game here \? i have already listed on a number of posts why it 's not constitutional since you missed it \( it 's only the first post in the thread \) for gay coupes right to be married \( or the same legal status \) 1 human rights with regards to legal classifcation and the benefits therein are desired by comitted consenting adults of the same gender 2 it 's a contract between two consenting adults 3 a contract that does not violate anyone 's legal rights or cause any significant ill effects to the public welfare it 's unconstitutional to allow one group of people access to marriage rights \( hetero couples only \) , and not allow it to female female and male male couples when they are obviously lobbying for it in significant numbers it 's now a public issue on a significant scale of course , maybe if you had a reason for objecting to gays being treated equally with regards to the rights of marriage , we would understand not only why you are reluctant to back your claim , but why your reason is also not constitutional you can call it games , i call it justifying my position while pointing out how opponents of gay rights , such as yourself , really ca n't make any reasonable justification for their desire to restrict human rights , other than saying well i want to or in your case shhh it 's a secret you know what we call it on the debate forum when one side refuses to present or rebut arguments \? losing the debate i realize winning and losing i e being right and being wrong are not concepts found in religion , where anything goes but out here in the real world actions have consequences , and words yes , imagine that , have specific meanings you verbally support a movement that restricts human rights , yet wo n't give us reasons for your position i find that appalling yet you are content with labeling me as playing games how ironic mach",gay marriage,0
2@4,alright how did evolution start \?,see above,evolution,1
2@5,do you not even get statutory sick pay \?,you have to be off for more than 4 days and after that i would get the princely sum of 79 15 per week hardly worth having unlike teachers i cannot stay at home and get paid when it snows too,healthcare,1
2@6,"too bad that does n't automatically give you the excuse to support discredited beliefs and it gives you no protection when others tell you to shut up and change your argument to address the facts abortion was never in the constitution however the second amendment and gun ownership is , was , and always has been roe v wade was judicial activism , heller was just the courts doing their job after 30 long years of trying to avoid the subject the two cases are n't comparable in the least stop using them","in other words , you think a supreme court decision should only shut down the debate if it 's a decision you agree with roe v wade and heller do share some striking similarities for example , scalia stated in heller nothing in our opinion should be taken to cast doubt on long standing prohibitions on the possession of firearms by felons and the mentally ill , or laws forbidding the carrying of firearms in sensitive places such as schools and government buildings , or laws imposing conditions and qualifications on the commercial sale of arms however , the text of the constitution has as much to say about such restrictions as it does about abortion i 've heard that scalia has been criticized for making such a statement because there is no clear historical precedent dating back 200 years of banning felons from owning firearms so neither the text of the second amendment nor tradition justifies such restrictions it is an example of judicial lawmaking",gun control,1
3@1,"strange , i was under the impression this article was referring to the roman catholic church",you 're not one of those people who does n't consider catholics christians are you \?,abortion,0
3@2,"and dont you get a kick out of sp calling herself a rational christian as she blasphemes god and attempts to disprove him in every post \? this is a person who does n't even know what the word hypocrite means , so she keeps that label under her user name","actually he does n't believe in a liar god like you , so really it 's you who 's the blasphemer and he 's a christian , you 're a biblist he actually follows christ , you just try to maintain the credibility of your god book",evolution,0
3@3,"well , i was n't an fortunate as you it took me a few years to see through the fairy tale of evolution and see that god was the only true creator however , that is a whole 'nother topic","um , yeah , you could say that \( wo n't argue left up to the evolution board \)",existence of God,0
3@4,"i love these kinds of arguments ! both sides are in denial and see the other as stupid only one of them can be right , or else hooray ! pass the popcorn !","i'm not in denial about anything and do n't think evo 's are stupid because they do n't agree with me obiviously , things do n't work both ways",evolution,0
3@5,"actually , i strongly disagree with gay marriage anyway it just is n't marriage it is hypocritical and just plain disugusting",because you say so \?,gay marriage,0
3@6,that gives me an idea why do n't we have a competition to come up with the best suggestion for a display or show at this theme park \? the winner gets to feel smug for being so clever,oh ! mememe ! i have an idea ! the museum staff hire \( or possibly abduct \) a few evolutionists and put them in stocks the visiting kids then come to the gallery to give mum and dad a break for an hour and get to ask the scientists questions about the origin of the earth and why fossils are different from things alive today each time an evolutionist gives an answer based on science they get pelted with the leftover veg from the dino pit lunchtime display this way the kids learn an important lesson in how to deal with scientists as well as being good for the environment by putting all that veg the dinos would n't eat to good use ! yay !,evolution,0
4@1,"then , there are various fossilization mechanisms i could n't find any good information about the rates of said mechanisms , so i thought this thread might start some good debate on the subject because of that now , how long did the fossilization take \? did it take 10 or 10 , 000 or 10 , 000 , 000 years \? are the fossils we see all the result of one big 'tragic' event for all , or little 'tragic' events for each \? any thoughts \?","well , google is your friend here try fossil and see what you get alternatively click the link in my sig and look in the archive section at talk origins it is not possible to break fossilisation down into such simple notions as one big preservation event and lots of little preservations if you can think of some examples of fossils then we can examine them more specifically as what can be said about the circumstances of their preservation i 've been a bit vague here as it is a \) such a broad subject to describe succinctly b \) i'm tired and c \) i'm full of cold no doubt someone who is n't under the influence of b \) and or c \) will chime in as well with more details while i pull round now , where was my hankerchief",evolution,1
4@2,"do you mean sexually molesting children \? again , i think that harms and forces something on someone","what if a 13 year old girl comes up to you and asks for sex , and you agree \? are you forcing yourself on to her \?",existence of God,0
4@3,"and the king of babylon smote them and put them to death at riblah , in the land of hamath thus judah was exiled from its land rather , a sceptre refers exclusively to rulership , not political independence , as seen in the following passage","you did n't bother to read the link , i see , which said during the 70 year babylonian captivity , from 606 537 b c , the southern kingdom of israel , judah , had lost it 's national sovereignty , but retained it 's tribal staff or national identity 2 it is very significant that in the book of ezra we read that during the 70 year babylonian captivity the jews still retained their own lawgivers or judges 3 the jews maintained their identity and judicial authority over their own people even during 70 years of slavery the scepter had not been lost during the babylonian captivity",existence of God,1
4@4,coal can form quickly when forests and marine creatures are buried rapidly there are extensive depositives of coal throughout the whole world which indicate a global flood with catastrophic conditions,reference please,evolution,1
