Using GPU: 0...
X_train.shape=(33444, 2, 64), y_train.shape=(33444,);
X_test.shape=(11226, 2, 64), y_test.shape=(11226,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9516045739579491
model.bilstm.bilstm.weight_ih_l0
model.bilstm.bilstm.weight_hh_l0
model.bilstm.bilstm.bias_ih_l0
model.bilstm.bilstm.bias_hh_l0
model.bilstm.bilstm.weight_ih_l0_reverse
model.bilstm.bilstm.weight_hh_l0_reverse
model.bilstm.bilstm.bias_ih_l0_reverse
model.bilstm.bilstm.bias_hh_l0_reverse
model.quote_attention_Wy.weight
model.quote_attention_Wh.weight
model.quote_attention_Wa.weight
model.response_attention_Wy.weight
model.response_attention_Wh.weight
model.response_attention_Wa.weight
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.250000, cost=1.111313, test acc=0.269998, cost=1.076175, disagree_f1=0.386504, neural_f1=0.118441, agree_f1=0.000000, average_f1=0.168315
BATCH 2 training acc=0.281250, cost=1.100406, test acc=0.364956, cost=1.056241, disagree_f1=0.417940, neural_f1=0.347855, agree_f1=0.000000, average_f1=0.255265
BATCH 3 training acc=0.406250, cost=1.084841, test acc=0.372884, cost=1.058510, disagree_f1=0.420487, neural_f1=0.362743, agree_f1=0.030347, average_f1=0.271192
BATCH 4 training acc=0.343750, cost=1.040652, test acc=0.441742, cost=1.044005, disagree_f1=0.447657, neural_f1=0.488524, agree_f1=0.112763, average_f1=0.349648
BATCH 5 training acc=0.375000, cost=1.051261, test acc=0.522804, cost=1.027534, disagree_f1=0.484263, neural_f1=0.616744, agree_f1=0.212373, average_f1=0.437793
BATCH 6 training acc=0.343750, cost=1.035534, test acc=0.619633, cost=1.014534, disagree_f1=0.526971, neural_f1=0.754193, agree_f1=0.333898, average_f1=0.538354
BATCH 7 training acc=0.625000, cost=0.999703, test acc=0.680296, cost=0.991322, disagree_f1=0.558565, neural_f1=0.830058, agree_f1=0.367119, average_f1=0.585247
BATCH 8 training acc=0.687500, cost=0.952739, test acc=0.689025, cost=0.962729, disagree_f1=0.561508, neural_f1=0.843405, agree_f1=0.366519, average_f1=0.590477
BATCH 9 training acc=0.718750, cost=0.960921, test acc=0.671922, cost=0.937186, disagree_f1=0.542797, neural_f1=0.833050, agree_f1=0.359149, average_f1=0.578332
BATCH 10 training acc=0.687500, cost=0.906443, test acc=0.653661, cost=0.913002, disagree_f1=0.512901, neural_f1=0.823337, agree_f1=0.354465, average_f1=0.563567
BATCH 11 training acc=0.687500, cost=0.854886, test acc=0.667557, cost=0.877056, disagree_f1=0.514217, neural_f1=0.840304, agree_f1=0.361222, average_f1=0.571914
BATCH 12 training acc=0.593750, cost=1.031947, test acc=0.700606, cost=0.819686, disagree_f1=0.518221, neural_f1=0.872235, agree_f1=0.378935, average_f1=0.589797
BATCH 13 training acc=0.625000, cost=0.886186, test acc=0.712720, cost=0.771953, disagree_f1=0.495584, neural_f1=0.886534, agree_f1=0.389890, average_f1=0.590669
BATCH 14 training acc=0.687500, cost=0.920561, test acc=0.740068, cost=0.716457, disagree_f1=0.478888, neural_f1=0.908938, agree_f1=0.414325, average_f1=0.600717
BATCH 15 training acc=0.593750, cost=0.827647, test acc=0.754142, cost=0.671908, disagree_f1=0.465545, neural_f1=0.918915, agree_f1=0.427429, average_f1=0.603963
BATCH 16 training acc=0.625000, cost=0.888961, test acc=0.767771, cost=0.628425, disagree_f1=0.492868, neural_f1=0.924345, agree_f1=0.437079, average_f1=0.618097
BATCH 17 training acc=0.843750, cost=0.532023, test acc=0.773027, cost=0.588572, disagree_f1=0.525969, neural_f1=0.925133, agree_f1=0.426869, average_f1=0.625990
BATCH 18 training acc=0.812500, cost=0.649007, test acc=0.775788, cost=0.565374, disagree_f1=0.563408, neural_f1=0.924314, agree_f1=0.418017, average_f1=0.635246
BATCH 19 training acc=0.656250, cost=0.810896, test acc=0.767148, cost=0.567803, disagree_f1=0.574833, neural_f1=0.917249, agree_f1=0.410485, average_f1=0.634189
BATCH 20 training acc=0.656250, cost=0.716701, test acc=0.748619, cost=0.590764, disagree_f1=0.564644, neural_f1=0.905837, agree_f1=0.397782, average_f1=0.622754
BATCH 21 training acc=0.687500, cost=0.796473, test acc=0.726350, cost=0.632038, disagree_f1=0.563528, neural_f1=0.888647, agree_f1=0.379826, average_f1=0.610667
BATCH 22 training acc=0.656250, cost=0.781520, test acc=0.728131, cost=0.628033, disagree_f1=0.561168, neural_f1=0.890708, agree_f1=0.381826, average_f1=0.611234
BATCH 23 training acc=0.687500, cost=0.800433, test acc=0.737484, cost=0.608893, disagree_f1=0.565072, neural_f1=0.898161, agree_f1=0.388684, average_f1=0.617306
BATCH 24 training acc=0.687500, cost=0.884677, test acc=0.747105, cost=0.585954, disagree_f1=0.555771, neural_f1=0.906680, agree_f1=0.401325, average_f1=0.621259
BATCH 25 training acc=0.593750, cost=0.911060, test acc=0.766346, cost=0.547186, disagree_f1=0.550504, neural_f1=0.921513, agree_f1=0.418154, average_f1=0.630057
BATCH 26 training acc=0.593750, cost=0.650363, test acc=0.779352, cost=0.524796, disagree_f1=0.566933, neural_f1=0.927412, agree_f1=0.426426, average_f1=0.640257
BATCH 27 training acc=0.593750, cost=0.831672, test acc=0.785320, cost=0.513812, disagree_f1=0.592558, neural_f1=0.928752, agree_f1=0.420843, average_f1=0.647384
BATCH 28 training acc=0.781250, cost=0.516505, test acc=0.789774, cost=0.511367, disagree_f1=0.628208, neural_f1=0.928459, agree_f1=0.401931, average_f1=0.652866
BATCH 29 training acc=0.468750, cost=0.989111, test acc=0.793782, cost=0.520017, disagree_f1=0.675937, neural_f1=0.924813, agree_f1=0.364412, average_f1=0.655054
BATCH 30 training acc=0.687500, cost=0.643225, test acc=0.795831, cost=0.522842, disagree_f1=0.693925, neural_f1=0.924230, agree_f1=0.332750, average_f1=0.650301
BATCH 31 training acc=0.625000, cost=0.742026, test acc=0.800374, cost=0.515547, disagree_f1=0.694915, neural_f1=0.927180, agree_f1=0.338119, average_f1=0.653405
BATCH 32 training acc=0.750000, cost=0.491349, test acc=0.804205, cost=0.503666, disagree_f1=0.685331, neural_f1=0.930041, agree_f1=0.364286, average_f1=0.659886
BATCH 33 training acc=0.781250, cost=0.553246, test acc=0.806075, cost=0.503501, disagree_f1=0.692889, neural_f1=0.930041, agree_f1=0.354851, average_f1=0.659260
BATCH 34 training acc=0.687500, cost=0.646855, test acc=0.807322, cost=0.499267, disagree_f1=0.692547, neural_f1=0.930917, agree_f1=0.353731, average_f1=0.659065
BATCH 35 training acc=0.593750, cost=0.794633, test acc=0.805986, cost=0.491137, disagree_f1=0.670459, neural_f1=0.932482, agree_f1=0.380342, average_f1=0.661094
BATCH 36 training acc=0.718750, cost=0.652070, test acc=0.800196, cost=0.497272, disagree_f1=0.645503, neural_f1=0.932135, agree_f1=0.402503, average_f1=0.660047
BATCH 37 training acc=0.687500, cost=0.677049, test acc=0.792001, cost=0.508577, disagree_f1=0.617207, neural_f1=0.929994, agree_f1=0.425089, average_f1=0.657430
BATCH 38 training acc=0.812500, cost=0.393114, test acc=0.783449, cost=0.513721, disagree_f1=0.580357, neural_f1=0.929437, agree_f1=0.429568, average_f1=0.646454
BATCH 39 training acc=0.750000, cost=0.487210, test acc=0.781044, cost=0.511915, disagree_f1=0.548323, neural_f1=0.931241, agree_f1=0.444325, average_f1=0.641297
BATCH 40 training acc=0.625000, cost=0.725309, test acc=0.775254, cost=0.518363, disagree_f1=0.530479, neural_f1=0.929701, agree_f1=0.443584, average_f1=0.634588
BATCH 41 training acc=0.562500, cost=0.763843, test acc=0.770622, cost=0.533179, disagree_f1=0.528064, neural_f1=0.927748, agree_f1=0.441324, average_f1=0.632379
BATCH 42 training acc=0.781250, cost=0.476124, test acc=0.764564, cost=0.552032, disagree_f1=0.537687, neural_f1=0.922261, agree_f1=0.434675, average_f1=0.631541
BATCH 43 training acc=0.781250, cost=0.643604, test acc=0.759487, cost=0.564484, disagree_f1=0.532742, neural_f1=0.918866, agree_f1=0.433607, average_f1=0.628405
BATCH 44 training acc=0.593750, cost=0.914939, test acc=0.760200, cost=0.563453, disagree_f1=0.541466, neural_f1=0.918019, agree_f1=0.431064, average_f1=0.630183
BATCH 45 training acc=0.687500, cost=0.600191, test acc=0.766257, cost=0.556692, disagree_f1=0.570970, neural_f1=0.918387, agree_f1=0.425123, average_f1=0.638160
BATCH 46 training acc=0.843750, cost=0.418838, test acc=0.776946, cost=0.545590, disagree_f1=0.610162, neural_f1=0.919256, agree_f1=0.424972, average_f1=0.651464
BATCH 47 training acc=0.687500, cost=0.749718, test acc=0.786834, cost=0.531472, disagree_f1=0.640131, neural_f1=0.921570, agree_f1=0.416564, average_f1=0.659422
BATCH 48 training acc=0.718750, cost=0.625232, test acc=0.797256, cost=0.507713, disagree_f1=0.655784, neural_f1=0.927859, agree_f1=0.408404, average_f1=0.664016
BATCH 49 training acc=0.625000, cost=0.722251, test acc=0.799929, cost=0.500092, disagree_f1=0.654892, neural_f1=0.929659, agree_f1=0.411823, average_f1=0.665458
BATCH 50 training acc=0.812500, cost=0.506177, test acc=0.801265, cost=0.493450, disagree_f1=0.650951, neural_f1=0.931008, agree_f1=0.419810, average_f1=0.667256
BATCH 51 training acc=0.812500, cost=0.636372, test acc=0.800196, cost=0.484011, disagree_f1=0.630482, neural_f1=0.932915, agree_f1=0.433606, average_f1=0.665668
BATCH 52 training acc=0.781250, cost=0.463226, test acc=0.800641, cost=0.477059, disagree_f1=0.622528, neural_f1=0.934093, agree_f1=0.436466, average_f1=0.664362
BATCH 53 training acc=0.625000, cost=0.804281, test acc=0.797345, cost=0.480103, disagree_f1=0.605107, neural_f1=0.934735, agree_f1=0.441972, average_f1=0.660605
BATCH 54 training acc=0.687500, cost=0.630348, test acc=0.795831, cost=0.480274, disagree_f1=0.597277, neural_f1=0.935014, agree_f1=0.440809, average_f1=0.657700
BATCH 55 training acc=0.656250, cost=0.700383, test acc=0.794406, cost=0.486211, disagree_f1=0.593145, neural_f1=0.935192, agree_f1=0.445344, average_f1=0.657894
BATCH 56 training acc=0.625000, cost=0.697066, test acc=0.789239, cost=0.499304, disagree_f1=0.586005, neural_f1=0.933736, agree_f1=0.445432, average_f1=0.655058
BATCH 57 training acc=0.625000, cost=0.632212, test acc=0.784340, cost=0.513034, disagree_f1=0.586070, neural_f1=0.930803, agree_f1=0.444922, average_f1=0.653932
BATCH 58 training acc=0.812500, cost=0.496551, test acc=0.780688, cost=0.526346, disagree_f1=0.596811, neural_f1=0.926938, agree_f1=0.438947, average_f1=0.654232
BATCH 59 training acc=0.656250, cost=0.608442, test acc=0.775521, cost=0.543898, disagree_f1=0.598550, neural_f1=0.922871, agree_f1=0.434262, average_f1=0.651894
BATCH 60 training acc=0.843750, cost=0.476963, test acc=0.775877, cost=0.544647, disagree_f1=0.604255, neural_f1=0.922469, agree_f1=0.431794, average_f1=0.652840
