Using GPU: 0...
X_train.shape=(30752, 2, 64), y_train.shape=(30752,);
X_test.shape=(3942, 2, 64), y_test.shape=(3942,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9407318579890258
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.625000, cost=0.700377, test acc=0.664891, cost=1.219623, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 2 training acc=0.656250, cost=1.079929, test acc=0.664891, cost=0.729190, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 3 training acc=0.562500, cost=1.000881, test acc=0.670218, cost=0.637338, disagree_f1=0.770480, agree_f1=0.414414, average_f1=0.592447
BATCH 4 training acc=0.500000, cost=0.791783, test acc=0.335870, cost=0.785960, disagree_f1=0.003046, agree_f1=0.502092, average_f1=0.252569
BATCH 5 training acc=0.406250, cost=0.908148, test acc=0.584729, cost=0.698621, disagree_f1=0.624110, agree_f1=0.536129, average_f1=0.580120
BATCH 6 training acc=0.562500, cost=0.759206, test acc=0.648656, cost=0.634426, disagree_f1=0.734420, agree_f1=0.481079, average_f1=0.607749
BATCH 7 training acc=0.500000, cost=0.791207, test acc=0.672501, cost=0.609529, disagree_f1=0.792544, agree_f1=0.222757, average_f1=0.507651
BATCH 8 training acc=0.750000, cost=0.575948, test acc=0.662608, cost=0.630353, disagree_f1=0.796449, agree_f1=0.014815, average_f1=0.405632
BATCH 9 training acc=0.500000, cost=0.873628, test acc=0.665145, cost=0.645755, disagree_f1=0.798842, agree_f1=0.001513, average_f1=0.400177
BATCH 10 training acc=0.656250, cost=0.776131, test acc=0.664891, cost=0.645443, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 11 training acc=0.593750, cost=0.648190, test acc=0.664891, cost=0.627519, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 12 training acc=0.656250, cost=0.630082, test acc=0.664130, cost=0.612870, disagree_f1=0.797924, agree_f1=0.006006, average_f1=0.401965
BATCH 13 training acc=0.812500, cost=0.505622, test acc=0.663623, cost=0.611825, disagree_f1=0.797495, agree_f1=0.007485, average_f1=0.402490
BATCH 14 training acc=0.562500, cost=0.697653, test acc=0.665145, cost=0.609144, disagree_f1=0.798780, agree_f1=0.003021, average_f1=0.400901
