Using GPU: 0...
X_train.shape=(33444, 2, 64), y_train.shape=(33444,);
X_test.shape=(11226, 2, 64), y_test.shape=(11226,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9516045739579491
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.437500, cost=1.207536, test acc=0.648851, cost=0.875085, disagree_f1=0.000000, neural_f1=0.787034, agree_f1=0.000000, average_f1=0.262345
BATCH 2 training acc=0.500000, cost=1.339375, test acc=0.792001, cost=0.705608, disagree_f1=0.636976, neural_f1=0.899601, agree_f1=0.226436, average_f1=0.587671
BATCH 3 training acc=0.437500, cost=0.974241, test acc=0.117940, cost=1.367033, disagree_f1=0.000000, neural_f1=0.000823, agree_f1=0.210619, average_f1=0.070481
BATCH 4 training acc=0.437500, cost=1.152438, test acc=0.170942, cost=1.188406, disagree_f1=0.188411, neural_f1=0.097103, agree_f1=0.214376, average_f1=0.166630
BATCH 5 training acc=0.281250, cost=1.231596, test acc=0.617762, cost=0.867470, disagree_f1=0.689239, neural_f1=0.750272, agree_f1=0.225621, average_f1=0.555044
BATCH 6 training acc=0.531250, cost=0.900902, test acc=0.823267, cost=0.676235, disagree_f1=0.725923, neural_f1=0.929017, agree_f1=0.059617, average_f1=0.571519
BATCH 7 training acc=0.562500, cost=0.977178, test acc=0.809995, cost=0.580174, disagree_f1=0.702468, neural_f1=0.913722, agree_f1=0.001511, average_f1=0.539234
BATCH 8 training acc=0.656250, cost=0.869904, test acc=0.814181, cost=0.544233, disagree_f1=0.709369, neural_f1=0.919029, agree_f1=0.000000, average_f1=0.542799
BATCH 9 training acc=0.562500, cost=0.918053, test acc=0.822911, cost=0.546169, disagree_f1=0.722990, neural_f1=0.929641, agree_f1=0.041877, average_f1=0.564836
BATCH 10 training acc=0.656250, cost=0.804610, test acc=0.810707, cost=0.591300, disagree_f1=0.722664, neural_f1=0.925883, agree_f1=0.084211, average_f1=0.577586
BATCH 11 training acc=0.625000, cost=0.851142, test acc=0.775699, cost=0.652301, disagree_f1=0.728297, neural_f1=0.901055, agree_f1=0.129734, average_f1=0.586362
BATCH 12 training acc=0.656250, cost=0.858409, test acc=0.782826, cost=0.619120, disagree_f1=0.728618, neural_f1=0.906771, agree_f1=0.170947, average_f1=0.602112
BATCH 13 training acc=0.562500, cost=0.876802, test acc=0.797880, cost=0.580473, disagree_f1=0.723282, neural_f1=0.919690, agree_f1=0.209252, average_f1=0.617408
BATCH 14 training acc=0.593750, cost=0.845965, test acc=0.786923, cost=0.609452, disagree_f1=0.726695, neural_f1=0.911122, agree_f1=0.203651, average_f1=0.613823
BATCH 15 training acc=0.656250, cost=0.696437, test acc=0.736148, cost=0.673004, disagree_f1=0.666388, neural_f1=0.880771, agree_f1=0.321833, average_f1=0.622998
BATCH 16 training acc=0.687500, cost=0.727966, test acc=0.731962, cost=0.645277, disagree_f1=0.555638, neural_f1=0.894062, agree_f1=0.383752, average_f1=0.611151
BATCH 17 training acc=0.531250, cost=0.892464, test acc=0.789952, cost=0.567821, disagree_f1=0.651382, neural_f1=0.925015, agree_f1=0.373350, average_f1=0.649916
BATCH 18 training acc=0.687500, cost=0.641912, test acc=0.812667, cost=0.518755, disagree_f1=0.692658, neural_f1=0.931624, agree_f1=0.327693, average_f1=0.650658
BATCH 19 training acc=0.562500, cost=0.824086, test acc=0.819348, cost=0.502624, disagree_f1=0.697565, neural_f1=0.933360, agree_f1=0.324978, average_f1=0.651967
BATCH 20 training acc=0.718750, cost=0.682602, test acc=0.820061, cost=0.499904, disagree_f1=0.694882, neural_f1=0.934081, agree_f1=0.327470, average_f1=0.652144
BATCH 21 training acc=0.468750, cost=0.811441, test acc=0.821219, cost=0.496853, disagree_f1=0.698609, neural_f1=0.934325, agree_f1=0.300000, average_f1=0.644311
BATCH 22 training acc=0.625000, cost=1.031340, test acc=0.820773, cost=0.491707, disagree_f1=0.710923, neural_f1=0.934149, agree_f1=0.261616, average_f1=0.635563
BATCH 23 training acc=0.562500, cost=0.816731, test acc=0.811509, cost=0.515332, disagree_f1=0.709677, neural_f1=0.927479, agree_f1=0.231055, average_f1=0.622737
BATCH 24 training acc=0.625000, cost=0.730194, test acc=0.782826, cost=0.566620, disagree_f1=0.689373, neural_f1=0.905382, agree_f1=0.137891, average_f1=0.577549
BATCH 25 training acc=0.656250, cost=0.710899, test acc=0.733654, cost=0.646625, disagree_f1=0.652090, neural_f1=0.862915, agree_f1=0.122449, average_f1=0.545818
BATCH 26 training acc=0.500000, cost=0.908271, test acc=0.707821, cost=0.707968, disagree_f1=0.633558, neural_f1=0.838392, agree_f1=0.116727, average_f1=0.529559
BATCH 27 training acc=0.562500, cost=0.971080, test acc=0.688580, cost=0.763033, disagree_f1=0.626503, neural_f1=0.818103, agree_f1=0.148760, average_f1=0.531122
BATCH 28 training acc=0.437500, cost=1.068845, test acc=0.686353, cost=0.769068, disagree_f1=0.629260, neural_f1=0.816037, agree_f1=0.190784, average_f1=0.545360
BATCH 29 training acc=0.437500, cost=0.973548, test acc=0.710315, cost=0.721199, disagree_f1=0.643038, neural_f1=0.842711, agree_f1=0.291787, average_f1=0.592512
BATCH 30 training acc=0.406250, cost=1.023094, test acc=0.740691, cost=0.650755, disagree_f1=0.636141, neural_f1=0.884035, agree_f1=0.372129, average_f1=0.630768
BATCH 31 training acc=0.718750, cost=0.583823, test acc=0.751915, cost=0.592012, disagree_f1=0.588346, neural_f1=0.904393, agree_f1=0.399127, average_f1=0.630622
BATCH 32 training acc=0.625000, cost=0.776366, test acc=0.780955, cost=0.550055, disagree_f1=0.658116, neural_f1=0.916135, agree_f1=0.362913, average_f1=0.645721
BATCH 33 training acc=0.625000, cost=0.807865, test acc=0.795118, cost=0.515298, disagree_f1=0.651676, neural_f1=0.925296, agree_f1=0.376051, average_f1=0.651008
BATCH 34 training acc=0.625000, cost=0.764713, test acc=0.794317, cost=0.503100, disagree_f1=0.616915, neural_f1=0.927996, agree_f1=0.410567, average_f1=0.651826
BATCH 35 training acc=0.531250, cost=0.943257, test acc=0.798414, cost=0.503887, disagree_f1=0.635398, neural_f1=0.928125, agree_f1=0.408630, average_f1=0.657384
BATCH 36 training acc=0.718750, cost=0.647187, test acc=0.795920, cost=0.504214, disagree_f1=0.642374, neural_f1=0.926244, agree_f1=0.402706, average_f1=0.657108
BATCH 37 training acc=0.656250, cost=0.813954, test acc=0.801710, cost=0.502619, disagree_f1=0.681874, neural_f1=0.925290, agree_f1=0.375348, average_f1=0.660837
BATCH 38 training acc=0.687500, cost=0.728116, test acc=0.804917, cost=0.497930, disagree_f1=0.704458, neural_f1=0.925113, agree_f1=0.325599, average_f1=0.651723
BATCH 39 training acc=0.750000, cost=0.725608, test acc=0.805184, cost=0.495102, disagree_f1=0.711890, neural_f1=0.925488, agree_f1=0.296236, average_f1=0.644538
BATCH 40 training acc=0.531250, cost=0.895563, test acc=0.803046, cost=0.499151, disagree_f1=0.713869, neural_f1=0.923818, agree_f1=0.284310, average_f1=0.640665
BATCH 41 training acc=0.625000, cost=0.782868, test acc=0.803136, cost=0.504962, disagree_f1=0.718891, neural_f1=0.924288, agree_f1=0.272390, average_f1=0.638523
BATCH 42 training acc=0.687500, cost=0.944710, test acc=0.800463, cost=0.508056, disagree_f1=0.718626, neural_f1=0.922438, agree_f1=0.273167, average_f1=0.638077
BATCH 43 training acc=0.593750, cost=0.821361, test acc=0.795564, cost=0.517637, disagree_f1=0.717911, neural_f1=0.918900, agree_f1=0.288629, average_f1=0.641813
BATCH 44 training acc=0.656250, cost=0.748933, test acc=0.778015, cost=0.543871, disagree_f1=0.712065, neural_f1=0.906581, agree_f1=0.293351, average_f1=0.637333
BATCH 45 training acc=0.687500, cost=0.681770, test acc=0.763941, cost=0.571685, disagree_f1=0.691779, neural_f1=0.897606, agree_f1=0.337826, average_f1=0.642404
BATCH 46 training acc=0.531250, cost=0.844691, test acc=0.744789, cost=0.601883, disagree_f1=0.655628, neural_f1=0.888629, agree_f1=0.357573, average_f1=0.633943
BATCH 47 training acc=0.593750, cost=0.747321, test acc=0.741582, cost=0.596205, disagree_f1=0.603999, neural_f1=0.894269, agree_f1=0.386492, average_f1=0.628253
BATCH 48 training acc=0.656250, cost=0.824176, test acc=0.749332, cost=0.580563, disagree_f1=0.583886, neural_f1=0.903944, agree_f1=0.400095, average_f1=0.629308
BATCH 49 training acc=0.562500, cost=0.751507, test acc=0.753251, cost=0.574805, disagree_f1=0.562500, neural_f1=0.910814, agree_f1=0.410244, average_f1=0.627853
