Using GPU: 2...
X_train.shape=(30752, 2, 64), y_train.shape=(30752,);
X_test.shape=(3942, 2, 64), y_test.shape=(3942,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9407318579890258
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.q2q_attention_layer.0.weight
model.q2q_attention_layer.0.bias
model.q2q_attention_layer.3.weight
model.q2q_attention_layer.3.bias
model.r2r_attention_layer.0.weight
model.r2r_attention_layer.0.bias
model.r2r_attention_layer.3.weight
model.r2r_attention_layer.3.bias
model.r2q_attention_layer.0.weight
model.r2q_attention_layer.0.bias
model.r2q_attention_layer.3.weight
model.r2q_attention_layer.3.bias
model.q2r_attention_layer.0.weight
model.q2r_attention_layer.0.bias
model.q2r_attention_layer.3.weight
model.q2r_attention_layer.3.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.500000, cost=0.691031, test acc=0.665145, cost=0.669101, disagree_f1=0.798842, agree_f1=0.001513, average_f1=0.400177
BATCH 2 training acc=0.687500, cost=0.673584, test acc=0.664891, cost=0.629495, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 3 training acc=0.625000, cost=0.647002, test acc=0.664891, cost=0.616437, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 4 training acc=0.593750, cost=0.674426, test acc=0.664891, cost=0.613669, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 5 training acc=0.656250, cost=0.607282, test acc=0.665145, cost=0.610389, disagree_f1=0.798842, agree_f1=0.001513, average_f1=0.400177
BATCH 6 training acc=0.781250, cost=0.514988, test acc=0.665145, cost=0.615222, disagree_f1=0.798842, agree_f1=0.001513, average_f1=0.400177
BATCH 7 training acc=0.656250, cost=0.630786, test acc=0.665398, cost=0.611019, disagree_f1=0.798964, agree_f1=0.003023, average_f1=0.400994
BATCH 8 training acc=0.656250, cost=0.598720, test acc=0.660832, cost=0.604327, disagree_f1=0.793959, agree_f1=0.041577, average_f1=0.417768
BATCH 9 training acc=0.562500, cost=0.690113, test acc=0.678336, cost=0.599389, disagree_f1=0.792810, agree_f1=0.281179, average_f1=0.536995
BATCH 10 training acc=0.687500, cost=0.627542, test acc=0.670979, cost=0.604649, disagree_f1=0.766517, agree_f1=0.443109, average_f1=0.604813
BATCH 11 training acc=0.718750, cost=0.566312, test acc=0.671487, cost=0.601264, disagree_f1=0.761554, agree_f1=0.472075, average_f1=0.616815
BATCH 12 training acc=0.500000, cost=0.795472, test acc=0.649417, cost=0.612426, disagree_f1=0.726445, agree_f1=0.512006, average_f1=0.619225
BATCH 13 training acc=0.718750, cost=0.561732, test acc=0.646880, cost=0.608754, disagree_f1=0.724356, agree_f1=0.508821, average_f1=0.616589
BATCH 14 training acc=0.687500, cost=0.635470, test acc=0.663876, cost=0.598639, disagree_f1=0.752568, agree_f1=0.476078, average_f1=0.614323
BATCH 15 training acc=0.531250, cost=0.768820, test acc=0.671740, cost=0.596381, disagree_f1=0.762394, agree_f1=0.469237, average_f1=0.615816
BATCH 16 training acc=0.750000, cost=0.529868, test acc=0.679858, cost=0.594262, disagree_f1=0.777739, agree_f1=0.427924, average_f1=0.602831
BATCH 17 training acc=0.687500, cost=0.555274, test acc=0.680365, cost=0.596281, disagree_f1=0.782908, agree_f1=0.394231, average_f1=0.588570
BATCH 18 training acc=0.625000, cost=0.619579, test acc=0.679351, cost=0.595285, disagree_f1=0.778944, agree_f1=0.416436, average_f1=0.597690
BATCH 19 training acc=0.687500, cost=0.506091, test acc=0.680873, cost=0.601082, disagree_f1=0.780683, agree_f1=0.414339, average_f1=0.597511
BATCH 20 training acc=0.687500, cost=0.611692, test acc=0.681634, cost=0.598578, disagree_f1=0.779786, agree_f1=0.425629, average_f1=0.602708
BATCH 21 training acc=0.656250, cost=0.570492, test acc=0.682395, cost=0.596325, disagree_f1=0.780274, agree_f1=0.427264, average_f1=0.603769
BATCH 22 training acc=0.718750, cost=0.540127, test acc=0.684424, cost=0.591282, disagree_f1=0.775208, agree_f1=0.470638, average_f1=0.622923
BATCH 23 training acc=0.625000, cost=0.624163, test acc=0.680365, cost=0.586069, disagree_f1=0.764045, agree_f1=0.504717, average_f1=0.634381
BATCH 24 training acc=0.562500, cost=0.717903, test acc=0.667681, cost=0.594118, disagree_f1=0.740079, agree_f1=0.539381, average_f1=0.639730
BATCH 25 training acc=0.781250, cost=0.560616, test acc=0.657281, cost=0.606686, disagree_f1=0.719651, agree_f1=0.559217, average_f1=0.639434
BATCH 26 training acc=0.500000, cost=0.651678, test acc=0.668189, cost=0.604227, disagree_f1=0.731747, agree_f1=0.565160, average_f1=0.648453
BATCH 27 training acc=0.656250, cost=0.643934, test acc=0.680619, cost=0.600097, disagree_f1=0.747240, agree_f1=0.566311, average_f1=0.656775
BATCH 28 training acc=0.656250, cost=0.685522, test acc=0.692035, cost=0.599959, disagree_f1=0.761024, agree_f1=0.567047, average_f1=0.664035
BATCH 29 training acc=0.531250, cost=0.629815, test acc=0.704718, cost=0.590203, disagree_f1=0.785714, agree_f1=0.525285, average_f1=0.655500
BATCH 30 training acc=0.812500, cost=0.560634, test acc=0.705733, cost=0.577730, disagree_f1=0.808138, agree_f1=0.368879, average_f1=0.588508
BATCH 31 training acc=0.812500, cost=0.520843, test acc=0.673516, cost=0.575098, disagree_f1=0.801970, agree_f1=0.070758, average_f1=0.436364
BATCH 32 training acc=0.625000, cost=0.598800, test acc=0.666413, cost=0.583923, disagree_f1=0.799206, agree_f1=0.014981, average_f1=0.407094
BATCH 33 training acc=0.593750, cost=0.637200, test acc=0.666159, cost=0.592097, disagree_f1=0.799207, agree_f1=0.010526, average_f1=0.404866
BATCH 34 training acc=0.500000, cost=0.793142, test acc=0.666159, cost=0.591263, disagree_f1=0.799207, agree_f1=0.010526, average_f1=0.404866
BATCH 35 training acc=0.656250, cost=0.561680, test acc=0.666667, cost=0.584800, disagree_f1=0.799267, agree_f1=0.017937, average_f1=0.408602
BATCH 36 training acc=0.625000, cost=0.630313, test acc=0.671994, cost=0.576081, disagree_f1=0.801352, agree_f1=0.059636, average_f1=0.430494
BATCH 37 training acc=0.687500, cost=0.477437, test acc=0.694064, cost=0.570075, disagree_f1=0.809177, agree_f1=0.228900, average_f1=0.519039
BATCH 38 training acc=0.687500, cost=0.654150, test acc=0.706748, cost=0.566908, disagree_f1=0.807012, agree_f1=0.389652, average_f1=0.598332
BATCH 39 training acc=0.656250, cost=0.552686, test acc=0.712329, cost=0.567325, disagree_f1=0.799221, agree_f1=0.492844, average_f1=0.646033
BATCH 40 training acc=0.687500, cost=0.583706, test acc=0.709538, cost=0.568158, disagree_f1=0.789173, agree_f1=0.533225, average_f1=0.661199
BATCH 41 training acc=0.656250, cost=0.639141, test acc=0.698123, cost=0.575422, disagree_f1=0.768663, agree_f1=0.565693, average_f1=0.667178
BATCH 42 training acc=0.468750, cost=0.745651, test acc=0.684678, cost=0.587831, disagree_f1=0.745860, agree_f1=0.584698, average_f1=0.665279
BATCH 43 training acc=0.625000, cost=0.608688, test acc=0.674531, cost=0.596976, disagree_f1=0.731196, agree_f1=0.587592, average_f1=0.659394
BATCH 44 training acc=0.750000, cost=0.531699, test acc=0.675545, cost=0.592152, disagree_f1=0.733708, agree_f1=0.584875, average_f1=0.659292
BATCH 45 training acc=0.531250, cost=0.611885, test acc=0.689751, cost=0.579120, disagree_f1=0.752379, agree_f1=0.584720, average_f1=0.668549
