Using GPU: 2...
X_train.shape=(30752, 2, 64), y_train.shape=(30752,);
X_test.shape=(3942, 2, 64), y_test.shape=(3942,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9407318579890258
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.r2q_attention_layer.0.weight
model.r2q_attention_layer.0.bias
model.r2q_attention_layer.3.weight
model.r2q_attention_layer.3.bias
model.q2r_attention_layer.0.weight
model.q2r_attention_layer.0.bias
model.q2r_attention_layer.3.weight
model.q2r_attention_layer.3.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.656250, cost=0.681179, test acc=0.664891, cost=0.628395, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 2 training acc=0.687500, cost=0.613099, test acc=0.664891, cost=0.633992, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 3 training acc=0.656250, cost=0.649465, test acc=0.664891, cost=0.639376, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 4 training acc=0.656250, cost=0.626516, test acc=0.664891, cost=0.627222, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 5 training acc=0.750000, cost=0.530759, test acc=0.664891, cost=0.621369, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 6 training acc=0.531250, cost=0.736833, test acc=0.664891, cost=0.610108, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 7 training acc=0.593750, cost=0.636291, test acc=0.664891, cost=0.607858, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 8 training acc=0.750000, cost=0.605853, test acc=0.664891, cost=0.607704, disagree_f1=0.795669, agree_f1=0.069063, average_f1=0.432366
BATCH 9 training acc=0.593750, cost=0.671030, test acc=0.677321, cost=0.615227, disagree_f1=0.784407, agree_f1=0.358871, average_f1=0.571639
BATCH 10 training acc=0.750000, cost=0.597767, test acc=0.673516, cost=0.611288, disagree_f1=0.772172, agree_f1=0.424161, average_f1=0.598167
BATCH 11 training acc=0.750000, cost=0.588296, test acc=0.671233, cost=0.601138, disagree_f1=0.769066, agree_f1=0.429577, average_f1=0.599322
BATCH 12 training acc=0.531250, cost=0.699869, test acc=0.666667, cost=0.600586, disagree_f1=0.759956, agree_f1=0.454772, average_f1=0.607364
BATCH 13 training acc=0.593750, cost=0.613298, test acc=0.668189, cost=0.597479, disagree_f1=0.759912, agree_f1=0.463054, average_f1=0.611483
BATCH 14 training acc=0.687500, cost=0.568597, test acc=0.672248, cost=0.597712, disagree_f1=0.761006, agree_f1=0.478612, average_f1=0.619809
BATCH 15 training acc=0.687500, cost=0.585033, test acc=0.670726, cost=0.604569, disagree_f1=0.756655, agree_f1=0.490980, average_f1=0.623818
BATCH 16 training acc=0.656250, cost=0.640883, test acc=0.651700, cost=0.614624, disagree_f1=0.728817, agree_f1=0.513293, average_f1=0.621055
BATCH 17 training acc=0.781250, cost=0.538365, test acc=0.638762, cost=0.630553, disagree_f1=0.706996, agree_f1=0.529101, average_f1=0.618048
BATCH 18 training acc=0.656250, cost=0.584378, test acc=0.636733, cost=0.635969, disagree_f1=0.703520, agree_f1=0.531107, average_f1=0.617313
