Using GPU: 2...
X_train.shape=(30752, 2, 64), y_train.shape=(30752,);
X_test.shape=(3942, 2, 64), y_test.shape=(3942,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9407318579890258
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.cross_dot_v2_r2q_attention_layer.0.weight
model.cross_dot_v2_r2q_attention_layer.0.bias
model.cross_dot_v2_q2r_attention_layer.0.weight
model.cross_dot_v2_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.437500, cost=0.694809, test acc=0.664891, cost=0.661330, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 2 training acc=0.593750, cost=0.669115, test acc=0.664891, cost=0.624968, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 3 training acc=0.562500, cost=0.670625, test acc=0.664891, cost=0.613123, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 4 training acc=0.593750, cost=0.645061, test acc=0.664891, cost=0.605840, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 5 training acc=0.562500, cost=0.675570, test acc=0.667174, cost=0.605377, disagree_f1=0.793970, agree_f1=0.134565, average_f1=0.464267
BATCH 6 training acc=0.687500, cost=0.539962, test acc=0.679604, cost=0.599649, disagree_f1=0.791550, agree_f1=0.307945, average_f1=0.549747
BATCH 7 training acc=0.875000, cost=0.416337, test acc=0.675292, cost=0.609748, disagree_f1=0.793348, agree_f1=0.242604, average_f1=0.517976
BATCH 8 training acc=0.718750, cost=0.629580, test acc=0.681887, cost=0.624399, disagree_f1=0.794830, agree_f1=0.292325, average_f1=0.543577
BATCH 9 training acc=0.781250, cost=0.613142, test acc=0.679858, cost=0.627121, disagree_f1=0.790435, agree_f1=0.322234, average_f1=0.556335
BATCH 10 training acc=0.625000, cost=0.670124, test acc=0.671994, cost=0.609736, disagree_f1=0.773991, agree_f1=0.402219, average_f1=0.588105
BATCH 11 training acc=0.687500, cost=0.669676, test acc=0.659056, cost=0.601954, disagree_f1=0.746415, agree_f1=0.479876, average_f1=0.613146
BATCH 12 training acc=0.656250, cost=0.599591, test acc=0.654744, cost=0.605636, disagree_f1=0.735266, agree_f1=0.503828, average_f1=0.619547
BATCH 13 training acc=0.843750, cost=0.510073, test acc=0.662354, cost=0.601747, disagree_f1=0.748441, agree_f1=0.486695, average_f1=0.617568
BATCH 14 training acc=0.687500, cost=0.554328, test acc=0.673516, cost=0.594729, disagree_f1=0.774724, agree_f1=0.407186, average_f1=0.590955
BATCH 15 training acc=0.687500, cost=0.549944, test acc=0.676560, cost=0.598770, disagree_f1=0.792108, agree_f1=0.271845, average_f1=0.531976
BATCH 16 training acc=0.468750, cost=0.775851, test acc=0.671994, cost=0.602564, disagree_f1=0.794272, agree_f1=0.191370, average_f1=0.492821
BATCH 17 training acc=0.718750, cost=0.565773, test acc=0.670726, cost=0.604160, disagree_f1=0.796552, agree_f1=0.136968, average_f1=0.466760
BATCH 18 training acc=0.687500, cost=0.543188, test acc=0.673516, cost=0.601248, disagree_f1=0.796907, agree_f1=0.168067, average_f1=0.482487
BATCH 19 training acc=0.562500, cost=0.716222, test acc=0.674023, cost=0.594114, disagree_f1=0.793971, agree_f1=0.219794, average_f1=0.506883
BATCH 20 training acc=0.656250, cost=0.546687, test acc=0.681380, cost=0.591276, disagree_f1=0.792259, agree_f1=0.316649, average_f1=0.554454
BATCH 21 training acc=0.625000, cost=0.641559, test acc=0.680619, cost=0.592390, disagree_f1=0.781765, agree_f1=0.404728, average_f1=0.593246
BATCH 22 training acc=0.781250, cost=0.557763, test acc=0.674531, cost=0.596324, disagree_f1=0.765576, agree_f1=0.467856, average_f1=0.616716
BATCH 23 training acc=0.656250, cost=0.676127, test acc=0.661086, cost=0.607944, disagree_f1=0.735446, agree_f1=0.528582, average_f1=0.632014
BATCH 24 training acc=0.687500, cost=0.622398, test acc=0.652207, cost=0.612332, disagree_f1=0.721963, agree_f1=0.535726, average_f1=0.628845
BATCH 25 training acc=0.718750, cost=0.553589, test acc=0.657534, cost=0.606787, disagree_f1=0.729892, agree_f1=0.532225, average_f1=0.631058
BATCH 26 training acc=0.687500, cost=0.641984, test acc=0.667428, cost=0.600648, disagree_f1=0.743394, agree_f1=0.527568, average_f1=0.635481
BATCH 27 training acc=0.687500, cost=0.598392, test acc=0.677575, cost=0.591034, disagree_f1=0.759872, agree_f1=0.509456, average_f1=0.634664
BATCH 28 training acc=0.781250, cost=0.554082, test acc=0.682902, cost=0.586385, disagree_f1=0.771815, agree_f1=0.480466, average_f1=0.626140
BATCH 29 training acc=0.593750, cost=0.663531, test acc=0.685185, cost=0.588026, disagree_f1=0.782624, agree_f1=0.429425, average_f1=0.606025
BATCH 30 training acc=0.718750, cost=0.529866, test acc=0.688229, cost=0.599687, disagree_f1=0.792083, agree_f1=0.377091, average_f1=0.584587
BATCH 31 training acc=0.625000, cost=0.724380, test acc=0.688737, cost=0.606066, disagree_f1=0.795738, agree_f1=0.346297, average_f1=0.571018
BATCH 32 training acc=0.750000, cost=0.610600, test acc=0.690259, cost=0.602096, disagree_f1=0.796330, agree_f1=0.353626, average_f1=0.574978
BATCH 33 training acc=0.625000, cost=0.651031, test acc=0.692542, cost=0.590925, disagree_f1=0.794437, agree_f1=0.390342, average_f1=0.592389
