Using GPU: 2...
X_train.shape=(33444, 2, 64), y_train.shape=(33444,);
X_test.shape=(11226, 2, 64), y_test.shape=(11226,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9516045739579491
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.cross_dot_v2_r2q_attention_layer.0.weight
model.cross_dot_v2_r2q_attention_layer.0.bias
model.cross_dot_v2_q2r_attention_layer.0.weight
model.cross_dot_v2_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.250000, cost=1.106406, test acc=0.680474, cost=1.057657, disagree_f1=0.000000, neural_f1=0.836619, agree_f1=0.308249, average_f1=0.381623
BATCH 2 training acc=0.468750, cost=1.115310, test acc=0.698290, cost=1.037686, disagree_f1=0.000000, neural_f1=0.878615, agree_f1=0.360724, average_f1=0.413113
BATCH 3 training acc=0.468750, cost=1.076149, test acc=0.819170, cost=1.010329, disagree_f1=0.717035, neural_f1=0.925394, agree_f1=0.022091, average_f1=0.554840
BATCH 4 training acc=0.687500, cost=1.031693, test acc=0.727864, cost=0.970659, disagree_f1=0.628675, neural_f1=0.856674, agree_f1=0.000000, average_f1=0.495116
BATCH 5 training acc=0.625000, cost=0.991091, test acc=0.742562, cost=0.898205, disagree_f1=0.641781, neural_f1=0.869993, agree_f1=0.000000, average_f1=0.503925
BATCH 6 training acc=0.750000, cost=0.880490, test acc=0.787636, cost=0.801950, disagree_f1=0.685906, neural_f1=0.909460, agree_f1=0.000000, average_f1=0.531789
BATCH 7 training acc=0.781250, cost=0.752682, test acc=0.781044, cost=0.721334, disagree_f1=0.678915, neural_f1=0.904123, agree_f1=0.000000, average_f1=0.527679
BATCH 8 training acc=0.687500, cost=0.913024, test acc=0.784874, cost=0.647224, disagree_f1=0.681818, neural_f1=0.907825, agree_f1=0.000000, average_f1=0.529881
BATCH 9 training acc=0.656250, cost=0.920134, test acc=0.791199, cost=0.580228, disagree_f1=0.687969, neural_f1=0.912971, agree_f1=0.000000, average_f1=0.533647
BATCH 10 training acc=0.593750, cost=0.913279, test acc=0.800374, cost=0.535428, disagree_f1=0.697203, neural_f1=0.919978, agree_f1=0.016406, average_f1=0.544529
BATCH 11 training acc=0.656250, cost=0.774601, test acc=0.801710, cost=0.517795, disagree_f1=0.660973, neural_f1=0.927984, agree_f1=0.279602, average_f1=0.622853
BATCH 12 training acc=0.593750, cost=0.766861, test acc=0.731783, cost=0.553935, disagree_f1=0.347347, neural_f1=0.922654, agree_f1=0.414728, average_f1=0.561576
BATCH 13 training acc=0.531250, cost=0.793926, test acc=0.696241, cost=0.601099, disagree_f1=0.194969, neural_f1=0.911705, agree_f1=0.415335, average_f1=0.507336
BATCH 14 training acc=0.531250, cost=0.727444, test acc=0.691698, cost=0.625229, disagree_f1=0.248280, neural_f1=0.901126, agree_f1=0.413721, average_f1=0.521042
BATCH 15 training acc=0.593750, cost=0.696193, test acc=0.739979, cost=0.663834, disagree_f1=0.583009, neural_f1=0.888760, agree_f1=0.399788, average_f1=0.623852
