Using GPU: 3...
X_train.shape=(30752, 2, 64), y_train.shape=(30752,);
X_test.shape=(3942, 2, 64), y_test.shape=(3942,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9407318579890258
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.q2q_attention_layer.0.weight
model.q2q_attention_layer.0.bias
model.q2q_attention_layer.3.weight
model.q2q_attention_layer.3.bias
model.r2r_attention_layer.0.weight
model.r2r_attention_layer.0.bias
model.r2r_attention_layer.3.weight
model.r2r_attention_layer.3.bias
model.r2q_attention_layer.0.weight
model.r2q_attention_layer.0.bias
model.r2q_attention_layer.3.weight
model.r2q_attention_layer.3.bias
model.q2r_attention_layer.0.weight
model.q2r_attention_layer.0.bias
model.q2r_attention_layer.3.weight
model.q2r_attention_layer.3.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.406250, cost=0.695723, test acc=0.664891, cost=0.622786, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 2 training acc=0.625000, cost=0.650535, test acc=0.664891, cost=0.616998, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 3 training acc=0.718750, cost=0.519974, test acc=0.664891, cost=0.643390, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 4 training acc=0.625000, cost=0.662437, test acc=0.664891, cost=0.622291, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 5 training acc=0.812500, cost=0.481163, test acc=0.662354, cost=0.634969, disagree_f1=0.796015, agree_f1=0.020603, average_f1=0.408309
BATCH 6 training acc=0.750000, cost=0.478354, test acc=0.673262, cost=0.626300, disagree_f1=0.796781, agree_f1=0.166882, average_f1=0.481832
BATCH 7 training acc=0.687500, cost=0.633850, test acc=0.677067, cost=0.598725, disagree_f1=0.784054, agree_f1=0.359980, average_f1=0.572017
BATCH 8 training acc=0.812500, cost=0.485332, test acc=0.676814, cost=0.599866, disagree_f1=0.785233, agree_f1=0.347336, average_f1=0.566284
BATCH 9 training acc=0.812500, cost=0.476623, test acc=0.679097, cost=0.621596, disagree_f1=0.794543, agree_f1=0.267516, average_f1=0.531029
BATCH 10 training acc=0.718750, cost=0.635140, test acc=0.679858, cost=0.619713, disagree_f1=0.793047, agree_f1=0.293393, average_f1=0.543220
BATCH 11 training acc=0.687500, cost=0.526906, test acc=0.678336, cost=0.604021, disagree_f1=0.781605, agree_f1=0.389798, average_f1=0.585702
BATCH 12 training acc=0.750000, cost=0.456085, test acc=0.678336, cost=0.601993, disagree_f1=0.773571, agree_f1=0.444834, average_f1=0.609203
BATCH 13 training acc=0.593750, cost=0.797997, test acc=0.656266, cost=0.604993, disagree_f1=0.735919, agree_f1=0.507810, average_f1=0.621864
BATCH 14 training acc=0.593750, cost=0.639137, test acc=0.632166, cost=0.624321, disagree_f1=0.696144, agree_f1=0.534062, average_f1=0.615103
BATCH 15 training acc=0.625000, cost=0.681162, test acc=0.595637, cost=0.677074, disagree_f1=0.628784, agree_f1=0.555989, average_f1=0.592387
BATCH 16 training acc=0.718750, cost=0.573717, test acc=0.588026, cost=0.683228, disagree_f1=0.615712, agree_f1=0.556042, average_f1=0.585877
BATCH 17 training acc=0.656250, cost=0.637647, test acc=0.617960, cost=0.650506, disagree_f1=0.665631, agree_f1=0.554438, average_f1=0.610034
BATCH 18 training acc=0.718750, cost=0.553899, test acc=0.657027, cost=0.606487, disagree_f1=0.730140, agree_f1=0.529576, average_f1=0.629858
BATCH 19 training acc=0.687500, cost=0.586829, test acc=0.679604, cost=0.589456, disagree_f1=0.768978, agree_f1=0.477451, average_f1=0.623214
BATCH 20 training acc=0.718750, cost=0.618278, test acc=0.687722, cost=0.588275, disagree_f1=0.785053, agree_f1=0.429300, average_f1=0.607177
BATCH 21 training acc=0.562500, cost=0.592959, test acc=0.685693, cost=0.601934, disagree_f1=0.797118, agree_f1=0.302757, average_f1=0.549938
BATCH 22 training acc=0.656250, cost=0.684457, test acc=0.681380, cost=0.609010, disagree_f1=0.798589, agree_f1=0.237864, average_f1=0.518226
BATCH 23 training acc=0.656250, cost=0.684429, test acc=0.683663, cost=0.600540, disagree_f1=0.800448, agree_f1=0.237309, average_f1=0.518878
BATCH 24 training acc=0.625000, cost=0.594610, test acc=0.689751, cost=0.586676, disagree_f1=0.801943, agree_f1=0.284377, average_f1=0.543160
BATCH 25 training acc=0.625000, cost=0.589743, test acc=0.684170, cost=0.583777, disagree_f1=0.801909, agree_f1=0.221388, average_f1=0.511649
BATCH 26 training acc=0.562500, cost=0.638895, test acc=0.694064, cost=0.577193, disagree_f1=0.805735, agree_f1=0.280430, average_f1=0.543082
BATCH 27 training acc=0.656250, cost=0.550835, test acc=0.702435, cost=0.576212, disagree_f1=0.800815, agree_f1=0.412030, average_f1=0.606423
BATCH 28 training acc=0.562500, cost=0.629461, test acc=0.697362, cost=0.589089, disagree_f1=0.781141, agree_f1=0.509659, average_f1=0.645400
BATCH 29 training acc=0.750000, cost=0.554931, test acc=0.695840, cost=0.597459, disagree_f1=0.771923, agree_f1=0.543586, average_f1=0.657754
BATCH 30 training acc=0.656250, cost=0.576037, test acc=0.700660, cost=0.593357, disagree_f1=0.777778, agree_f1=0.541570, average_f1=0.659674
BATCH 31 training acc=0.625000, cost=0.589043, test acc=0.708016, cost=0.579984, disagree_f1=0.792948, agree_f1=0.504946, average_f1=0.648947
BATCH 32 training acc=0.781250, cost=0.578928, test acc=0.709538, cost=0.568190, disagree_f1=0.808240, agree_f1=0.401464, average_f1=0.604852
BATCH 33 training acc=0.656250, cost=0.589931, test acc=0.710046, cost=0.565414, disagree_f1=0.811417, agree_f1=0.373012, average_f1=0.592214
BATCH 34 training acc=0.656250, cost=0.621609, test acc=0.713597, cost=0.563566, disagree_f1=0.812738, agree_f1=0.391375, average_f1=0.602057
BATCH 35 training acc=0.750000, cost=0.599873, test acc=0.709285, cost=0.559732, disagree_f1=0.803767, agree_f1=0.439335, average_f1=0.621551
BATCH 36 training acc=0.750000, cost=0.567172, test acc=0.708270, cost=0.556515, disagree_f1=0.797250, agree_f1=0.480108, average_f1=0.638679
BATCH 37 training acc=0.750000, cost=0.480138, test acc=0.708016, cost=0.555121, disagree_f1=0.794574, agree_f1=0.495397, average_f1=0.644986
BATCH 38 training acc=0.843750, cost=0.422633, test acc=0.708524, cost=0.563414, disagree_f1=0.797533, agree_f1=0.479855, average_f1=0.638694
BATCH 39 training acc=0.687500, cost=0.534924, test acc=0.708777, cost=0.570232, disagree_f1=0.795875, agree_f1=0.492035, average_f1=0.643955
BATCH 40 training acc=0.781250, cost=0.619565, test acc=0.706240, cost=0.568033, disagree_f1=0.789913, agree_f1=0.511804, average_f1=0.650859
BATCH 41 training acc=0.812500, cost=0.457689, test acc=0.710299, cost=0.571258, disagree_f1=0.791606, agree_f1=0.524958, average_f1=0.658282
BATCH 42 training acc=0.687500, cost=0.490063, test acc=0.710299, cost=0.570035, disagree_f1=0.787653, agree_f1=0.544294, average_f1=0.665974
BATCH 43 training acc=0.562500, cost=0.664239, test acc=0.711060, cost=0.568152, disagree_f1=0.789581, agree_f1=0.539053, average_f1=0.664317
BATCH 44 training acc=0.656250, cost=0.600515, test acc=0.715627, cost=0.566460, disagree_f1=0.794651, agree_f1=0.537732, average_f1=0.666191
BATCH 45 training acc=0.718750, cost=0.531498, test acc=0.715373, cost=0.556500, disagree_f1=0.791061, agree_f1=0.553699, average_f1=0.672380
BATCH 46 training acc=0.750000, cost=0.375718, test acc=0.715627, cost=0.553650, disagree_f1=0.790271, agree_f1=0.558488, average_f1=0.674379
BATCH 47 training acc=0.812500, cost=0.358817, test acc=0.711568, cost=0.556654, disagree_f1=0.784455, agree_f1=0.564201, average_f1=0.674328
BATCH 48 training acc=0.625000, cost=0.634378, test acc=0.717149, cost=0.556021, disagree_f1=0.789979, agree_f1=0.566990, average_f1=0.678485
BATCH 49 training acc=0.718750, cost=0.542533, test acc=0.714612, cost=0.551663, disagree_f1=0.786487, agree_f1=0.569790, average_f1=0.678138
BATCH 50 training acc=0.656250, cost=0.611281, test acc=0.722730, cost=0.548471, disagree_f1=0.797480, agree_f1=0.560515, average_f1=0.678997
BATCH 51 training acc=0.656250, cost=0.845937, test acc=0.726281, cost=0.541938, disagree_f1=0.801472, agree_f1=0.559412, average_f1=0.680442
BATCH 52 training acc=0.656250, cost=0.697699, test acc=0.731608, cost=0.539237, disagree_f1=0.806793, agree_f1=0.560631, average_f1=0.683712
BATCH 53 training acc=0.781250, cost=0.472118, test acc=0.738458, cost=0.540643, disagree_f1=0.820664, agree_f1=0.517096, average_f1=0.668880
BATCH 54 training acc=0.750000, cost=0.488016, test acc=0.724759, cost=0.544918, disagree_f1=0.821751, agree_f1=0.396216, average_f1=0.608984
BATCH 55 training acc=0.718750, cost=0.458056, test acc=0.709031, cost=0.549380, disagree_f1=0.816156, agree_f1=0.302736, average_f1=0.559446
BATCH 56 training acc=0.718750, cost=0.493596, test acc=0.700913, cost=0.555371, disagree_f1=0.813420, agree_f1=0.246645, average_f1=0.530033
BATCH 57 training acc=0.812500, cost=0.458088, test acc=0.703450, cost=0.555750, disagree_f1=0.814650, agree_f1=0.258719, average_f1=0.536685
BATCH 58 training acc=0.687500, cost=0.581640, test acc=0.720193, cost=0.547729, disagree_f1=0.820680, agree_f1=0.363531, average_f1=0.592106
BATCH 59 training acc=0.750000, cost=0.498039, test acc=0.731355, cost=0.541584, disagree_f1=0.821927, agree_f1=0.453278, average_f1=0.637603
BATCH 60 training acc=0.687500, cost=0.584289, test acc=0.730340, cost=0.541668, disagree_f1=0.821554, agree_f1=0.448365, average_f1=0.634960
BATCH 61 training acc=0.593750, cost=0.598544, test acc=0.738204, cost=0.540185, disagree_f1=0.823831, agree_f1=0.490622, average_f1=0.657226
BATCH 62 training acc=0.625000, cost=0.577737, test acc=0.742516, cost=0.541986, disagree_f1=0.819556, agree_f1=0.550686, average_f1=0.685121
BATCH 63 training acc=0.718750, cost=0.557629, test acc=0.739980, cost=0.543485, disagree_f1=0.817453, agree_f1=0.548259, average_f1=0.682856
BATCH 64 training acc=0.843750, cost=0.441885, test acc=0.737189, cost=0.541127, disagree_f1=0.815198, agree_f1=0.545215, average_f1=0.680207
BATCH 65 training acc=0.687500, cost=0.529683, test acc=0.734399, cost=0.537108, disagree_f1=0.814526, agree_f1=0.532381, average_f1=0.673453
BATCH 66 training acc=0.781250, cost=0.550131, test acc=0.734145, cost=0.535976, disagree_f1=0.811782, agree_f1=0.547496, average_f1=0.679639
BATCH 67 training acc=0.687500, cost=0.594529, test acc=0.731608, cost=0.537125, disagree_f1=0.808541, agree_f1=0.551315, average_f1=0.679928
BATCH 68 training acc=0.875000, cost=0.361703, test acc=0.732369, cost=0.544369, disagree_f1=0.811304, agree_f1=0.539904, average_f1=0.675604
BATCH 69 training acc=0.687500, cost=0.873441, test acc=0.732116, cost=0.549014, disagree_f1=0.808209, agree_f1=0.555929, average_f1=0.682069
BATCH 70 training acc=0.875000, cost=0.449372, test acc=0.731355, cost=0.562392, disagree_f1=0.809567, agree_f1=0.544124, average_f1=0.676845
BATCH 71 training acc=0.718750, cost=0.684838, test acc=0.728311, cost=0.565543, disagree_f1=0.806504, agree_f1=0.544061, average_f1=0.675283
