Using GPU: 3...
X_train.shape=(30752, 2, 64), y_train.shape=(30752,);
X_test.shape=(3942, 2, 64), y_test.shape=(3942,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9407318579890258
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.q2q_attention_layer.0.weight
model.q2q_attention_layer.0.bias
model.q2q_attention_layer.3.weight
model.q2q_attention_layer.3.bias
model.r2r_attention_layer.0.weight
model.r2r_attention_layer.0.bias
model.r2r_attention_layer.3.weight
model.r2r_attention_layer.3.bias
model.cross_dot_v2_r2q_attention_layer.0.weight
model.cross_dot_v2_r2q_attention_layer.0.bias
model.cross_dot_v2_q2r_attention_layer.0.weight
model.cross_dot_v2_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.250000, cost=0.713822, test acc=0.664891, cost=0.624233, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 2 training acc=0.656250, cost=0.636106, test acc=0.664891, cost=0.638231, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 3 training acc=0.656250, cost=0.642808, test acc=0.664891, cost=0.623815, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 4 training acc=0.718750, cost=0.544391, test acc=0.664891, cost=0.616105, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 5 training acc=0.750000, cost=0.525582, test acc=0.664891, cost=0.621107, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 6 training acc=0.812500, cost=0.457093, test acc=0.664891, cost=0.679430, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 7 training acc=0.656250, cost=0.665470, test acc=0.664891, cost=0.685881, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 8 training acc=0.656250, cost=0.551566, test acc=0.662608, cost=0.655532, disagree_f1=0.795006, agree_f1=0.047278, average_f1=0.421142
BATCH 9 training acc=0.781250, cost=0.511216, test acc=0.676814, cost=0.612407, disagree_f1=0.792576, agree_f1=0.268657, average_f1=0.530616
BATCH 10 training acc=0.562500, cost=0.823606, test acc=0.676560, cost=0.597282, disagree_f1=0.767463, agree_f1=0.468971, average_f1=0.618217
BATCH 11 training acc=0.687500, cost=0.573226, test acc=0.653983, cost=0.611548, disagree_f1=0.731813, agree_f1=0.512509, average_f1=0.622161
BATCH 12 training acc=0.750000, cost=0.534858, test acc=0.656012, cost=0.608218, disagree_f1=0.737515, agree_f1=0.501104, average_f1=0.619309
BATCH 13 training acc=0.750000, cost=0.610581, test acc=0.675799, cost=0.596949, disagree_f1=0.769481, agree_f1=0.453846, average_f1=0.611663
BATCH 14 training acc=0.781250, cost=0.594488, test acc=0.676814, cost=0.593314, disagree_f1=0.785954, agree_f1=0.340580, average_f1=0.563267
BATCH 15 training acc=0.750000, cost=0.521504, test acc=0.671740, cost=0.605119, disagree_f1=0.795447, agree_f1=0.169448, average_f1=0.482448
BATCH 16 training acc=0.687500, cost=0.540250, test acc=0.666159, cost=0.622193, disagree_f1=0.795398, agree_f1=0.093664, average_f1=0.444531
BATCH 17 training acc=0.750000, cost=0.633504, test acc=0.665145, cost=0.632538, disagree_f1=0.796296, agree_f1=0.059829, average_f1=0.428063
BATCH 18 training acc=0.687500, cost=0.693737, test acc=0.662100, cost=0.628573, disagree_f1=0.795517, agree_f1=0.027737, average_f1=0.411627
