Using GPU: 3...
X_train.shape=(30752, 2, 64), y_train.shape=(30752,);
X_test.shape=(3942, 2, 64), y_test.shape=(3942,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9407318579890258
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.r2q_attention_layer.0.weight
model.r2q_attention_layer.0.bias
model.r2q_attention_layer.3.weight
model.r2q_attention_layer.3.bias
model.q2r_attention_layer.0.weight
model.q2r_attention_layer.0.bias
model.q2r_attention_layer.3.weight
model.q2r_attention_layer.3.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.593750, cost=0.690335, test acc=0.664891, cost=0.633110, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 2 training acc=0.718750, cost=0.608033, test acc=0.664891, cost=0.653633, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 3 training acc=0.437500, cost=0.970426, test acc=0.665145, cost=0.646851, disagree_f1=0.798842, agree_f1=0.001513, average_f1=0.400177
BATCH 4 training acc=0.625000, cost=0.717751, test acc=0.665145, cost=0.621477, disagree_f1=0.798842, agree_f1=0.001513, average_f1=0.400177
BATCH 5 training acc=0.750000, cost=0.526600, test acc=0.665145, cost=0.614106, disagree_f1=0.798842, agree_f1=0.001513, average_f1=0.400177
BATCH 6 training acc=0.656250, cost=0.633555, test acc=0.665145, cost=0.608581, disagree_f1=0.798842, agree_f1=0.001513, average_f1=0.400177
BATCH 7 training acc=0.687500, cost=0.609887, test acc=0.665145, cost=0.605394, disagree_f1=0.798842, agree_f1=0.001513, average_f1=0.400177
BATCH 8 training acc=0.656250, cost=0.624467, test acc=0.664130, cost=0.602020, disagree_f1=0.797368, agree_f1=0.019259, average_f1=0.408313
BATCH 9 training acc=0.781250, cost=0.549341, test acc=0.665652, cost=0.597717, disagree_f1=0.799024, agree_f1=0.006033, average_f1=0.402529
BATCH 10 training acc=0.687500, cost=0.579219, test acc=0.665652, cost=0.610888, disagree_f1=0.799085, agree_f1=0.004532, average_f1=0.401809
BATCH 11 training acc=0.531250, cost=0.823429, test acc=0.663369, cost=0.608383, disagree_f1=0.796877, agree_f1=0.017765, average_f1=0.407321
BATCH 12 training acc=0.656250, cost=0.608182, test acc=0.671233, cost=0.594536, disagree_f1=0.796354, agree_f1=0.147368, average_f1=0.471861
BATCH 13 training acc=0.718750, cost=0.601036, test acc=0.671487, cost=0.589518, disagree_f1=0.796799, agree_f1=0.142952, average_f1=0.469875
BATCH 14 training acc=0.750000, cost=0.446697, test acc=0.669203, cost=0.589149, disagree_f1=0.797074, agree_f1=0.105624, average_f1=0.451349
BATCH 15 training acc=0.656250, cost=0.632681, test acc=0.681887, cost=0.583979, disagree_f1=0.799681, agree_f1=0.227833, average_f1=0.513757
BATCH 16 training acc=0.781250, cost=0.413184, test acc=0.685946, cost=0.583738, disagree_f1=0.801029, agree_f1=0.255114, average_f1=0.528071
BATCH 17 training acc=0.750000, cost=0.570286, test acc=0.689751, cost=0.583493, disagree_f1=0.796607, agree_f1=0.346339, average_f1=0.571473
BATCH 18 training acc=0.625000, cost=0.711077, test acc=0.691781, cost=0.578036, disagree_f1=0.785601, agree_f1=0.451962, average_f1=0.618781
