Using GPU: 3...
X_train.shape=(30752, 2, 64), y_train.shape=(30752,);
X_test.shape=(3942, 2, 64), y_test.shape=(3942,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9407318579890258
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.cross_dot_v2_r2q_attention_layer.0.weight
model.cross_dot_v2_r2q_attention_layer.0.bias
model.cross_dot_v2_q2r_attention_layer.0.weight
model.cross_dot_v2_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.562500, cost=0.694175, test acc=0.664891, cost=0.624147, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 2 training acc=0.468750, cost=0.743106, test acc=0.674531, cost=0.655343, disagree_f1=0.792831, agree_f1=0.241277, average_f1=0.517054
BATCH 3 training acc=0.718750, cost=0.628757, test acc=0.664637, cost=0.629279, disagree_f1=0.798537, agree_f1=0.000000, average_f1=0.399269
BATCH 4 training acc=0.718750, cost=0.628188, test acc=0.664637, cost=0.610385, disagree_f1=0.798537, agree_f1=0.000000, average_f1=0.399269
BATCH 5 training acc=0.781250, cost=0.537046, test acc=0.664891, cost=0.634380, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 6 training acc=0.687500, cost=0.592509, test acc=0.664891, cost=0.667431, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 7 training acc=0.562500, cost=0.708927, test acc=0.665145, cost=0.661555, disagree_f1=0.798842, agree_f1=0.001513, average_f1=0.400177
BATCH 8 training acc=0.718750, cost=0.555925, test acc=0.665145, cost=0.630048, disagree_f1=0.798842, agree_f1=0.001513, average_f1=0.400177
BATCH 9 training acc=0.562500, cost=0.688769, test acc=0.664384, cost=0.603556, disagree_f1=0.797923, agree_f1=0.010471, average_f1=0.404197
BATCH 10 training acc=0.687500, cost=0.565085, test acc=0.676053, cost=0.601980, disagree_f1=0.792661, agree_f1=0.259710, average_f1=0.526186
BATCH 11 training acc=0.687500, cost=0.591240, test acc=0.673262, cost=0.608359, disagree_f1=0.770164, agree_f1=0.435088, average_f1=0.602626
BATCH 12 training acc=0.562500, cost=0.742362, test acc=0.631405, cost=0.637514, disagree_f1=0.698360, agree_f1=0.526247, average_f1=0.612304
BATCH 13 training acc=0.593750, cost=0.692684, test acc=0.595383, cost=0.668555, disagree_f1=0.635262, agree_f1=0.545713, average_f1=0.590488
BATCH 14 training acc=0.500000, cost=0.717644, test acc=0.577626, cost=0.681834, disagree_f1=0.601579, agree_f1=0.550607, average_f1=0.576093
BATCH 15 training acc=0.687500, cost=0.618654, test acc=0.608067, cost=0.661755, disagree_f1=0.652418, agree_f1=0.550741, average_f1=0.601580
BATCH 16 training acc=0.625000, cost=0.659116, test acc=0.648402, cost=0.627873, disagree_f1=0.721239, agree_f1=0.524038, average_f1=0.622639
BATCH 17 training acc=0.718750, cost=0.646167, test acc=0.677067, cost=0.601524, disagree_f1=0.774010, agree_f1=0.434474, average_f1=0.604242
