Using GPU: 2...
X_train.shape=(33444, 2, 64), y_train.shape=(33444,);
X_test.shape=(11226, 2, 64), y_test.shape=(11226,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9516045739579491
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.cross_dot_v2_r2q_attention_layer.0.weight
model.cross_dot_v2_r2q_attention_layer.0.bias
model.cross_dot_v2_q2r_attention_layer.0.weight
model.cross_dot_v2_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.406250, cost=1.092678, test acc=0.180118, cost=1.084708, disagree_f1=0.000000, neural_f1=0.176022, agree_f1=0.222786, average_f1=0.132936
BATCH 2 training acc=0.312500, cost=1.132077, test acc=0.658026, cost=1.022133, disagree_f1=0.000000, neural_f1=0.872113, agree_f1=0.383003, average_f1=0.418372
BATCH 3 training acc=0.406250, cost=1.076091, test acc=0.235079, cost=1.076961, disagree_f1=0.421787, neural_f1=0.001920, agree_f1=0.173225, average_f1=0.198977
BATCH 4 training acc=0.281250, cost=1.070766, test acc=0.243453, cost=1.020358, disagree_f1=0.381708, neural_f1=0.030278, agree_f1=0.000000, average_f1=0.137329
BATCH 5 training acc=0.281250, cost=0.962236, test acc=0.600303, cost=0.932659, disagree_f1=0.534554, neural_f1=0.721516, agree_f1=0.002976, average_f1=0.419682
BATCH 6 training acc=0.500000, cost=0.977322, test acc=0.791823, cost=0.810296, disagree_f1=0.690448, neural_f1=0.913037, agree_f1=0.020319, average_f1=0.541268
BATCH 7 training acc=0.593750, cost=0.856816, test acc=0.821931, cost=0.685754, disagree_f1=0.724162, neural_f1=0.933192, agree_f1=0.116603, average_f1=0.591319
BATCH 8 training acc=0.687500, cost=0.764854, test acc=0.819882, cost=0.580094, disagree_f1=0.695093, neural_f1=0.933009, agree_f1=0.302392, average_f1=0.643498
BATCH 9 training acc=0.562500, cost=0.789159, test acc=0.789774, cost=0.554036, disagree_f1=0.545680, neural_f1=0.932529, agree_f1=0.438496, average_f1=0.638902
BATCH 10 training acc=0.562500, cost=0.720355, test acc=0.777125, cost=0.537316, disagree_f1=0.498437, neural_f1=0.931978, agree_f1=0.437039, average_f1=0.622485
BATCH 11 training acc=0.531250, cost=0.750002, test acc=0.754677, cost=0.564167, disagree_f1=0.434232, neural_f1=0.926083, agree_f1=0.433014, average_f1=0.597776
BATCH 12 training acc=0.531250, cost=0.726455, test acc=0.747728, cost=0.607508, disagree_f1=0.530622, neural_f1=0.908604, agree_f1=0.414853, average_f1=0.618027
BATCH 13 training acc=0.750000, cost=0.601091, test acc=0.725192, cost=0.678583, disagree_f1=0.554700, neural_f1=0.887160, agree_f1=0.385854, average_f1=0.609238
BATCH 14 training acc=0.750000, cost=0.598553, test acc=0.731783, cost=0.724543, disagree_f1=0.650366, neural_f1=0.873344, agree_f1=0.334489, average_f1=0.619400
BATCH 15 training acc=0.437500, cost=0.860647, test acc=0.740691, cost=0.750549, disagree_f1=0.685795, neural_f1=0.872708, agree_f1=0.300030, average_f1=0.619511
