Using GPU: 0...
X_train.shape=(30752, 2, 64), y_train.shape=(30752,);
X_test.shape=(3942, 2, 64), y_test.shape=(3942,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9407318579890258
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.r2q_attention_layer.0.weight
model.r2q_attention_layer.0.bias
model.r2q_attention_layer.3.weight
model.r2q_attention_layer.3.bias
model.q2r_attention_layer.0.weight
model.q2r_attention_layer.0.bias
model.q2r_attention_layer.3.weight
model.q2r_attention_layer.3.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.687500, cost=0.681859, test acc=0.664891, cost=0.640892, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 2 training acc=0.625000, cost=0.652225, test acc=0.664891, cost=0.623703, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 3 training acc=0.625000, cost=0.628335, test acc=0.664891, cost=0.620457, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 4 training acc=0.718750, cost=0.554005, test acc=0.664891, cost=0.639633, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 5 training acc=0.687500, cost=0.649382, test acc=0.664891, cost=0.630448, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 6 training acc=0.750000, cost=0.502393, test acc=0.664891, cost=0.627038, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 7 training acc=0.718750, cost=0.566507, test acc=0.664891, cost=0.617293, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 8 training acc=0.625000, cost=0.612090, test acc=0.664891, cost=0.605708, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 9 training acc=0.687500, cost=0.561114, test acc=0.661847, cost=0.600684, disagree_f1=0.793877, agree_f1=0.059280, average_f1=0.426578
BATCH 10 training acc=0.625000, cost=0.702575, test acc=0.678336, cost=0.602961, disagree_f1=0.790413, agree_f1=0.308615, average_f1=0.549514
BATCH 11 training acc=0.625000, cost=0.612414, test acc=0.671487, cost=0.607920, disagree_f1=0.770023, agree_f1=0.425211, average_f1=0.597617
BATCH 12 training acc=0.562500, cost=0.680925, test acc=0.662100, cost=0.617043, disagree_f1=0.748679, agree_f1=0.484520, average_f1=0.616600
BATCH 13 training acc=0.718750, cost=0.592614, test acc=0.668189, cost=0.607205, disagree_f1=0.759027, agree_f1=0.467427, average_f1=0.613227
BATCH 14 training acc=0.656250, cost=0.597545, test acc=0.675292, cost=0.595181, disagree_f1=0.779993, agree_f1=0.380445, average_f1=0.580219
BATCH 15 training acc=0.625000, cost=0.645731, test acc=0.681380, cost=0.594454, disagree_f1=0.792397, agree_f1=0.315158, average_f1=0.553777
BATCH 16 training acc=0.656250, cost=0.612119, test acc=0.679858, cost=0.597818, disagree_f1=0.796779, agree_f1=0.246117, average_f1=0.521448
BATCH 17 training acc=0.718750, cost=0.548835, test acc=0.670979, cost=0.605511, disagree_f1=0.795716, agree_f1=0.155049, average_f1=0.475382
BATCH 18 training acc=0.625000, cost=0.693981, test acc=0.669964, cost=0.602562, disagree_f1=0.796560, agree_f1=0.126259, average_f1=0.461410
BATCH 19 training acc=0.687500, cost=0.573451, test acc=0.669203, cost=0.598195, disagree_f1=0.797201, agree_f1=0.103164, average_f1=0.450182
BATCH 20 training acc=0.718750, cost=0.530713, test acc=0.669964, cost=0.593998, disagree_f1=0.797699, agree_f1=0.104611, average_f1=0.451155
BATCH 21 training acc=0.593750, cost=0.622069, test acc=0.671994, cost=0.588690, disagree_f1=0.796858, agree_f1=0.148782, average_f1=0.472820
BATCH 22 training acc=0.656250, cost=0.531336, test acc=0.683409, cost=0.585528, disagree_f1=0.797993, agree_f1=0.268464, average_f1=0.533229
BATCH 23 training acc=0.718750, cost=0.513192, test acc=0.688483, cost=0.584875, disagree_f1=0.795197, agree_f1=0.349576, average_f1=0.572387
BATCH 24 training acc=0.531250, cost=0.722586, test acc=0.690005, cost=0.582988, disagree_f1=0.785388, agree_f1=0.442009, average_f1=0.613699
BATCH 25 training acc=0.718750, cost=0.589382, test acc=0.683917, cost=0.587227, disagree_f1=0.763926, agree_f1=0.521873, average_f1=0.642899
BATCH 26 training acc=0.656250, cost=0.610396, test acc=0.670726, cost=0.589835, disagree_f1=0.747077, agree_f1=0.528343, average_f1=0.637710
BATCH 27 training acc=0.593750, cost=0.608998, test acc=0.676053, cost=0.587416, disagree_f1=0.752375, agree_f1=0.531720, average_f1=0.642048
BATCH 28 training acc=0.625000, cost=0.620589, test acc=0.682141, cost=0.583421, disagree_f1=0.761197, agree_f1=0.524839, average_f1=0.643018
BATCH 29 training acc=0.656250, cost=0.612048, test acc=0.691020, cost=0.580164, disagree_f1=0.774444, agree_f1=0.509662, average_f1=0.642053
BATCH 30 training acc=0.687500, cost=0.586337, test acc=0.694825, cost=0.579523, disagree_f1=0.783594, agree_f1=0.482581, average_f1=0.633087
BATCH 31 training acc=0.750000, cost=0.590714, test acc=0.694825, cost=0.579302, disagree_f1=0.786361, agree_f1=0.466045, average_f1=0.626203
BATCH 32 training acc=0.781250, cost=0.475398, test acc=0.696347, cost=0.583621, disagree_f1=0.789149, agree_f1=0.457635, average_f1=0.623392
BATCH 33 training acc=0.593750, cost=0.759860, test acc=0.697869, cost=0.577112, disagree_f1=0.788342, agree_f1=0.472308, average_f1=0.630325
BATCH 34 training acc=0.812500, cost=0.569957, test acc=0.699899, cost=0.571677, disagree_f1=0.784242, agree_f1=0.507289, average_f1=0.645765
BATCH 35 training acc=0.750000, cost=0.605666, test acc=0.700152, cost=0.573498, disagree_f1=0.777317, agree_f1=0.541149, average_f1=0.659233
BATCH 36 training acc=0.812500, cost=0.455872, test acc=0.701928, cost=0.572051, disagree_f1=0.779011, agree_f1=0.542267, average_f1=0.660639
BATCH 37 training acc=0.781250, cost=0.495386, test acc=0.704718, cost=0.567043, disagree_f1=0.786265, agree_f1=0.522559, average_f1=0.654412
BATCH 38 training acc=0.718750, cost=0.443087, test acc=0.701167, cost=0.572417, disagree_f1=0.792167, agree_f1=0.468412, average_f1=0.630289
BATCH 39 training acc=0.843750, cost=0.371868, test acc=0.705479, cost=0.616034, disagree_f1=0.804513, agree_f1=0.403085, average_f1=0.603799
BATCH 40 training acc=0.718750, cost=0.466081, test acc=0.698884, cost=0.673630, disagree_f1=0.803379, agree_f1=0.357336, average_f1=0.580358
BATCH 41 training acc=0.812500, cost=0.468149, test acc=0.696601, cost=0.700073, disagree_f1=0.802900, agree_f1=0.341410, average_f1=0.572155
BATCH 42 training acc=0.625000, cost=0.851050, test acc=0.697108, cost=0.682760, disagree_f1=0.803100, agree_f1=0.343956, average_f1=0.573528
BATCH 43 training acc=0.750000, cost=0.417155, test acc=0.699899, cost=0.648868, disagree_f1=0.804171, agree_f1=0.358112, average_f1=0.581142
BATCH 44 training acc=0.531250, cost=0.793079, test acc=0.704211, cost=0.603479, disagree_f1=0.805147, agree_f1=0.386316, average_f1=0.595731
BATCH 45 training acc=0.656250, cost=0.750071, test acc=0.709538, cost=0.570209, disagree_f1=0.804641, agree_f1=0.434009, average_f1=0.619325
BATCH 46 training acc=0.750000, cost=0.561279, test acc=0.709285, cost=0.562261, disagree_f1=0.798239, agree_f1=0.480036, average_f1=0.639138
BATCH 47 training acc=0.812500, cost=0.461212, test acc=0.708524, cost=0.565396, disagree_f1=0.794785, agree_f1=0.497155, average_f1=0.645970
