Using GPU: 0...
X_train.shape=(30752, 2, 64), y_train.shape=(30752,);
X_test.shape=(3942, 2, 64), y_test.shape=(3942,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9407318579890258
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.cross_dot_v1_r2q_attention_layer.0.weight
model.cross_dot_v1_r2q_attention_layer.0.bias
model.cross_dot_v1_q2r_attention_layer.0.weight
model.cross_dot_v1_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.468750, cost=0.699999, test acc=0.664891, cost=0.659342, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 2 training acc=0.656250, cost=0.658049, test acc=0.664891, cost=0.629749, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 3 training acc=0.625000, cost=0.659150, test acc=0.664891, cost=0.620605, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 4 training acc=0.656250, cost=0.632749, test acc=0.664891, cost=0.624068, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 5 training acc=0.656250, cost=0.631469, test acc=0.664891, cost=0.625452, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 6 training acc=0.656250, cost=0.636533, test acc=0.664891, cost=0.617754, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 7 training acc=0.625000, cost=0.665974, test acc=0.664891, cost=0.610067, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 8 training acc=0.625000, cost=0.625288, test acc=0.664891, cost=0.609737, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 9 training acc=0.718750, cost=0.551387, test acc=0.665398, cost=0.604665, disagree_f1=0.798964, agree_f1=0.003023, average_f1=0.400994
BATCH 10 training acc=0.656250, cost=0.655764, test acc=0.665145, cost=0.600811, disagree_f1=0.795918, agree_f1=0.067797, average_f1=0.431857
BATCH 11 training acc=0.656250, cost=0.622101, test acc=0.671740, cost=0.597627, disagree_f1=0.795706, agree_f1=0.165161, average_f1=0.480434
BATCH 12 training acc=0.562500, cost=0.632478, test acc=0.680365, cost=0.595089, disagree_f1=0.794252, agree_f1=0.284091, average_f1=0.539172
BATCH 13 training acc=0.562500, cost=0.625793, test acc=0.677321, cost=0.595557, disagree_f1=0.778165, agree_f1=0.408372, average_f1=0.593269
BATCH 14 training acc=0.687500, cost=0.559646, test acc=0.677575, cost=0.594577, disagree_f1=0.769119, agree_f1=0.465742, average_f1=0.617430
BATCH 15 training acc=0.781250, cost=0.493055, test acc=0.681126, cost=0.595883, disagree_f1=0.774691, agree_f1=0.454664, average_f1=0.614677
BATCH 16 training acc=0.656250, cost=0.568721, test acc=0.680619, cost=0.611765, disagree_f1=0.776178, agree_f1=0.442674, average_f1=0.609426
BATCH 17 training acc=0.593750, cost=0.721873, test acc=0.676306, cost=0.613073, disagree_f1=0.768505, agree_f1=0.462057, average_f1=0.615281
