Using GPU: 1...
X_train.shape=(33444, 2, 64), y_train.shape=(33444,);
X_test.shape=(11226, 2, 64), y_test.shape=(11226,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9516045739579491
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.cross_dot_v2_r2q_attention_layer.0.weight
model.cross_dot_v2_r2q_attention_layer.0.bias
model.cross_dot_v2_q2r_attention_layer.0.weight
model.cross_dot_v2_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.406250, cost=1.096613, test acc=0.666756, cost=1.067705, disagree_f1=0.000000, neural_f1=0.810549, agree_f1=0.227968, average_f1=0.346172
BATCH 2 training acc=0.406250, cost=1.089957, test acc=0.751648, cost=1.043961, disagree_f1=0.543162, neural_f1=0.859461, agree_f1=0.085932, average_f1=0.496185
BATCH 3 training acc=0.593750, cost=1.064623, test acc=0.796009, cost=1.007290, disagree_f1=0.674349, neural_f1=0.899366, agree_f1=0.000000, average_f1=0.524572
BATCH 4 training acc=0.625000, cost=1.035050, test acc=0.805006, cost=0.951798, disagree_f1=0.690840, neural_f1=0.909571, agree_f1=0.000000, average_f1=0.533470
BATCH 5 training acc=0.218750, cost=1.158822, test acc=0.817032, cost=0.931500, disagree_f1=0.714104, neural_f1=0.922417, agree_f1=0.000000, average_f1=0.545507
BATCH 6 training acc=0.812500, cost=0.943177, test acc=0.822644, cost=0.881496, disagree_f1=0.724029, neural_f1=0.929735, agree_f1=0.000000, average_f1=0.551255
BATCH 7 training acc=0.593750, cost=0.989168, test acc=0.820417, cost=0.843902, disagree_f1=0.722149, neural_f1=0.932455, agree_f1=0.000000, average_f1=0.551535
BATCH 8 training acc=0.625000, cost=0.879363, test acc=0.792179, cost=0.820913, disagree_f1=0.690990, neural_f1=0.912750, agree_f1=0.000000, average_f1=0.534580
BATCH 9 training acc=0.781250, cost=0.819102, test acc=0.757171, cost=0.789789, disagree_f1=0.655742, neural_f1=0.883401, agree_f1=0.000000, average_f1=0.513048
BATCH 10 training acc=0.687500, cost=0.808575, test acc=0.757260, cost=0.745172, disagree_f1=0.655380, neural_f1=0.883755, agree_f1=0.000000, average_f1=0.513045
BATCH 11 training acc=0.562500, cost=0.886949, test acc=0.796187, cost=0.660130, disagree_f1=0.694878, neural_f1=0.916644, agree_f1=0.000000, average_f1=0.537174
BATCH 12 training acc=0.593750, cost=0.862212, test acc=0.818101, cost=0.561274, disagree_f1=0.719332, neural_f1=0.931893, agree_f1=0.000000, average_f1=0.550408
BATCH 13 training acc=0.656250, cost=0.784295, test acc=0.826118, cost=0.493200, disagree_f1=0.729096, neural_f1=0.935227, agree_f1=0.026451, average_f1=0.563591
BATCH 14 training acc=0.625000, cost=0.676903, test acc=0.823980, cost=0.478380, disagree_f1=0.723200, neural_f1=0.932522, agree_f1=0.118863, average_f1=0.591528
