Using GPU: 0...
X_train.shape=(30752, 2, 64), y_train.shape=(30752,);
X_test.shape=(3942, 2, 64), y_test.shape=(3942,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9407318579890258
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.q2q_attention_layer.0.weight
model.q2q_attention_layer.0.bias
model.q2q_attention_layer.3.weight
model.q2q_attention_layer.3.bias
model.r2r_attention_layer.0.weight
model.r2r_attention_layer.0.bias
model.r2r_attention_layer.3.weight
model.r2r_attention_layer.3.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.281250, cost=0.712685, test acc=0.664891, cost=0.651814, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 2 training acc=0.468750, cost=0.698202, test acc=0.664891, cost=0.637331, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 3 training acc=0.656250, cost=0.631608, test acc=0.664891, cost=0.620527, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 4 training acc=0.562500, cost=0.668230, test acc=0.664891, cost=0.613072, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 5 training acc=0.562500, cost=0.690504, test acc=0.664891, cost=0.612533, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 6 training acc=0.562500, cost=0.705770, test acc=0.664891, cost=0.620347, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 7 training acc=0.593750, cost=0.648354, test acc=0.663115, cost=0.628235, disagree_f1=0.793468, agree_f1=0.086657, average_f1=0.440063
BATCH 8 training acc=0.656250, cost=0.641691, test acc=0.676306, cost=0.632558, disagree_f1=0.785474, agree_f1=0.340909, average_f1=0.563192
BATCH 9 training acc=0.750000, cost=0.605375, test acc=0.676053, cost=0.619634, disagree_f1=0.788050, agree_f1=0.313072, average_f1=0.550561
BATCH 10 training acc=0.750000, cost=0.585129, test acc=0.672248, cost=0.603950, disagree_f1=0.794005, agree_f1=0.198511, average_f1=0.496258
BATCH 11 training acc=0.718750, cost=0.587782, test acc=0.662861, cost=0.602338, disagree_f1=0.791399, agree_f1=0.121613, average_f1=0.456506
BATCH 12 training acc=0.468750, cost=0.778425, test acc=0.668950, cost=0.605069, disagree_f1=0.793611, agree_f1=0.163997, average_f1=0.478804
BATCH 13 training acc=0.687500, cost=0.606014, test acc=0.672248, cost=0.609734, disagree_f1=0.794202, agree_f1=0.195517, average_f1=0.494859
BATCH 14 training acc=0.656250, cost=0.617480, test acc=0.675038, cost=0.612436, disagree_f1=0.791470, agree_f1=0.264216, average_f1=0.527843
BATCH 15 training acc=0.687500, cost=0.617762, test acc=0.673770, cost=0.608891, disagree_f1=0.786094, agree_f1=0.313034, average_f1=0.549564
BATCH 16 training acc=0.718750, cost=0.677388, test acc=0.671740, cost=0.602785, disagree_f1=0.775659, agree_f1=0.388469, average_f1=0.582064
