Using GPU: 0...
X_train.shape=(30752, 2, 64), y_train.shape=(30752,);
X_test.shape=(3942, 2, 64), y_test.shape=(3942,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9407318579890258
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.531250, cost=0.692995, test acc=0.664891, cost=0.647924, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 2 training acc=0.468750, cost=0.703352, test acc=0.664891, cost=0.637144, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 3 training acc=0.718750, cost=0.615921, test acc=0.664891, cost=0.624610, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 4 training acc=0.656250, cost=0.631570, test acc=0.664891, cost=0.619234, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 5 training acc=0.656250, cost=0.643327, test acc=0.664891, cost=0.619724, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 6 training acc=0.656250, cost=0.607274, test acc=0.664891, cost=0.620077, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 7 training acc=0.562500, cost=0.698238, test acc=0.664891, cost=0.613909, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 8 training acc=0.718750, cost=0.533157, test acc=0.664891, cost=0.612308, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 9 training acc=0.656250, cost=0.628045, test acc=0.664891, cost=0.608838, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 10 training acc=0.562500, cost=0.678498, test acc=0.664891, cost=0.601143, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 11 training acc=0.750000, cost=0.565226, test acc=0.662861, cost=0.599901, disagree_f1=0.796009, agree_f1=0.029218, average_f1=0.412614
BATCH 12 training acc=0.562500, cost=0.583263, test acc=0.670218, cost=0.602012, disagree_f1=0.791933, agree_f1=0.205379, average_f1=0.498656
BATCH 13 training acc=0.656250, cost=0.713574, test acc=0.679604, cost=0.614371, disagree_f1=0.781071, agree_f1=0.402837, average_f1=0.591954
BATCH 14 training acc=0.625000, cost=0.617052, test acc=0.660325, cost=0.631433, disagree_f1=0.737193, agree_f1=0.519900, average_f1=0.628546
BATCH 15 training acc=0.750000, cost=0.609185, test acc=0.660578, cost=0.625767, disagree_f1=0.738365, agree_f1=0.516968, average_f1=0.627666
BATCH 16 training acc=0.843750, cost=0.566223, test acc=0.681887, cost=0.606514, disagree_f1=0.770750, agree_f1=0.480530, average_f1=0.625640
BATCH 17 training acc=0.625000, cost=0.616354, test acc=0.686961, cost=0.593331, disagree_f1=0.789563, agree_f1=0.389109, average_f1=0.589336
BATCH 18 training acc=0.843750, cost=0.544282, test acc=0.676053, cost=0.597238, disagree_f1=0.792121, agree_f1=0.266513, average_f1=0.529317
BATCH 19 training acc=0.718750, cost=0.611875, test acc=0.672755, cost=0.621384, disagree_f1=0.794521, agree_f1=0.196762, average_f1=0.495641
BATCH 20 training acc=0.718750, cost=0.631006, test acc=0.668950, cost=0.635733, disagree_f1=0.793806, agree_f1=0.160772, average_f1=0.477289
BATCH 21 training acc=0.750000, cost=0.485124, test acc=0.668950, cost=0.638967, disagree_f1=0.794002, agree_f1=0.157521, average_f1=0.475761
BATCH 22 training acc=0.687500, cost=0.618403, test acc=0.671233, cost=0.627412, disagree_f1=0.794742, agree_f1=0.174522, average_f1=0.484632
BATCH 23 training acc=0.531250, cost=0.872001, test acc=0.672755, cost=0.608435, disagree_f1=0.793798, agree_f1=0.207617, average_f1=0.500707
