Using GPU: 0...
X_train.shape=(33444, 2, 64), y_train.shape=(33444,);
X_test.shape=(11226, 2, 64), y_test.shape=(11226,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9516045739579491
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.250000, cost=1.106623, test acc=0.648851, cost=1.049145, disagree_f1=0.000000, neural_f1=0.787034, agree_f1=0.000000, average_f1=0.262345
BATCH 2 training acc=0.437500, cost=1.080510, test acc=0.694370, cost=0.999378, disagree_f1=0.307826, neural_f1=0.821673, agree_f1=0.000000, average_f1=0.376500
BATCH 3 training acc=0.406250, cost=1.065112, test acc=0.793159, cost=0.962401, disagree_f1=0.665075, neural_f1=0.898175, agree_f1=0.000000, average_f1=0.521083
BATCH 4 training acc=0.437500, cost=1.129521, test acc=0.821397, cost=0.953633, disagree_f1=0.721107, neural_f1=0.931860, agree_f1=0.000000, average_f1=0.550989
BATCH 5 training acc=0.468750, cost=1.070834, test acc=0.753786, cost=0.953491, disagree_f1=0.651777, neural_f1=0.880331, agree_f1=0.000000, average_f1=0.510703
BATCH 6 training acc=0.562500, cost=1.001515, test acc=0.685997, cost=0.952025, disagree_f1=0.594086, neural_f1=0.815818, agree_f1=0.000000, average_f1=0.469968
BATCH 7 training acc=0.500000, cost=0.962395, test acc=0.652325, cost=0.955211, disagree_f1=0.567952, neural_f1=0.780900, agree_f1=0.000000, average_f1=0.449617
BATCH 8 training acc=0.593750, cost=0.902611, test acc=0.670586, cost=0.939626, disagree_f1=0.581749, neural_f1=0.800348, agree_f1=0.001505, average_f1=0.461201
BATCH 9 training acc=0.531250, cost=0.866101, test acc=0.702209, cost=0.896154, disagree_f1=0.626643, neural_f1=0.829913, agree_f1=0.166828, average_f1=0.541128
BATCH 10 training acc=0.562500, cost=0.823408, test acc=0.650098, cost=0.823898, disagree_f1=0.249011, neural_f1=0.862532, agree_f1=0.392225, average_f1=0.501256
BATCH 11 training acc=0.593750, cost=0.816618, test acc=0.659273, cost=0.719222, disagree_f1=0.070922, neural_f1=0.890053, agree_f1=0.402511, average_f1=0.454495
BATCH 12 training acc=0.656250, cost=0.708275, test acc=0.684482, cost=0.621896, disagree_f1=0.099607, neural_f1=0.906995, agree_f1=0.409511, average_f1=0.472037
BATCH 13 training acc=0.687500, cost=0.573797, test acc=0.789328, cost=0.536612, disagree_f1=0.585784, neural_f1=0.930411, agree_f1=0.422041, average_f1=0.646079
BATCH 14 training acc=0.750000, cost=0.604947, test acc=0.820239, cost=0.500319, disagree_f1=0.710669, neural_f1=0.934231, agree_f1=0.286932, average_f1=0.643944
