Using GPU: 1...
X_train.shape=(30752, 2, 64), y_train.shape=(30752,);
X_test.shape=(3942, 2, 64), y_test.shape=(3942,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9407318579890258
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.q2q_attention_layer.0.weight
model.q2q_attention_layer.0.bias
model.q2q_attention_layer.3.weight
model.q2q_attention_layer.3.bias
model.r2r_attention_layer.0.weight
model.r2r_attention_layer.0.bias
model.r2r_attention_layer.3.weight
model.r2r_attention_layer.3.bias
model.cross_dot_v1_r2q_attention_layer.0.weight
model.cross_dot_v1_r2q_attention_layer.0.bias
model.cross_dot_v1_q2r_attention_layer.0.weight
model.cross_dot_v1_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.375000, cost=0.696743, test acc=0.664891, cost=0.627398, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 2 training acc=0.500000, cost=0.737839, test acc=0.664891, cost=0.628302, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 3 training acc=0.718750, cost=0.599098, test acc=0.664891, cost=0.621558, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 4 training acc=0.562500, cost=0.673943, test acc=0.664891, cost=0.618195, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 5 training acc=0.687500, cost=0.621781, test acc=0.664891, cost=0.615189, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 6 training acc=0.687500, cost=0.600333, test acc=0.664891, cost=0.611907, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 7 training acc=0.750000, cost=0.548125, test acc=0.664891, cost=0.609963, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 8 training acc=0.593750, cost=0.637997, test acc=0.664891, cost=0.608379, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 9 training acc=0.718750, cost=0.503885, test acc=0.664891, cost=0.615075, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 10 training acc=0.562500, cost=0.726173, test acc=0.662861, cost=0.612103, disagree_f1=0.796571, agree_f1=0.016284, average_f1=0.406428
BATCH 11 training acc=0.625000, cost=0.582646, test acc=0.671233, cost=0.606349, disagree_f1=0.795584, agree_f1=0.160622, average_f1=0.478103
BATCH 12 training acc=0.562500, cost=0.803762, test acc=0.675038, cost=0.598045, disagree_f1=0.783285, agree_f1=0.350735, average_f1=0.567010
BATCH 13 training acc=0.750000, cost=0.520457, test acc=0.671740, cost=0.597795, disagree_f1=0.770973, agree_f1=0.420770, average_f1=0.595872
BATCH 14 training acc=0.750000, cost=0.582545, test acc=0.668950, cost=0.598031, disagree_f1=0.764398, agree_f1=0.443497, average_f1=0.603947
BATCH 15 training acc=0.718750, cost=0.553644, test acc=0.670218, cost=0.601283, disagree_f1=0.761117, agree_f1=0.467649, average_f1=0.614383
BATCH 16 training acc=0.781250, cost=0.565415, test acc=0.662100, cost=0.605464, disagree_f1=0.749624, agree_f1=0.480499, average_f1=0.615062
BATCH 17 training acc=0.625000, cost=0.634953, test acc=0.668950, cost=0.607020, disagree_f1=0.757209, agree_f1=0.479872, average_f1=0.618541
BATCH 18 training acc=0.656250, cost=0.561583, test acc=0.678336, cost=0.614754, disagree_f1=0.775177, agree_f1=0.434938, average_f1=0.605057
