Using GPU: 1...
X_train.shape=(30752, 2, 64), y_train.shape=(30752,);
X_test.shape=(3942, 2, 64), y_test.shape=(3942,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9407318579890258
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.r2q_attention_layer.0.weight
model.r2q_attention_layer.0.bias
model.r2q_attention_layer.3.weight
model.r2q_attention_layer.3.bias
model.q2r_attention_layer.0.weight
model.q2r_attention_layer.0.bias
model.q2r_attention_layer.3.weight
model.q2r_attention_layer.3.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.625000, cost=0.684127, test acc=0.664891, cost=0.628910, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 2 training acc=0.656250, cost=0.621368, test acc=0.664891, cost=0.636401, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 3 training acc=0.531250, cost=0.765443, test acc=0.664891, cost=0.628769, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 4 training acc=0.531250, cost=0.767217, test acc=0.664891, cost=0.619117, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 5 training acc=0.593750, cost=0.679819, test acc=0.664891, cost=0.627269, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 6 training acc=0.718750, cost=0.601483, test acc=0.664891, cost=0.630084, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 7 training acc=0.718750, cost=0.607050, test acc=0.664891, cost=0.623129, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 8 training acc=0.718750, cost=0.582310, test acc=0.664891, cost=0.611110, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 9 training acc=0.625000, cost=0.598311, test acc=0.664891, cost=0.604723, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 10 training acc=0.718750, cost=0.560097, test acc=0.664891, cost=0.609087, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 11 training acc=0.656250, cost=0.546640, test acc=0.665145, cost=0.623001, disagree_f1=0.798780, agree_f1=0.003021, average_f1=0.400901
BATCH 12 training acc=0.781250, cost=0.504763, test acc=0.663876, cost=0.641599, disagree_f1=0.796311, agree_f1=0.039159, average_f1=0.417735
BATCH 13 training acc=0.406250, cost=0.904562, test acc=0.666159, cost=0.636490, disagree_f1=0.793017, agree_f1=0.137615, average_f1=0.465316
BATCH 14 training acc=0.781250, cost=0.481301, test acc=0.673516, cost=0.633230, disagree_f1=0.792520, agree_f1=0.234384, average_f1=0.513452
BATCH 15 training acc=0.656250, cost=0.615593, test acc=0.672501, cost=0.621782, disagree_f1=0.778293, agree_f1=0.373605, average_f1=0.575949
BATCH 16 training acc=0.593750, cost=0.634877, test acc=0.661847, cost=0.611836, disagree_f1=0.753559, agree_f1=0.461414, average_f1=0.607487
BATCH 17 training acc=0.625000, cost=0.742841, test acc=0.640030, cost=0.610794, disagree_f1=0.716257, agree_f1=0.507804, average_f1=0.612031
BATCH 18 training acc=0.562500, cost=0.725600, test acc=0.629630, cost=0.621810, disagree_f1=0.694049, agree_f1=0.530848, average_f1=0.612448
BATCH 19 training acc=0.625000, cost=0.602133, test acc=0.620244, cost=0.634754, disagree_f1=0.678548, agree_f1=0.536102, average_f1=0.607325
BATCH 20 training acc=0.531250, cost=0.666726, test acc=0.614916, cost=0.642469, disagree_f1=0.670716, agree_f1=0.536347, average_f1=0.603531
BATCH 21 training acc=0.593750, cost=0.662251, test acc=0.620244, cost=0.644381, disagree_f1=0.677440, agree_f1=0.538390, average_f1=0.607915
BATCH 22 training acc=0.718750, cost=0.621015, test acc=0.628869, cost=0.639878, disagree_f1=0.691024, agree_f1=0.535408, average_f1=0.613216
BATCH 23 training acc=0.750000, cost=0.611859, test acc=0.645104, cost=0.628307, disagree_f1=0.718341, agree_f1=0.520398, average_f1=0.619369
