Using GPU: 1...
X_train.shape=(33444, 2, 64), y_train.shape=(33444,);
X_test.shape=(11226, 2, 64), y_test.shape=(11226,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9516045739579491
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.cross_dot_v2_r2q_attention_layer.0.weight
model.cross_dot_v2_r2q_attention_layer.0.bias
model.cross_dot_v2_q2r_attention_layer.0.weight
model.cross_dot_v2_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.375000, cost=1.095003, test acc=0.117673, cost=1.210390, disagree_f1=0.000000, neural_f1=0.000000, agree_f1=0.210568, average_f1=0.070189
BATCH 2 training acc=0.312500, cost=1.127880, test acc=0.117673, cost=1.165770, disagree_f1=0.000000, neural_f1=0.000000, agree_f1=0.210568, average_f1=0.070189
BATCH 3 training acc=0.375000, cost=1.070059, test acc=0.117851, cost=1.100172, disagree_f1=0.001525, neural_f1=0.000000, agree_f1=0.210602, average_f1=0.070709
BATCH 4 training acc=0.312500, cost=1.063115, test acc=0.524140, cost=1.007297, disagree_f1=0.523164, neural_f1=0.678496, agree_f1=0.279291, average_f1=0.493650
BATCH 5 training acc=0.468750, cost=1.050675, test acc=0.808213, cost=0.919555, disagree_f1=0.680201, neural_f1=0.922287, agree_f1=0.272161, average_f1=0.624883
BATCH 6 training acc=0.656250, cost=0.944707, test acc=0.802868, cost=0.864541, disagree_f1=0.704858, neural_f1=0.911856, agree_f1=0.020603, average_f1=0.545772
BATCH 7 training acc=0.718750, cost=0.851868, test acc=0.785587, cost=0.818669, disagree_f1=0.684693, neural_f1=0.900381, agree_f1=0.000000, average_f1=0.528358
BATCH 8 training acc=0.500000, cost=1.071828, test acc=0.812845, cost=0.760524, disagree_f1=0.716748, neural_f1=0.921605, agree_f1=0.000000, average_f1=0.546117
BATCH 9 training acc=0.625000, cost=0.999420, test acc=0.819704, cost=0.700715, disagree_f1=0.723268, neural_f1=0.924586, agree_f1=0.000000, average_f1=0.549285
BATCH 10 training acc=0.625000, cost=0.956306, test acc=0.812845, cost=0.637931, disagree_f1=0.708240, neural_f1=0.916218, agree_f1=0.000000, average_f1=0.541486
BATCH 11 training acc=0.625000, cost=0.809187, test acc=0.806431, cost=0.594115, disagree_f1=0.695286, neural_f1=0.910292, agree_f1=0.005979, average_f1=0.537186
BATCH 12 training acc=0.656250, cost=0.718370, test acc=0.805006, cost=0.562101, disagree_f1=0.686040, neural_f1=0.908977, agree_f1=0.076389, average_f1=0.557135
BATCH 13 training acc=0.656250, cost=0.688671, test acc=0.809906, cost=0.544406, disagree_f1=0.681945, neural_f1=0.917043, agree_f1=0.197299, average_f1=0.598762
BATCH 14 training acc=0.656250, cost=0.728669, test acc=0.814360, cost=0.544746, disagree_f1=0.682654, neural_f1=0.928479, agree_f1=0.284333, average_f1=0.631822
BATCH 15 training acc=0.656250, cost=0.707008, test acc=0.799840, cost=0.555072, disagree_f1=0.671669, neural_f1=0.926098, agree_f1=0.329811, average_f1=0.642526
