Using GPU: 3...
X_train.shape=(19819, 2, 64), y_train.shape=(19819,);
X_test.shape=(4955, 2, 64), y_test.shape=(4955,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9253959683225342
model.bilstm.bilstm.weight_ih_l0
model.bilstm.bilstm.weight_hh_l0
model.bilstm.bilstm.bias_ih_l0
model.bilstm.bilstm.bias_hh_l0
model.bilstm.bilstm.weight_ih_l0_reverse
model.bilstm.bilstm.weight_hh_l0_reverse
model.bilstm.bilstm.bias_ih_l0_reverse
model.bilstm.bilstm.bias_hh_l0_reverse
model.quote_attention_Wy.weight
model.quote_attention_Wh.weight
model.quote_attention_Wa.weight
model.response_attention_Wy.weight
model.response_attention_Wh.weight
model.response_attention_Wa.weight
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.375000, cost=0.700901, test acc=0.516448, cost=0.703203, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 2 training acc=0.562500, cost=0.696813, test acc=0.516448, cost=0.713608, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 3 training acc=0.500000, cost=0.725480, test acc=0.516448, cost=0.707374, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 4 training acc=0.718750, cost=0.617518, test acc=0.516448, cost=0.711371, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 5 training acc=0.593750, cost=0.664861, test acc=0.516448, cost=0.714801, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 6 training acc=0.406250, cost=0.770413, test acc=0.516448, cost=0.706776, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 7 training acc=0.437500, cost=0.750171, test acc=0.516448, cost=0.697101, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 8 training acc=0.500000, cost=0.704682, test acc=0.516448, cost=0.692599, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 9 training acc=0.406250, cost=0.711565, test acc=0.521695, cost=0.691798, disagree_f1=0.645316, agree_f1=0.265799, average_f1=0.455558
BATCH 10 training acc=0.500000, cost=0.690676, test acc=0.499495, cost=0.693874, disagree_f1=0.301802, agree_f1=0.609940, average_f1=0.455871
BATCH 11 training acc=0.562500, cost=0.687144, test acc=0.488396, cost=0.694559, disagree_f1=0.243509, agree_f1=0.613508, average_f1=0.428509
