Using GPU: 0...
X_train.shape=(19819, 2, 64), y_train.shape=(19819,);
X_test.shape=(4955, 2, 64), y_test.shape=(4955,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9253959683225342
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.468750, cost=0.773156, test acc=0.511604, cost=1.836074, disagree_f1=0.676903, agree_f1=0.000000, average_f1=0.338451
BATCH 2 training acc=0.375000, cost=2.445205, test acc=0.511604, cost=0.812410, disagree_f1=0.676903, agree_f1=0.000000, average_f1=0.338451
BATCH 3 training acc=0.437500, cost=1.043187, test acc=0.485772, cost=0.965691, disagree_f1=0.007015, agree_f1=0.653050, average_f1=0.330032
BATCH 4 training acc=0.375000, cost=1.148399, test acc=0.488396, cost=0.870934, disagree_f1=0.000000, agree_f1=0.656271, average_f1=0.328136
BATCH 5 training acc=0.718750, cost=0.598079, test acc=0.488396, cost=0.831594, disagree_f1=0.000000, agree_f1=0.656271, average_f1=0.328136
BATCH 6 training acc=0.312500, cost=0.953666, test acc=0.488396, cost=0.778314, disagree_f1=0.000000, agree_f1=0.656271, average_f1=0.328136
BATCH 7 training acc=0.625000, cost=0.738359, test acc=0.488396, cost=0.730146, disagree_f1=0.000000, agree_f1=0.656271, average_f1=0.328136
BATCH 8 training acc=0.375000, cost=0.956203, test acc=0.488396, cost=0.694053, disagree_f1=0.000000, agree_f1=0.656271, average_f1=0.328136
BATCH 9 training acc=0.468750, cost=0.759034, test acc=0.543088, cost=0.689235, disagree_f1=0.658933, agree_f1=0.308068, average_f1=0.483501
BATCH 10 training acc=0.500000, cost=0.776207, test acc=0.541675, cost=0.689499, disagree_f1=0.661399, agree_f1=0.290977, average_f1=0.476188
BATCH 11 training acc=0.406250, cost=0.945905, test acc=0.538648, cost=0.690246, disagree_f1=0.642254, agree_f1=0.350568, average_f1=0.496411
BATCH 12 training acc=0.500000, cost=0.683607, test acc=0.523310, cost=0.691183, disagree_f1=0.672490, agree_f1=0.124537, average_f1=0.398513
BATCH 13 training acc=0.593750, cost=0.634042, test acc=0.511604, cost=0.697943, disagree_f1=0.676903, agree_f1=0.000000, average_f1=0.338451
BATCH 14 training acc=0.406250, cost=0.850341, test acc=0.511604, cost=0.700690, disagree_f1=0.676903, agree_f1=0.000000, average_f1=0.338451
BATCH 15 training acc=0.625000, cost=0.667942, test acc=0.511604, cost=0.702601, disagree_f1=0.676903, agree_f1=0.000000, average_f1=0.338451
BATCH 16 training acc=0.531250, cost=0.742326, test acc=0.511604, cost=0.705293, disagree_f1=0.676903, agree_f1=0.000000, average_f1=0.338451
BATCH 17 training acc=0.468750, cost=0.790724, test acc=0.511604, cost=0.708038, disagree_f1=0.676903, agree_f1=0.000000, average_f1=0.338451
BATCH 18 training acc=0.437500, cost=0.865393, test acc=0.511604, cost=0.709846, disagree_f1=0.676903, agree_f1=0.000000, average_f1=0.338451
BATCH 19 training acc=0.593750, cost=0.740776, test acc=0.511604, cost=0.713182, disagree_f1=0.676903, agree_f1=0.000000, average_f1=0.338451
BATCH 20 training acc=0.437500, cost=0.886752, test acc=0.511604, cost=0.710048, disagree_f1=0.676903, agree_f1=0.000000, average_f1=0.338451
