Using GPU: 2...
X_train.shape=(19820, 2, 64), y_train.shape=(19820,);
X_test.shape=(4954, 2, 64), y_test.shape=(4954,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9253959683225342
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.q2q_attention_layer.0.weight
model.q2q_attention_layer.0.bias
model.q2q_attention_layer.3.weight
model.q2q_attention_layer.3.bias
model.r2r_attention_layer.0.weight
model.r2r_attention_layer.0.bias
model.r2r_attention_layer.3.weight
model.r2r_attention_layer.3.bias
model.r2q_attention_layer.0.weight
model.r2q_attention_layer.0.bias
model.r2q_attention_layer.3.weight
model.r2q_attention_layer.3.bias
model.q2r_attention_layer.0.weight
model.q2r_attention_layer.0.bias
model.q2r_attention_layer.3.weight
model.q2r_attention_layer.3.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.468750, cost=0.690537, test acc=0.519580, cost=0.693647, disagree_f1=0.683847, agree_f1=0.000000, average_f1=0.341923
BATCH 2 training acc=0.656250, cost=0.668421, test acc=0.519580, cost=0.720304, disagree_f1=0.683847, agree_f1=0.000000, average_f1=0.341923
BATCH 3 training acc=0.625000, cost=0.647725, test acc=0.519580, cost=0.764157, disagree_f1=0.683847, agree_f1=0.000000, average_f1=0.341923
BATCH 4 training acc=0.562500, cost=0.726517, test acc=0.519580, cost=0.739003, disagree_f1=0.683847, agree_f1=0.000000, average_f1=0.341923
BATCH 5 training acc=0.500000, cost=0.744562, test acc=0.519580, cost=0.706795, disagree_f1=0.683847, agree_f1=0.000000, average_f1=0.341923
BATCH 6 training acc=0.531250, cost=0.692598, test acc=0.519580, cost=0.693995, disagree_f1=0.683847, agree_f1=0.000000, average_f1=0.341923
BATCH 7 training acc=0.687500, cost=0.651709, test acc=0.519580, cost=0.692818, disagree_f1=0.683847, agree_f1=0.000000, average_f1=0.341923
BATCH 8 training acc=0.468750, cost=0.698552, test acc=0.519580, cost=0.692229, disagree_f1=0.683847, agree_f1=0.000000, average_f1=0.341923
BATCH 9 training acc=0.406250, cost=0.703391, test acc=0.484659, cost=0.694944, disagree_f1=0.102005, agree_f1=0.638641, average_f1=0.370323
BATCH 10 training acc=0.500000, cost=0.687234, test acc=0.480420, cost=0.698890, disagree_f1=0.000000, agree_f1=0.649032, average_f1=0.324516
BATCH 11 training acc=0.468750, cost=0.704410, test acc=0.480420, cost=0.697077, disagree_f1=0.000000, agree_f1=0.649032, average_f1=0.324516
BATCH 12 training acc=0.593750, cost=0.684608, test acc=0.480420, cost=0.695955, disagree_f1=0.000000, agree_f1=0.649032, average_f1=0.324516
BATCH 13 training acc=0.375000, cost=0.721481, test acc=0.533105, cost=0.691345, disagree_f1=0.553561, agree_f1=0.510683, average_f1=0.532122
BATCH 14 training acc=0.656250, cost=0.678605, test acc=0.549455, cost=0.689325, disagree_f1=0.666766, agree_f1=0.304673, average_f1=0.485720
BATCH 15 training acc=0.625000, cost=0.677174, test acc=0.533105, cost=0.691281, disagree_f1=0.680481, agree_f1=0.133383, average_f1=0.406932
BATCH 16 training acc=0.625000, cost=0.664369, test acc=0.520388, cost=0.700185, disagree_f1=0.683031, agree_f1=0.014925, average_f1=0.348978
BATCH 17 training acc=0.437500, cost=0.741755, test acc=0.520993, cost=0.702512, disagree_f1=0.683727, agree_f1=0.013306, average_f1=0.348516
BATCH 18 training acc=0.562500, cost=0.680561, test acc=0.521397, cost=0.702045, disagree_f1=0.684077, agree_f1=0.013317, average_f1=0.348697
