Using GPU: 2...
X_train.shape=(19819, 2, 64), y_train.shape=(19819,);
X_test.shape=(4955, 2, 64), y_test.shape=(4955,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9253959683225342
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.q2q_attention_layer.0.weight
model.q2q_attention_layer.0.bias
model.q2q_attention_layer.3.weight
model.q2q_attention_layer.3.bias
model.r2r_attention_layer.0.weight
model.r2r_attention_layer.0.bias
model.r2r_attention_layer.3.weight
model.r2r_attention_layer.3.bias
model.cross_dot_v2_r2q_attention_layer.0.weight
model.cross_dot_v2_r2q_attention_layer.0.bias
model.cross_dot_v2_q2r_attention_layer.0.weight
model.cross_dot_v2_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.562500, cost=0.689212, test acc=0.483552, cost=0.700061, disagree_f1=0.000000, agree_f1=0.651884, average_f1=0.325942
BATCH 2 training acc=0.531250, cost=0.688326, test acc=0.483552, cost=0.697366, disagree_f1=0.000000, agree_f1=0.651884, average_f1=0.325942
BATCH 3 training acc=0.406250, cost=0.715437, test acc=0.531382, cost=0.691150, disagree_f1=0.673418, agree_f1=0.170714, average_f1=0.422066
BATCH 4 training acc=0.531250, cost=0.696544, test acc=0.522704, cost=0.696256, disagree_f1=0.678887, agree_f1=0.070727, average_f1=0.374807
BATCH 5 training acc=0.625000, cost=0.653000, test acc=0.516448, cost=0.713976, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 6 training acc=0.593750, cost=0.668331, test acc=0.516448, cost=0.730044, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 7 training acc=0.500000, cost=0.746345, test acc=0.519475, cost=0.710844, disagree_f1=0.679154, agree_f1=0.043391, average_f1=0.361272
BATCH 8 training acc=0.531250, cost=0.719139, test acc=0.532997, cost=0.692317, disagree_f1=0.664735, agree_f1=0.230718, average_f1=0.447726
BATCH 9 training acc=0.531250, cost=0.709085, test acc=0.531988, cost=0.690743, disagree_f1=0.546095, agree_f1=0.516976, average_f1=0.531535
BATCH 10 training acc=0.531250, cost=0.695712, test acc=0.485570, cost=0.696305, disagree_f1=0.016969, agree_f1=0.651633, average_f1=0.334301
BATCH 11 training acc=0.531250, cost=0.694540, test acc=0.493643, cost=0.694617, disagree_f1=0.133333, agree_f1=0.642338, average_f1=0.387836
BATCH 12 training acc=0.343750, cost=0.719678, test acc=0.541675, cost=0.689759, disagree_f1=0.581228, agree_f1=0.493871, average_f1=0.537550
BATCH 13 training acc=0.531250, cost=0.688694, test acc=0.534208, cost=0.689960, disagree_f1=0.644704, agree_f1=0.323960, average_f1=0.484332
BATCH 14 training acc=0.468750, cost=0.696837, test acc=0.535822, cost=0.694583, disagree_f1=0.658855, agree_f1=0.273990, average_f1=0.466422
BATCH 15 training acc=0.562500, cost=0.698425, test acc=0.536831, cost=0.699928, disagree_f1=0.664425, agree_f1=0.252686, average_f1=0.458556
BATCH 16 training acc=0.625000, cost=0.654055, test acc=0.536024, cost=0.707694, disagree_f1=0.669731, agree_f1=0.220414, average_f1=0.445073
BATCH 17 training acc=0.625000, cost=0.626167, test acc=0.524117, cost=0.723610, disagree_f1=0.676986, agree_f1=0.096552, average_f1=0.386769
BATCH 18 training acc=0.437500, cost=0.833282, test acc=0.520081, cost=0.719969, disagree_f1=0.679082, agree_f1=0.048800, average_f1=0.363941
BATCH 19 training acc=0.437500, cost=0.750388, test acc=0.528355, cost=0.706676, disagree_f1=0.677165, agree_f1=0.125047, average_f1=0.401106
BATCH 20 training acc=0.468750, cost=0.727052, test acc=0.537235, cost=0.694320, disagree_f1=0.668881, agree_f1=0.231826, average_f1=0.450353
BATCH 21 training acc=0.437500, cost=0.739878, test acc=0.534813, cost=0.688773, disagree_f1=0.647284, agree_f1=0.317037, average_f1=0.482160
BATCH 22 training acc=0.593750, cost=0.686820, test acc=0.541473, cost=0.690203, disagree_f1=0.539708, agree_f1=0.543225, average_f1=0.541467
BATCH 23 training acc=0.500000, cost=0.686250, test acc=0.493643, cost=0.693204, disagree_f1=0.088631, agree_f1=0.649434, average_f1=0.369032
BATCH 24 training acc=0.531250, cost=0.691994, test acc=0.483956, cost=0.697423, disagree_f1=0.001562, agree_f1=0.652062, average_f1=0.326812
BATCH 25 training acc=0.687500, cost=0.677699, test acc=0.483552, cost=0.703984, disagree_f1=0.000000, agree_f1=0.651884, average_f1=0.325942
BATCH 26 training acc=0.250000, cost=0.761743, test acc=0.483552, cost=0.704932, disagree_f1=0.000000, agree_f1=0.651884, average_f1=0.325942
BATCH 27 training acc=0.375000, cost=0.739551, test acc=0.483552, cost=0.702137, disagree_f1=0.000000, agree_f1=0.651884, average_f1=0.325942
BATCH 28 training acc=0.468750, cost=0.702659, test acc=0.483552, cost=0.698999, disagree_f1=0.000000, agree_f1=0.651884, average_f1=0.325942
BATCH 29 training acc=0.500000, cost=0.700814, test acc=0.483552, cost=0.696545, disagree_f1=0.000000, agree_f1=0.651884, average_f1=0.325942
BATCH 30 training acc=0.437500, cost=0.702611, test acc=0.483552, cost=0.694264, disagree_f1=0.000000, agree_f1=0.651884, average_f1=0.325942
BATCH 31 training acc=0.343750, cost=0.714425, test acc=0.507770, cost=0.692447, disagree_f1=0.335603, agree_f1=0.609072, average_f1=0.472338
BATCH 32 training acc=0.468750, cost=0.695145, test acc=0.534410, cost=0.691738, disagree_f1=0.671321, agree_f1=0.202006, average_f1=0.436663
BATCH 33 training acc=0.593750, cost=0.690500, test acc=0.522099, cost=0.691776, disagree_f1=0.676856, agree_f1=0.082881, average_f1=0.379869
BATCH 34 training acc=0.593750, cost=0.692601, test acc=0.516448, cost=0.692367, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 35 training acc=0.531250, cost=0.685719, test acc=0.516448, cost=0.693174, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 36 training acc=0.625000, cost=0.663530, test acc=0.516448, cost=0.695180, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 37 training acc=0.625000, cost=0.660214, test acc=0.516448, cost=0.699912, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 38 training acc=0.437500, cost=0.735020, test acc=0.516448, cost=0.700427, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 39 training acc=0.468750, cost=0.701545, test acc=0.516044, cost=0.698776, disagree_f1=0.679840, agree_f1=0.009091, average_f1=0.344465
BATCH 40 training acc=0.531250, cost=0.687995, test acc=0.521493, cost=0.696230, disagree_f1=0.675161, agree_f1=0.091919, average_f1=0.383540
BATCH 41 training acc=0.625000, cost=0.670870, test acc=0.529364, cost=0.694909, disagree_f1=0.674937, agree_f1=0.147661, average_f1=0.411299
BATCH 42 training acc=0.531250, cost=0.688520, test acc=0.536831, cost=0.692861, disagree_f1=0.664228, agree_f1=0.253659, average_f1=0.458943
BATCH 43 training acc=0.656250, cost=0.632563, test acc=0.539253, cost=0.694279, disagree_f1=0.664314, agree_f1=0.265680, average_f1=0.464997
BATCH 44 training acc=0.531250, cost=0.717132, test acc=0.537639, cost=0.693186, disagree_f1=0.658925, agree_f1=0.282493, average_f1=0.470709
BATCH 45 training acc=0.531250, cost=0.684369, test acc=0.537437, cost=0.692258, disagree_f1=0.655131, agree_f1=0.297794, average_f1=0.476463
BATCH 46 training acc=0.593750, cost=0.692749, test acc=0.537033, cost=0.690704, disagree_f1=0.648698, agree_f1=0.321302, average_f1=0.485000
BATCH 47 training acc=0.593750, cost=0.684196, test acc=0.543290, cost=0.688744, disagree_f1=0.638787, agree_f1=0.379150, average_f1=0.508968
BATCH 48 training acc=0.562500, cost=0.698377, test acc=0.548335, cost=0.688245, disagree_f1=0.631180, agree_f1=0.417491, average_f1=0.524335
BATCH 49 training acc=0.500000, cost=0.695268, test acc=0.550757, cost=0.688574, disagree_f1=0.613542, agree_f1=0.463614, average_f1=0.538578
BATCH 50 training acc=0.531250, cost=0.688471, test acc=0.553582, cost=0.689102, disagree_f1=0.604152, agree_f1=0.488200, average_f1=0.546176
BATCH 51 training acc=0.593750, cost=0.689275, test acc=0.550959, cost=0.688502, disagree_f1=0.612302, agree_f1=0.466555, average_f1=0.539428
BATCH 52 training acc=0.562500, cost=0.673276, test acc=0.550151, cost=0.688296, disagree_f1=0.614560, agree_f1=0.459898, average_f1=0.537229
BATCH 53 training acc=0.531250, cost=0.691072, test acc=0.551968, cost=0.688713, disagree_f1=0.606104, agree_f1=0.480580, average_f1=0.543342
BATCH 54 training acc=0.687500, cost=0.664475, test acc=0.549546, cost=0.689765, disagree_f1=0.583427, agree_f1=0.509666, average_f1=0.546546
BATCH 55 training acc=0.531250, cost=0.709966, test acc=0.545308, cost=0.690040, disagree_f1=0.568308, agree_f1=0.519719, average_f1=0.544013
BATCH 56 training acc=0.750000, cost=0.656320, test acc=0.550353, cost=0.688818, disagree_f1=0.601858, agree_f1=0.483542, average_f1=0.542700
BATCH 57 training acc=0.437500, cost=0.732451, test acc=0.550757, cost=0.688022, disagree_f1=0.619617, agree_f1=0.451454, average_f1=0.535536
BATCH 58 training acc=0.406250, cost=0.722000, test acc=0.549950, cost=0.687885, disagree_f1=0.619324, agree_f1=0.449654, average_f1=0.534489
BATCH 59 training acc=0.625000, cost=0.673932, test acc=0.550959, cost=0.687819, disagree_f1=0.625232, agree_f1=0.439970, average_f1=0.532601
BATCH 60 training acc=0.562500, cost=0.675383, test acc=0.547326, cost=0.687867, disagree_f1=0.629195, agree_f1=0.419062, average_f1=0.524129
BATCH 61 training acc=0.687500, cost=0.648739, test acc=0.543895, cost=0.688583, disagree_f1=0.641497, agree_f1=0.373267, average_f1=0.507382
BATCH 62 training acc=0.468750, cost=0.699203, test acc=0.542886, cost=0.689555, disagree_f1=0.647800, agree_f1=0.348951, average_f1=0.498375
BATCH 63 training acc=0.437500, cost=0.721014, test acc=0.541473, cost=0.690024, disagree_f1=0.650462, agree_f1=0.333724, average_f1=0.492093
BATCH 64 training acc=0.718750, cost=0.650789, test acc=0.539859, cost=0.692631, disagree_f1=0.656420, agree_f1=0.303604, average_f1=0.480012
BATCH 65 training acc=0.437500, cost=0.725884, test acc=0.539455, cost=0.693111, disagree_f1=0.658792, agree_f1=0.291744, average_f1=0.475268
BATCH 66 training acc=0.687500, cost=0.656972, test acc=0.540464, cost=0.694183, disagree_f1=0.662116, agree_f1=0.281930, average_f1=0.472023
BATCH 67 training acc=0.468750, cost=0.733709, test acc=0.540262, cost=0.692645, disagree_f1=0.661012, agree_f1=0.285893, average_f1=0.473453
BATCH 68 training acc=0.437500, cost=0.711548, test acc=0.543290, cost=0.690268, disagree_f1=0.659443, agree_f1=0.306891, average_f1=0.483167
BATCH 69 training acc=0.593750, cost=0.683526, test acc=0.545106, cost=0.689646, disagree_f1=0.659414, agree_f1=0.315310, average_f1=0.487362
BATCH 70 training acc=0.343750, cost=0.738169, test acc=0.546922, cost=0.689039, disagree_f1=0.650366, agree_f1=0.356549, average_f1=0.503458
BATCH 71 training acc=0.562500, cost=0.700379, test acc=0.538648, cost=0.689771, disagree_f1=0.599088, agree_f1=0.456749, average_f1=0.527919
BATCH 72 training acc=0.562500, cost=0.682798, test acc=0.519273, cost=0.691350, disagree_f1=0.458390, agree_f1=0.567852, average_f1=0.513121
BATCH 73 training acc=0.531250, cost=0.696715, test acc=0.501514, cost=0.692701, disagree_f1=0.241400, agree_f1=0.628795, average_f1=0.435098
BATCH 74 training acc=0.625000, cost=0.684761, test acc=0.490212, cost=0.693494, disagree_f1=0.093974, agree_f1=0.645324, average_f1=0.369649
BATCH 75 training acc=0.531250, cost=0.700185, test acc=0.487992, cost=0.693678, disagree_f1=0.057228, agree_f1=0.648566, average_f1=0.352897
BATCH 76 training acc=0.562500, cost=0.688236, test acc=0.482947, cost=0.693954, disagree_f1=0.017638, agree_f1=0.649137, average_f1=0.333388
BATCH 77 training acc=0.468750, cost=0.701625, test acc=0.483754, cost=0.694162, disagree_f1=0.004669, agree_f1=0.651499, average_f1=0.328084
BATCH 78 training acc=0.343750, cost=0.699352, test acc=0.491221, cost=0.693090, disagree_f1=0.080263, agree_f1=0.648347, average_f1=0.364305
BATCH 79 training acc=0.500000, cost=0.696721, test acc=0.513017, cost=0.691713, disagree_f1=0.383967, agree_f1=0.597364, average_f1=0.490665
BATCH 80 training acc=0.562500, cost=0.689088, test acc=0.519677, cost=0.691331, disagree_f1=0.451865, agree_f1=0.572557, average_f1=0.512211
BATCH 81 training acc=0.656250, cost=0.686658, test acc=0.537841, cost=0.690575, disagree_f1=0.574349, agree_f1=0.494481, average_f1=0.534415
BATCH 82 training acc=0.562500, cost=0.686874, test acc=0.550353, cost=0.690046, disagree_f1=0.621988, agree_f1=0.445219, average_f1=0.533604
BATCH 83 training acc=0.656250, cost=0.688242, test acc=0.552371, cost=0.689659, disagree_f1=0.634596, agree_f1=0.422396, average_f1=0.528496
BATCH 84 training acc=0.562500, cost=0.691243, test acc=0.554995, cost=0.689315, disagree_f1=0.643377, agree_f1=0.408371, average_f1=0.525874
BATCH 85 training acc=0.437500, cost=0.699110, test acc=0.551362, cost=0.689031, disagree_f1=0.647981, agree_f1=0.381641, average_f1=0.514811
BATCH 86 training acc=0.562500, cost=0.683848, test acc=0.551766, cost=0.688747, disagree_f1=0.647740, agree_f1=0.383911, average_f1=0.515826
BATCH 87 training acc=0.593750, cost=0.688080, test acc=0.550151, cost=0.688459, disagree_f1=0.650353, agree_f1=0.369448, average_f1=0.509901
BATCH 88 training acc=0.625000, cost=0.684963, test acc=0.547124, cost=0.688248, disagree_f1=0.651228, agree_f1=0.354430, average_f1=0.502829
BATCH 89 training acc=0.625000, cost=0.681505, test acc=0.545106, cost=0.688038, disagree_f1=0.650651, agree_f1=0.348178, average_f1=0.499415
BATCH 90 training acc=0.625000, cost=0.682498, test acc=0.540666, cost=0.687966, disagree_f1=0.649954, agree_f1=0.332160, average_f1=0.491057
BATCH 91 training acc=0.718750, cost=0.668154, test acc=0.539253, cost=0.688049, disagree_f1=0.651822, agree_f1=0.319117, average_f1=0.485470
BATCH 92 training acc=0.500000, cost=0.708694, test acc=0.538648, cost=0.688069, disagree_f1=0.651631, agree_f1=0.317204, average_f1=0.484417
BATCH 93 training acc=0.531250, cost=0.693164, test acc=0.541877, cost=0.687627, disagree_f1=0.649367, agree_f1=0.339348, average_f1=0.494357
BATCH 94 training acc=0.593750, cost=0.682925, test acc=0.547326, cost=0.687149, disagree_f1=0.647825, agree_f1=0.366563, average_f1=0.507194
BATCH 95 training acc=0.562500, cost=0.684187, test acc=0.548940, cost=0.686965, disagree_f1=0.646305, agree_f1=0.377611, average_f1=0.511958
BATCH 96 training acc=0.500000, cost=0.699083, test acc=0.554591, cost=0.686668, disagree_f1=0.645690, agree_f1=0.400435, average_f1=0.523062
BATCH 97 training acc=0.531250, cost=0.683522, test acc=0.559637, cost=0.686446, disagree_f1=0.636697, agree_f1=0.441086, average_f1=0.538891
BATCH 98 training acc=0.750000, cost=0.647003, test acc=0.552573, cost=0.686509, disagree_f1=0.620051, agree_f1=0.455951, average_f1=0.538001
BATCH 99 training acc=0.437500, cost=0.699146, test acc=0.556004, cost=0.686501, disagree_f1=0.623932, agree_f1=0.458128, average_f1=0.541030
BATCH 100 training acc=0.437500, cost=0.729708, test acc=0.553986, cost=0.686413, disagree_f1=0.625297, agree_f1=0.449153, average_f1=0.537225
BATCH 101 training acc=0.500000, cost=0.699859, test acc=0.554591, cost=0.686388, disagree_f1=0.626122, agree_f1=0.449214, average_f1=0.537668
BATCH 102 training acc=0.531250, cost=0.703545, test acc=0.555399, cost=0.686337, disagree_f1=0.634114, agree_f1=0.433530, average_f1=0.533822
BATCH 103 training acc=0.437500, cost=0.690523, test acc=0.552573, cost=0.686860, disagree_f1=0.648931, agree_f1=0.383310, average_f1=0.516121
BATCH 104 training acc=0.500000, cost=0.696400, test acc=0.547124, cost=0.687812, disagree_f1=0.655300, agree_f1=0.340000, average_f1=0.497650
BATCH 105 training acc=0.593750, cost=0.682464, test acc=0.545510, cost=0.689055, disagree_f1=0.662672, agree_f1=0.303649, average_f1=0.483160
BATCH 106 training acc=0.531250, cost=0.669315, test acc=0.540262, cost=0.691264, disagree_f1=0.670237, agree_f1=0.241173, average_f1=0.455705
BATCH 107 training acc=0.531250, cost=0.680432, test acc=0.531181, cost=0.693646, disagree_f1=0.672863, agree_f1=0.173015, average_f1=0.422939
BATCH 108 training acc=0.531250, cost=0.689327, test acc=0.529162, cost=0.693998, disagree_f1=0.673934, agree_f1=0.153176, average_f1=0.413555
BATCH 109 training acc=0.500000, cost=0.702898, test acc=0.531988, cost=0.692370, disagree_f1=0.674160, agree_f1=0.169710, average_f1=0.421935
BATCH 110 training acc=0.468750, cost=0.698230, test acc=0.537235, cost=0.690190, disagree_f1=0.673315, agree_f1=0.206849, average_f1=0.440082
BATCH 111 training acc=0.687500, cost=0.651321, test acc=0.538042, cost=0.689927, disagree_f1=0.674996, agree_f1=0.201604, average_f1=0.438300
BATCH 112 training acc=0.468750, cost=0.718649, test acc=0.544904, cost=0.688000, disagree_f1=0.670659, agree_f1=0.263794, average_f1=0.467226
