Using GPU: 2...
X_train.shape=(19819, 2, 64), y_train.shape=(19819,);
X_test.shape=(4955, 2, 64), y_test.shape=(4955,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9253959683225342
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.r2q_attention_layer.0.weight
model.r2q_attention_layer.0.bias
model.r2q_attention_layer.3.weight
model.r2q_attention_layer.3.bias
model.q2r_attention_layer.0.weight
model.q2r_attention_layer.0.bias
model.q2r_attention_layer.3.weight
model.q2r_attention_layer.3.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.656250, cost=0.689235, test acc=0.536226, cost=0.702386, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 2 training acc=0.562500, cost=0.690271, test acc=0.536226, cost=0.712850, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 3 training acc=0.562500, cost=0.683478, test acc=0.536226, cost=0.706291, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 4 training acc=0.500000, cost=0.723172, test acc=0.536226, cost=0.692664, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 5 training acc=0.562500, cost=0.680091, test acc=0.536226, cost=0.691387, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 6 training acc=0.437500, cost=0.706471, test acc=0.472856, cost=0.697303, disagree_f1=0.270798, agree_f1=0.587231, average_f1=0.429015
BATCH 7 training acc=0.406250, cost=0.708391, test acc=0.465792, cost=0.700086, disagree_f1=0.176672, agree_f1=0.604630, average_f1=0.390651
BATCH 8 training acc=0.406250, cost=0.711342, test acc=0.469627, cost=0.696879, disagree_f1=0.201216, agree_f1=0.603021, average_f1=0.402118
BATCH 9 training acc=0.468750, cost=0.695740, test acc=0.537841, cost=0.691533, disagree_f1=0.666570, agree_f1=0.247206, average_f1=0.456888
BATCH 10 training acc=0.625000, cost=0.675890, test acc=0.536226, cost=0.689602, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 11 training acc=0.468750, cost=0.697295, test acc=0.536226, cost=0.691825, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 12 training acc=0.406250, cost=0.740890, test acc=0.536226, cost=0.691479, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 13 training acc=0.406250, cost=0.728874, test acc=0.536226, cost=0.689516, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 14 training acc=0.375000, cost=0.737626, test acc=0.541473, cost=0.688818, disagree_f1=0.686188, agree_f1=0.149064, average_f1=0.417626
BATCH 15 training acc=0.500000, cost=0.698444, test acc=0.549142, cost=0.690805, disagree_f1=0.644494, agree_f1=0.383894, average_f1=0.514194
BATCH 16 training acc=0.531250, cost=0.685989, test acc=0.464178, cost=0.694500, disagree_f1=0.029960, agree_f1=0.629862, average_f1=0.329911
BATCH 17 training acc=0.562500, cost=0.690817, test acc=0.463774, cost=0.699603, disagree_f1=0.000000, agree_f1=0.633669, average_f1=0.316834
BATCH 18 training acc=0.562500, cost=0.687324, test acc=0.463774, cost=0.705953, disagree_f1=0.000000, agree_f1=0.633669, average_f1=0.316834
BATCH 19 training acc=0.562500, cost=0.675474, test acc=0.463774, cost=0.713015, disagree_f1=0.000000, agree_f1=0.633669, average_f1=0.316834
BATCH 20 training acc=0.562500, cost=0.684406, test acc=0.463774, cost=0.720232, disagree_f1=0.000000, agree_f1=0.633669, average_f1=0.316834
BATCH 21 training acc=0.593750, cost=0.668965, test acc=0.463774, cost=0.726985, disagree_f1=0.000000, agree_f1=0.633669, average_f1=0.316834
