Using GPU: 2...
X_train.shape=(19819, 2, 64), y_train.shape=(19819,);
X_test.shape=(4955, 2, 64), y_test.shape=(4955,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9253959683225342
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.cross_dot_v2_r2q_attention_layer.0.weight
model.cross_dot_v2_r2q_attention_layer.0.bias
model.cross_dot_v2_q2r_attention_layer.0.weight
model.cross_dot_v2_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.500000, cost=0.695402, test acc=0.536226, cost=0.691014, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 2 training acc=0.562500, cost=0.689505, test acc=0.536226, cost=0.693819, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 3 training acc=0.562500, cost=0.685504, test acc=0.536226, cost=0.693559, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 4 training acc=0.687500, cost=0.655037, test acc=0.536226, cost=0.704367, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 5 training acc=0.562500, cost=0.692421, test acc=0.536226, cost=0.709664, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 6 training acc=0.593750, cost=0.684248, test acc=0.536226, cost=0.708376, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 7 training acc=0.375000, cost=0.820176, test acc=0.536226, cost=0.693825, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 8 training acc=0.531250, cost=0.692954, test acc=0.536630, cost=0.690012, disagree_f1=0.698212, agree_f1=0.002606, average_f1=0.350409
BATCH 9 training acc=0.562500, cost=0.697232, test acc=0.483350, cost=0.695128, disagree_f1=0.337474, agree_f1=0.576580, average_f1=0.457027
BATCH 10 training acc=0.437500, cost=0.704550, test acc=0.468214, cost=0.699811, disagree_f1=0.191966, agree_f1=0.603700, average_f1=0.397833
BATCH 11 training acc=0.500000, cost=0.680223, test acc=0.469223, cost=0.703219, disagree_f1=0.155969, agree_f1=0.612894, average_f1=0.384431
BATCH 12 training acc=0.375000, cost=0.712230, test acc=0.473461, cost=0.696599, disagree_f1=0.249640, agree_f1=0.594435, average_f1=0.422038
BATCH 13 training acc=0.500000, cost=0.690859, test acc=0.495055, cost=0.693137, disagree_f1=0.418680, agree_f1=0.553692, average_f1=0.486186
BATCH 14 training acc=0.593750, cost=0.689717, test acc=0.541675, cost=0.690276, disagree_f1=0.665488, agree_f1=0.272349, average_f1=0.468918
BATCH 15 training acc=0.656250, cost=0.679628, test acc=0.540464, cost=0.689098, disagree_f1=0.686147, agree_f1=0.142373, average_f1=0.414260
BATCH 16 training acc=0.531250, cost=0.685559, test acc=0.539051, cost=0.688737, disagree_f1=0.698522, agree_f1=0.021422, average_f1=0.359972
BATCH 17 training acc=0.593750, cost=0.679384, test acc=0.536226, cost=0.690831, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
