Using GPU: 3...
X_train.shape=(19819, 2, 64), y_train.shape=(19819,);
X_test.shape=(4955, 2, 64), y_test.shape=(4955,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9253959683225342
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.q2q_attention_layer.0.weight
model.q2q_attention_layer.0.bias
model.q2q_attention_layer.3.weight
model.q2q_attention_layer.3.bias
model.r2r_attention_layer.0.weight
model.r2r_attention_layer.0.bias
model.r2r_attention_layer.3.weight
model.r2r_attention_layer.3.bias
model.r2q_attention_layer.0.weight
model.r2q_attention_layer.0.bias
model.r2q_attention_layer.3.weight
model.r2q_attention_layer.3.bias
model.q2r_attention_layer.0.weight
model.q2r_attention_layer.0.bias
model.q2r_attention_layer.3.weight
model.q2r_attention_layer.3.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.593750, cost=0.690349, test acc=0.536226, cost=0.706521, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 2 training acc=0.250000, cost=0.847788, test acc=0.536226, cost=0.690612, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 3 training acc=0.437500, cost=0.708104, test acc=0.463774, cost=0.703654, disagree_f1=0.000000, agree_f1=0.633669, average_f1=0.316834
BATCH 4 training acc=0.406250, cost=0.720873, test acc=0.462563, cost=0.697134, disagree_f1=0.002248, agree_f1=0.632233, average_f1=0.317241
BATCH 5 training acc=0.437500, cost=0.692462, test acc=0.540061, cost=0.690931, disagree_f1=0.668894, agree_f1=0.247109, average_f1=0.458002
BATCH 6 training acc=0.625000, cost=0.680926, test acc=0.536226, cost=0.688907, disagree_f1=0.698029, agree_f1=0.000870, average_f1=0.349449
BATCH 7 training acc=0.531250, cost=0.689370, test acc=0.536226, cost=0.693407, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 8 training acc=0.562500, cost=0.686902, test acc=0.536226, cost=0.698194, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 9 training acc=0.468750, cost=0.706014, test acc=0.536226, cost=0.693897, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 10 training acc=0.468750, cost=0.721736, test acc=0.535822, cost=0.688735, disagree_f1=0.697209, agree_f1=0.006050, average_f1=0.351630
BATCH 11 training acc=0.500000, cost=0.693013, test acc=0.545913, cost=0.690763, disagree_f1=0.634740, agree_f1=0.400000, average_f1=0.517370
BATCH 12 training acc=0.500000, cost=0.692096, test acc=0.536024, cost=0.691577, disagree_f1=0.579631, agree_f1=0.482324, average_f1=0.530977
BATCH 13 training acc=0.625000, cost=0.677603, test acc=0.528961, cost=0.692438, disagree_f1=0.498927, agree_f1=0.555598, average_f1=0.527262
BATCH 14 training acc=0.531250, cost=0.686633, test acc=0.512210, cost=0.693141, disagree_f1=0.430624, agree_f1=0.573345, average_f1=0.501985
BATCH 15 training acc=0.531250, cost=0.682562, test acc=0.472250, cost=0.696749, disagree_f1=0.077601, agree_f1=0.630389, average_f1=0.353995
BATCH 16 training acc=0.593750, cost=0.701358, test acc=0.482341, cost=0.696246, disagree_f1=0.202177, agree_f1=0.616878, average_f1=0.409528
BATCH 17 training acc=0.531250, cost=0.685711, test acc=0.520686, cost=0.693866, disagree_f1=0.489577, agree_f1=0.548221, average_f1=0.518899
BATCH 18 training acc=0.406250, cost=0.713559, test acc=0.550151, cost=0.689798, disagree_f1=0.629796, agree_f1=0.426845, average_f1=0.528320
