Using GPU: 3...
X_train.shape=(19819, 2, 64), y_train.shape=(19819,);
X_test.shape=(4955, 2, 64), y_test.shape=(4955,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9253959683225342
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.q2q_attention_layer.0.weight
model.q2q_attention_layer.0.bias
model.q2q_attention_layer.3.weight
model.q2q_attention_layer.3.bias
model.r2r_attention_layer.0.weight
model.r2r_attention_layer.0.bias
model.r2r_attention_layer.3.weight
model.r2r_attention_layer.3.bias
model.cross_dot_v1_r2q_attention_layer.0.weight
model.cross_dot_v1_r2q_attention_layer.0.bias
model.cross_dot_v1_q2r_attention_layer.0.weight
model.cross_dot_v1_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.750000, cost=0.680430, test acc=0.463774, cost=0.871626, disagree_f1=0.000000, agree_f1=0.633669, average_f1=0.316834
BATCH 2 training acc=0.375000, cost=0.944626, test acc=0.463774, cost=0.800800, disagree_f1=0.000000, agree_f1=0.633669, average_f1=0.316834
BATCH 3 training acc=0.468750, cost=0.785858, test acc=0.463774, cost=0.716249, disagree_f1=0.000000, agree_f1=0.633669, average_f1=0.316834
BATCH 4 training acc=0.406250, cost=0.732771, test acc=0.539859, cost=0.688590, disagree_f1=0.688695, agree_f1=0.118329, average_f1=0.403512
BATCH 5 training acc=0.593750, cost=0.686582, test acc=0.536226, cost=0.717387, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 6 training acc=0.468750, cost=0.759778, test acc=0.536226, cost=0.719518, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 7 training acc=0.468750, cost=0.758980, test acc=0.536226, cost=0.700306, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 8 training acc=0.531250, cost=0.698053, test acc=0.536226, cost=0.690957, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 9 training acc=0.312500, cost=0.740501, test acc=0.463370, cost=0.701387, disagree_f1=0.188092, agree_f1=0.599246, average_f1=0.393669
BATCH 10 training acc=0.500000, cost=0.703311, test acc=0.462159, cost=0.722618, disagree_f1=0.048554, agree_f1=0.625123, average_f1=0.336839
BATCH 11 training acc=0.406250, cost=0.742407, test acc=0.461756, cost=0.723327, disagree_f1=0.023435, agree_f1=0.628500, average_f1=0.325967
BATCH 12 training acc=0.718750, cost=0.644895, test acc=0.463572, cost=0.730601, disagree_f1=0.000000, agree_f1=0.633480, average_f1=0.316740
BATCH 13 training acc=0.500000, cost=0.739790, test acc=0.463774, cost=0.724127, disagree_f1=0.000000, agree_f1=0.633669, average_f1=0.316834
BATCH 14 training acc=0.531250, cost=0.714551, test acc=0.463774, cost=0.714061, disagree_f1=0.000000, agree_f1=0.633669, average_f1=0.316834
BATCH 15 training acc=0.437500, cost=0.729425, test acc=0.463774, cost=0.702499, disagree_f1=0.000000, agree_f1=0.633669, average_f1=0.316834
BATCH 16 training acc=0.625000, cost=0.689535, test acc=0.463774, cost=0.696904, disagree_f1=0.000000, agree_f1=0.633669, average_f1=0.316834
BATCH 17 training acc=0.375000, cost=0.700926, test acc=0.530979, cost=0.692524, disagree_f1=0.561840, agree_f1=0.495441, average_f1=0.528640
BATCH 18 training acc=0.375000, cost=0.694822, test acc=0.537033, cost=0.689886, disagree_f1=0.688230, agree_f1=0.101097, average_f1=0.394664
BATCH 19 training acc=0.250000, cost=0.710209, test acc=0.540464, cost=0.689778, disagree_f1=0.685801, agree_f1=0.144949, average_f1=0.415375
BATCH 20 training acc=0.625000, cost=0.684494, test acc=0.544702, cost=0.689696, disagree_f1=0.685004, agree_f1=0.179039, average_f1=0.432022
BATCH 21 training acc=0.531250, cost=0.683280, test acc=0.546922, cost=0.689519, disagree_f1=0.684025, agree_f1=0.199643, average_f1=0.441834
BATCH 22 training acc=0.437500, cost=0.696137, test acc=0.546519, cost=0.689776, disagree_f1=0.670092, agree_f1=0.274927, average_f1=0.472510
BATCH 23 training acc=0.687500, cost=0.682689, test acc=0.545106, cost=0.689285, disagree_f1=0.677724, agree_f1=0.227023, average_f1=0.452374
BATCH 24 training acc=0.656250, cost=0.670900, test acc=0.537639, cost=0.688930, disagree_f1=0.687406, agree_f1=0.112360, average_f1=0.399883
BATCH 25 training acc=0.437500, cost=0.708277, test acc=0.537235, cost=0.689179, disagree_f1=0.687815, agree_f1=0.106043, average_f1=0.396929
BATCH 26 training acc=0.500000, cost=0.712574, test acc=0.538042, cost=0.689123, disagree_f1=0.687167, agree_f1=0.117239, average_f1=0.402203
BATCH 27 training acc=0.437500, cost=0.714393, test acc=0.543088, cost=0.688750, disagree_f1=0.685643, agree_f1=0.163959, average_f1=0.424801
BATCH 28 training acc=0.531250, cost=0.694967, test acc=0.544501, cost=0.688801, disagree_f1=0.672186, agree_f1=0.253884, average_f1=0.463035
BATCH 29 training acc=0.531250, cost=0.690505, test acc=0.546720, cost=0.689306, disagree_f1=0.664676, agree_f1=0.300747, average_f1=0.482712
BATCH 30 training acc=0.593750, cost=0.676726, test acc=0.549748, cost=0.689504, disagree_f1=0.662634, agree_f1=0.323324, average_f1=0.492979
BATCH 31 training acc=0.625000, cost=0.685106, test acc=0.546519, cost=0.690532, disagree_f1=0.635877, agree_f1=0.399037, average_f1=0.517457
BATCH 32 training acc=0.625000, cost=0.686396, test acc=0.538042, cost=0.691636, disagree_f1=0.586450, agree_f1=0.476800, average_f1=0.531625
BATCH 33 training acc=0.656250, cost=0.691250, test acc=0.534410, cost=0.691745, disagree_f1=0.575529, agree_f1=0.484469, average_f1=0.529999
BATCH 34 training acc=0.593750, cost=0.681907, test acc=0.522704, cost=0.692650, disagree_f1=0.527095, agree_f1=0.518232, average_f1=0.522663
BATCH 35 training acc=0.625000, cost=0.686895, test acc=0.526337, cost=0.692264, disagree_f1=0.552356, agree_f1=0.497107, average_f1=0.524731
BATCH 36 training acc=0.500000, cost=0.694310, test acc=0.520283, cost=0.692815, disagree_f1=0.527529, agree_f1=0.512810, average_f1=0.520170
BATCH 37 training acc=0.562500, cost=0.681700, test acc=0.524924, cost=0.692508, disagree_f1=0.549560, agree_f1=0.497438, average_f1=0.523499
BATCH 38 training acc=0.437500, cost=0.697233, test acc=0.536831, cost=0.691437, disagree_f1=0.590105, agree_f1=0.467641, average_f1=0.528873
BATCH 39 training acc=0.531250, cost=0.691934, test acc=0.540868, cost=0.690167, disagree_f1=0.619374, agree_f1=0.421561, average_f1=0.520468
BATCH 40 training acc=0.718750, cost=0.648901, test acc=0.549546, cost=0.690046, disagree_f1=0.653846, agree_f1=0.355286, average_f1=0.504566
BATCH 41 training acc=0.718750, cost=0.667663, test acc=0.549142, cost=0.693675, disagree_f1=0.659970, agree_f1=0.331138, average_f1=0.495554
BATCH 42 training acc=0.593750, cost=0.656762, test acc=0.547326, cost=0.704964, disagree_f1=0.664372, agree_f1=0.304927, average_f1=0.484650
BATCH 43 training acc=0.531250, cost=0.742322, test acc=0.547931, cost=0.709179, disagree_f1=0.664269, agree_f1=0.308215, average_f1=0.486242
BATCH 44 training acc=0.625000, cost=0.661496, test acc=0.547730, cost=0.708085, disagree_f1=0.659784, agree_f1=0.325609, average_f1=0.492697
BATCH 45 training acc=0.343750, cost=0.829337, test acc=0.551766, cost=0.699562, disagree_f1=0.653780, agree_f1=0.364521, average_f1=0.509150
BATCH 46 training acc=0.562500, cost=0.726979, test acc=0.551362, cost=0.694169, disagree_f1=0.645511, agree_f1=0.389118, average_f1=0.517314
BATCH 47 training acc=0.500000, cost=0.713998, test acc=0.547124, cost=0.692451, disagree_f1=0.625000, agree_f1=0.428426, average_f1=0.526713
BATCH 48 training acc=0.562500, cost=0.681792, test acc=0.540262, cost=0.692153, disagree_f1=0.608591, agree_f1=0.443032, average_f1=0.525811
BATCH 49 training acc=0.531250, cost=0.715028, test acc=0.537841, cost=0.692992, disagree_f1=0.572761, agree_f1=0.496703, average_f1=0.534732
BATCH 50 training acc=0.500000, cost=0.697053, test acc=0.535621, cost=0.693360, disagree_f1=0.535433, agree_f1=0.535808, average_f1=0.535621
BATCH 51 training acc=0.468750, cost=0.699624, test acc=0.502926, cost=0.694772, disagree_f1=0.390196, agree_f1=0.580480, average_f1=0.485338
BATCH 52 training acc=0.375000, cost=0.711695, test acc=0.503734, cost=0.693985, disagree_f1=0.382626, agree_f1=0.585119, average_f1=0.483873
BATCH 53 training acc=0.593750, cost=0.680972, test acc=0.495257, cost=0.693821, disagree_f1=0.333955, agree_f1=0.593664, average_f1=0.463809
BATCH 54 training acc=0.593750, cost=0.680369, test acc=0.506761, cost=0.693281, disagree_f1=0.375894, agree_f1=0.592259, average_f1=0.484076
BATCH 55 training acc=0.437500, cost=0.697295, test acc=0.514632, cost=0.692651, disagree_f1=0.435579, agree_f1=0.574261, average_f1=0.504920
BATCH 56 training acc=0.562500, cost=0.692799, test acc=0.545711, cost=0.690821, disagree_f1=0.609811, agree_f1=0.456411, average_f1=0.533111
BATCH 57 training acc=0.718750, cost=0.675271, test acc=0.547326, cost=0.689206, disagree_f1=0.666369, agree_f1=0.296203, average_f1=0.481286
BATCH 58 training acc=0.500000, cost=0.696388, test acc=0.543491, cost=0.688461, disagree_f1=0.694076, agree_f1=0.100954, average_f1=0.397515
