Using GPU: 3...
X_train.shape=(19819, 2, 64), y_train.shape=(19819,);
X_test.shape=(4955, 2, 64), y_test.shape=(4955,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9253959683225342
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.r2q_attention_layer.0.weight
model.r2q_attention_layer.0.bias
model.r2q_attention_layer.3.weight
model.r2q_attention_layer.3.bias
model.q2r_attention_layer.0.weight
model.q2r_attention_layer.0.bias
model.q2r_attention_layer.3.weight
model.q2r_attention_layer.3.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.562500, cost=0.694927, test acc=0.525530, cost=0.692012, disagree_f1=0.680005, agree_f1=0.082716, average_f1=0.381361
BATCH 2 training acc=0.593750, cost=0.682111, test acc=0.536226, cost=0.692923, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 3 training acc=0.656250, cost=0.659803, test acc=0.536226, cost=0.747386, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 4 training acc=0.531250, cost=0.759978, test acc=0.536226, cost=0.739106, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 5 training acc=0.500000, cost=0.752706, test acc=0.536226, cost=0.700979, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 6 training acc=0.437500, cost=0.739760, test acc=0.469627, cost=0.694395, disagree_f1=0.335693, agree_f1=0.558616, average_f1=0.447154
BATCH 7 training acc=0.406250, cost=0.695449, test acc=0.463774, cost=0.754921, disagree_f1=0.000000, agree_f1=0.633669, average_f1=0.316834
BATCH 8 training acc=0.468750, cost=0.747106, test acc=0.463774, cost=0.789014, disagree_f1=0.000000, agree_f1=0.633669, average_f1=0.316834
BATCH 9 training acc=0.562500, cost=0.714888, test acc=0.463774, cost=0.777550, disagree_f1=0.000000, agree_f1=0.633669, average_f1=0.316834
BATCH 10 training acc=0.437500, cost=0.822014, test acc=0.463774, cost=0.744191, disagree_f1=0.000000, agree_f1=0.633669, average_f1=0.316834
BATCH 11 training acc=0.500000, cost=0.742258, test acc=0.463774, cost=0.712557, disagree_f1=0.000000, agree_f1=0.633669, average_f1=0.316834
BATCH 12 training acc=0.500000, cost=0.685070, test acc=0.468819, cost=0.694665, disagree_f1=0.059328, agree_f1=0.629921, average_f1=0.344625
BATCH 13 training acc=0.531250, cost=0.683640, test acc=0.546720, cost=0.689517, disagree_f1=0.664876, agree_f1=0.299875, average_f1=0.482376
BATCH 14 training acc=0.531250, cost=0.702727, test acc=0.538446, cost=0.688756, disagree_f1=0.686240, agree_f1=0.127432, average_f1=0.406836
BATCH 15 training acc=0.343750, cost=0.713421, test acc=0.542684, cost=0.688651, disagree_f1=0.683431, agree_f1=0.176599, average_f1=0.430015
BATCH 16 training acc=0.500000, cost=0.691807, test acc=0.544904, cost=0.689003, disagree_f1=0.662577, agree_f1=0.301209, average_f1=0.481893
BATCH 17 training acc=0.625000, cost=0.680080, test acc=0.546317, cost=0.688699, disagree_f1=0.662665, agree_f1=0.307455, average_f1=0.485060
BATCH 18 training acc=0.468750, cost=0.707937, test acc=0.545510, cost=0.688404, disagree_f1=0.664781, agree_f1=0.294486, average_f1=0.479634
