Using GPU: 3...
X_train.shape=(19819, 2, 64), y_train.shape=(19819,);
X_test.shape=(4955, 2, 64), y_test.shape=(4955,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9253959683225342
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.cross_dot_v2_r2q_attention_layer.0.weight
model.cross_dot_v2_r2q_attention_layer.0.bias
model.cross_dot_v2_q2r_attention_layer.0.weight
model.cross_dot_v2_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.312500, cost=0.707114, test acc=0.488396, cost=0.793100, disagree_f1=0.000000, agree_f1=0.656271, average_f1=0.328136
BATCH 2 training acc=0.500000, cost=0.805176, test acc=0.488396, cost=0.746043, disagree_f1=0.000000, agree_f1=0.656271, average_f1=0.328136
BATCH 3 training acc=0.562500, cost=0.703253, test acc=0.488396, cost=0.703568, disagree_f1=0.000000, agree_f1=0.656271, average_f1=0.328136
BATCH 4 training acc=0.468750, cost=0.715810, test acc=0.545510, cost=0.688689, disagree_f1=0.645466, agree_f1=0.367060, average_f1=0.506263
BATCH 5 training acc=0.500000, cost=0.687712, test acc=0.513219, cost=0.697908, disagree_f1=0.676502, agree_f1=0.017115, average_f1=0.346809
BATCH 6 training acc=0.500000, cost=0.705569, test acc=0.511604, cost=0.698218, disagree_f1=0.676903, agree_f1=0.000000, average_f1=0.338451
BATCH 7 training acc=0.531250, cost=0.694991, test acc=0.513623, cost=0.693747, disagree_f1=0.676075, agree_f1=0.024291, average_f1=0.350183
BATCH 8 training acc=0.406250, cost=0.728138, test acc=0.520686, cost=0.690500, disagree_f1=0.594917, agree_f1=0.413146, average_f1=0.504031
BATCH 9 training acc=0.625000, cost=0.678458, test acc=0.501312, cost=0.697667, disagree_f1=0.097846, agree_f1=0.655418, average_f1=0.376632
BATCH 10 training acc=0.468750, cost=0.698680, test acc=0.489203, cost=0.705441, disagree_f1=0.010168, agree_f1=0.655787, average_f1=0.332977
BATCH 11 training acc=0.437500, cost=0.714923, test acc=0.493845, cost=0.701819, disagree_f1=0.035385, agree_f1=0.656908, average_f1=0.346146
BATCH 12 training acc=0.375000, cost=0.738764, test acc=0.507972, cost=0.693841, disagree_f1=0.156401, agree_f1=0.652707, average_f1=0.404554
BATCH 13 training acc=0.406250, cost=0.699129, test acc=0.534208, cost=0.689373, disagree_f1=0.634463, agree_f1=0.358176, average_f1=0.496319
BATCH 14 training acc=0.531250, cost=0.704594, test acc=0.531988, cost=0.689696, disagree_f1=0.667908, agree_f1=0.207721, average_f1=0.437814
BATCH 15 training acc=0.593750, cost=0.662119, test acc=0.520686, cost=0.692252, disagree_f1=0.674256, agree_f1=0.093165, average_f1=0.383711
BATCH 16 training acc=0.562500, cost=0.669122, test acc=0.511604, cost=0.698296, disagree_f1=0.676903, agree_f1=0.000000, average_f1=0.338451
BATCH 17 training acc=0.500000, cost=0.708238, test acc=0.511604, cost=0.702287, disagree_f1=0.676903, agree_f1=0.000000, average_f1=0.338451
