Using GPU: 0...
X_train.shape=(19819, 2, 64), y_train.shape=(19819,);
X_test.shape=(4955, 2, 64), y_test.shape=(4955,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9253959683225342
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.cross_dot_v1_r2q_attention_layer.0.weight
model.cross_dot_v1_r2q_attention_layer.0.bias
model.cross_dot_v1_q2r_attention_layer.0.weight
model.cross_dot_v1_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.468750, cost=0.694306, test acc=0.519475, cost=0.692461, disagree_f1=0.683756, agree_f1=0.000000, average_f1=0.341878
BATCH 2 training acc=0.656250, cost=0.666365, test acc=0.519475, cost=0.708008, disagree_f1=0.683756, agree_f1=0.000000, average_f1=0.341878
BATCH 3 training acc=0.562500, cost=0.680281, test acc=0.519475, cost=0.725880, disagree_f1=0.683756, agree_f1=0.000000, average_f1=0.341878
BATCH 4 training acc=0.406250, cost=0.792960, test acc=0.519475, cost=0.710047, disagree_f1=0.683756, agree_f1=0.000000, average_f1=0.341878
BATCH 5 training acc=0.375000, cost=0.792158, test acc=0.519475, cost=0.695289, disagree_f1=0.683756, agree_f1=0.000000, average_f1=0.341878
BATCH 6 training acc=0.531250, cost=0.683172, test acc=0.519475, cost=0.691974, disagree_f1=0.683756, agree_f1=0.000000, average_f1=0.341878
BATCH 7 training acc=0.468750, cost=0.697242, test acc=0.491423, cost=0.693604, disagree_f1=0.247761, agree_f1=0.615854, average_f1=0.431807
BATCH 8 training acc=0.531250, cost=0.695372, test acc=0.490414, cost=0.693319, disagree_f1=0.297245, agree_f1=0.600285, average_f1=0.448765
BATCH 9 training acc=0.562500, cost=0.690026, test acc=0.496872, cost=0.693091, disagree_f1=0.382156, agree_f1=0.575660, average_f1=0.478908
BATCH 10 training acc=0.500000, cost=0.693348, test acc=0.528153, cost=0.692216, disagree_f1=0.677161, agree_f1=0.123688, average_f1=0.400425
BATCH 11 training acc=0.625000, cost=0.692446, test acc=0.519475, cost=0.691736, disagree_f1=0.683756, agree_f1=0.000000, average_f1=0.341878
BATCH 12 training acc=0.531250, cost=0.691255, test acc=0.519475, cost=0.691637, disagree_f1=0.683756, agree_f1=0.000000, average_f1=0.341878
BATCH 13 training acc=0.437500, cost=0.704662, test acc=0.519475, cost=0.691729, disagree_f1=0.683756, agree_f1=0.000000, average_f1=0.341878
BATCH 14 training acc=0.468750, cost=0.695492, test acc=0.519475, cost=0.691791, disagree_f1=0.683756, agree_f1=0.000000, average_f1=0.341878
BATCH 15 training acc=0.437500, cost=0.705543, test acc=0.519475, cost=0.691769, disagree_f1=0.683756, agree_f1=0.000000, average_f1=0.341878
BATCH 16 training acc=0.625000, cost=0.680096, test acc=0.519475, cost=0.691839, disagree_f1=0.683756, agree_f1=0.000000, average_f1=0.341878
