Using GPU: 0...
X_train.shape=(19819, 2, 64), y_train.shape=(19819,);
X_test.shape=(4955, 2, 64), y_test.shape=(4955,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9253959683225342
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.q2q_attention_layer.0.weight
model.q2q_attention_layer.0.bias
model.q2q_attention_layer.3.weight
model.q2q_attention_layer.3.bias
model.r2r_attention_layer.0.weight
model.r2r_attention_layer.0.bias
model.r2r_attention_layer.3.weight
model.r2r_attention_layer.3.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.500000, cost=0.693938, test acc=0.516448, cost=0.695235, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 2 training acc=0.531250, cost=0.688341, test acc=0.516448, cost=0.699489, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 3 training acc=0.593750, cost=0.682591, test acc=0.516448, cost=0.704894, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 4 training acc=0.718750, cost=0.634920, test acc=0.516448, cost=0.725800, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 5 training acc=0.531250, cost=0.702443, test acc=0.516448, cost=0.733016, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 6 training acc=0.468750, cost=0.768296, test acc=0.516448, cost=0.715989, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 7 training acc=0.531250, cost=0.704721, test acc=0.516448, cost=0.702171, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 8 training acc=0.375000, cost=0.747074, test acc=0.516448, cost=0.693881, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 9 training acc=0.281250, cost=0.730080, test acc=0.470434, cost=0.695712, disagree_f1=0.155727, agree_f1=0.614231, average_f1=0.384979
BATCH 10 training acc=0.500000, cost=0.707433, test acc=0.483552, cost=0.702362, disagree_f1=0.000000, agree_f1=0.651884, average_f1=0.325942
BATCH 11 training acc=0.625000, cost=0.681831, test acc=0.483552, cost=0.712506, disagree_f1=0.000000, agree_f1=0.651884, average_f1=0.325942
BATCH 12 training acc=0.500000, cost=0.719198, test acc=0.483552, cost=0.718060, disagree_f1=0.000000, agree_f1=0.651884, average_f1=0.325942
BATCH 13 training acc=0.593750, cost=0.673980, test acc=0.483552, cost=0.722622, disagree_f1=0.000000, agree_f1=0.651884, average_f1=0.325942
BATCH 14 training acc=0.406250, cost=0.753262, test acc=0.483552, cost=0.716530, disagree_f1=0.000000, agree_f1=0.651884, average_f1=0.325942
BATCH 15 training acc=0.656250, cost=0.661191, test acc=0.483552, cost=0.713769, disagree_f1=0.000000, agree_f1=0.651884, average_f1=0.325942
BATCH 16 training acc=0.343750, cost=0.759636, test acc=0.483552, cost=0.705913, disagree_f1=0.000000, agree_f1=0.651884, average_f1=0.325942
