Using GPU: 0...
X_train.shape=(19819, 2, 64), y_train.shape=(19819,);
X_test.shape=(4955, 2, 64), y_test.shape=(4955,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9253959683225342
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.593750, cost=0.686262, test acc=0.516448, cost=0.694044, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 2 training acc=0.593750, cost=0.673766, test acc=0.516448, cost=0.705350, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 3 training acc=0.531250, cost=0.703113, test acc=0.516448, cost=0.706287, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 4 training acc=0.593750, cost=0.673844, test acc=0.516448, cost=0.704556, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 5 training acc=0.312500, cost=0.777068, test acc=0.516448, cost=0.694261, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 6 training acc=0.500000, cost=0.697990, test acc=0.475277, cost=0.695116, disagree_f1=0.062049, agree_f1=0.635752, average_f1=0.348901
BATCH 7 training acc=0.531250, cost=0.683028, test acc=0.483552, cost=0.703327, disagree_f1=0.000000, agree_f1=0.651884, average_f1=0.325942
BATCH 8 training acc=0.593750, cost=0.679723, test acc=0.483552, cost=0.716853, disagree_f1=0.000000, agree_f1=0.651884, average_f1=0.325942
BATCH 9 training acc=0.312500, cost=0.794291, test acc=0.483552, cost=0.712934, disagree_f1=0.000000, agree_f1=0.651884, average_f1=0.325942
BATCH 10 training acc=0.593750, cost=0.675276, test acc=0.483552, cost=0.711845, disagree_f1=0.000000, agree_f1=0.651884, average_f1=0.325942
BATCH 11 training acc=0.531250, cost=0.716750, test acc=0.483552, cost=0.707237, disagree_f1=0.000000, agree_f1=0.651884, average_f1=0.325942
BATCH 12 training acc=0.562500, cost=0.699701, test acc=0.483552, cost=0.702865, disagree_f1=0.000000, agree_f1=0.651884, average_f1=0.325942
BATCH 13 training acc=0.625000, cost=0.665761, test acc=0.483552, cost=0.700902, disagree_f1=0.000000, agree_f1=0.651884, average_f1=0.325942
BATCH 14 training acc=0.562500, cost=0.686237, test acc=0.483552, cost=0.699782, disagree_f1=0.000000, agree_f1=0.651884, average_f1=0.325942
BATCH 15 training acc=0.531250, cost=0.685478, test acc=0.483552, cost=0.698056, disagree_f1=0.000000, agree_f1=0.651884, average_f1=0.325942
BATCH 16 training acc=0.437500, cost=0.706702, test acc=0.486983, cost=0.694248, disagree_f1=0.029030, agree_f1=0.651399, average_f1=0.340214
BATCH 17 training acc=0.593750, cost=0.687890, test acc=0.518870, cost=0.692183, disagree_f1=0.617949, agree_f1=0.350409, average_f1=0.484179
BATCH 18 training acc=0.468750, cost=0.695892, test acc=0.526539, cost=0.691791, disagree_f1=0.658117, agree_f1=0.230315, average_f1=0.444216
BATCH 19 training acc=0.437500, cost=0.702684, test acc=0.526135, cost=0.691959, disagree_f1=0.664284, agree_f1=0.194787, average_f1=0.429536
BATCH 20 training acc=0.531250, cost=0.710308, test acc=0.527548, cost=0.691888, disagree_f1=0.663698, agree_f1=0.206172, average_f1=0.434935
BATCH 21 training acc=0.500000, cost=0.696965, test acc=0.527144, cost=0.691739, disagree_f1=0.660090, agree_f1=0.223401, average_f1=0.441745
