Using GPU: 1...
X_train.shape=(19819, 2, 64), y_train.shape=(19819,);
X_test.shape=(4955, 2, 64), y_test.shape=(4955,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9253959683225342
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.q2q_attention_layer.0.weight
model.q2q_attention_layer.0.bias
model.q2q_attention_layer.3.weight
model.q2q_attention_layer.3.bias
model.r2r_attention_layer.0.weight
model.r2r_attention_layer.0.bias
model.r2r_attention_layer.3.weight
model.r2r_attention_layer.3.bias
model.r2q_attention_layer.0.weight
model.r2q_attention_layer.0.bias
model.r2q_attention_layer.3.weight
model.r2q_attention_layer.3.bias
model.q2r_attention_layer.0.weight
model.q2r_attention_layer.0.bias
model.q2r_attention_layer.3.weight
model.q2r_attention_layer.3.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.500000, cost=0.698420, test acc=0.536226, cost=0.700939, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 2 training acc=0.250000, cost=0.826495, test acc=0.536226, cost=0.690341, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 3 training acc=0.500000, cost=0.704743, test acc=0.478507, cost=0.693980, disagree_f1=0.298969, agree_f1=0.584833, average_f1=0.441901
BATCH 4 training acc=0.593750, cost=0.693516, test acc=0.473259, cost=0.694643, disagree_f1=0.203783, agree_f1=0.606454, average_f1=0.405118
BATCH 5 training acc=0.500000, cost=0.693920, test acc=0.497477, cost=0.693254, disagree_f1=0.414118, agree_f1=0.560071, average_f1=0.487094
BATCH 6 training acc=0.593750, cost=0.681578, test acc=0.543290, cost=0.690657, disagree_f1=0.682564, agree_f1=0.186264, average_f1=0.434414
BATCH 7 training acc=0.531250, cost=0.691061, test acc=0.536226, cost=0.689234, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 8 training acc=0.625000, cost=0.684976, test acc=0.536226, cost=0.691425, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 9 training acc=0.468750, cost=0.698675, test acc=0.536226, cost=0.691989, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 10 training acc=0.468750, cost=0.698082, test acc=0.536226, cost=0.689840, disagree_f1=0.698108, agree_f1=0.000000, average_f1=0.349054
BATCH 11 training acc=0.500000, cost=0.697278, test acc=0.538648, cost=0.688444, disagree_f1=0.677483, agree_f1=0.189936, average_f1=0.433710
BATCH 12 training acc=0.750000, cost=0.659424, test acc=0.541675, cost=0.688257, disagree_f1=0.670535, agree_f1=0.247265, average_f1=0.458900
BATCH 13 training acc=0.500000, cost=0.695103, test acc=0.548335, cost=0.688595, disagree_f1=0.658112, agree_f1=0.334721, average_f1=0.496416
BATCH 14 training acc=0.500000, cost=0.689192, test acc=0.542482, cost=0.689964, disagree_f1=0.624109, agree_f1=0.415571, average_f1=0.519840
BATCH 15 training acc=0.468750, cost=0.688814, test acc=0.485772, cost=0.696107, disagree_f1=0.217445, agree_f1=0.617072, average_f1=0.417259
BATCH 16 training acc=0.500000, cost=0.707521, test acc=0.477296, cost=0.698715, disagree_f1=0.118448, agree_f1=0.628514, average_f1=0.373481
BATCH 17 training acc=0.406250, cost=0.701789, test acc=0.483350, cost=0.697703, disagree_f1=0.201995, agree_f1=0.618024, average_f1=0.410010
BATCH 18 training acc=0.500000, cost=0.703142, test acc=0.541675, cost=0.692370, disagree_f1=0.577803, agree_f1=0.498786, average_f1=0.538294
