Using GPU: 1...
X_train.shape=(19819, 2, 64), y_train.shape=(19819,);
X_test.shape=(4955, 2, 64), y_test.shape=(4955,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9253959683225342
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.q2q_attention_layer.0.weight
model.q2q_attention_layer.0.bias
model.q2q_attention_layer.3.weight
model.q2q_attention_layer.3.bias
model.r2r_attention_layer.0.weight
model.r2r_attention_layer.0.bias
model.r2r_attention_layer.3.weight
model.r2r_attention_layer.3.bias
model.cross_dot_v2_r2q_attention_layer.0.weight
model.cross_dot_v2_r2q_attention_layer.0.bias
model.cross_dot_v2_q2r_attention_layer.0.weight
model.cross_dot_v2_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.468750, cost=0.702021, test acc=0.483552, cost=0.718234, disagree_f1=0.000000, agree_f1=0.651884, average_f1=0.325942
BATCH 2 training acc=0.531250, cost=0.706702, test acc=0.483552, cost=0.712062, disagree_f1=0.000000, agree_f1=0.651884, average_f1=0.325942
BATCH 3 training acc=0.406250, cost=0.741027, test acc=0.537639, cost=0.691407, disagree_f1=0.596726, agree_f1=0.458264, average_f1=0.527495
BATCH 4 training acc=0.531250, cost=0.686706, test acc=0.522099, cost=0.694681, disagree_f1=0.677823, agree_f1=0.075000, average_f1=0.376412
BATCH 5 training acc=0.625000, cost=0.660900, test acc=0.516448, cost=0.713019, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 6 training acc=0.593750, cost=0.676676, test acc=0.516448, cost=0.730348, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 7 training acc=0.500000, cost=0.731196, test acc=0.516448, cost=0.718314, disagree_f1=0.681129, agree_f1=0.000000, average_f1=0.340564
BATCH 8 training acc=0.468750, cost=0.720398, test acc=0.523915, cost=0.698384, disagree_f1=0.675739, agree_f1=0.104744, average_f1=0.390241
BATCH 9 training acc=0.531250, cost=0.699478, test acc=0.540061, cost=0.689939, disagree_f1=0.652433, agree_f1=0.320310, average_f1=0.486371
BATCH 10 training acc=0.562500, cost=0.688922, test acc=0.503128, cost=0.692373, disagree_f1=0.347296, agree_f1=0.598892, average_f1=0.473094
BATCH 11 training acc=0.593750, cost=0.673915, test acc=0.493239, cost=0.693661, disagree_f1=0.189739, agree_f1=0.631332, average_f1=0.410535
BATCH 12 training acc=0.375000, cost=0.694877, test acc=0.526741, cost=0.690790, disagree_f1=0.524823, agree_f1=0.528643, average_f1=0.526733
BATCH 13 training acc=0.593750, cost=0.681512, test acc=0.536428, cost=0.689226, disagree_f1=0.638893, agree_f1=0.352775, average_f1=0.495834
BATCH 14 training acc=0.531250, cost=0.702619, test acc=0.534612, cost=0.691035, disagree_f1=0.654065, agree_f1=0.289149, average_f1=0.471607
BATCH 15 training acc=0.500000, cost=0.698114, test acc=0.538850, cost=0.694460, disagree_f1=0.664316, agree_f1=0.263616, average_f1=0.463966
BATCH 16 training acc=0.625000, cost=0.665897, test acc=0.532795, cost=0.702651, disagree_f1=0.670087, agree_f1=0.199793, average_f1=0.434940
BATCH 17 training acc=0.687500, cost=0.644564, test acc=0.518870, cost=0.718025, disagree_f1=0.680857, agree_f1=0.022951, average_f1=0.351904
BATCH 18 training acc=0.437500, cost=0.804355, test acc=0.516448, cost=0.720475, disagree_f1=0.680874, agree_f1=0.002498, average_f1=0.341686
