Using GPU: 1...
X_train.shape=(19819, 2, 64), y_train.shape=(19819,);
X_test.shape=(4955, 2, 64), y_test.shape=(4955,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9253959683225342
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.r2q_attention_layer.0.weight
model.r2q_attention_layer.0.bias
model.r2q_attention_layer.3.weight
model.r2q_attention_layer.3.bias
model.q2r_attention_layer.0.weight
model.q2r_attention_layer.0.bias
model.q2r_attention_layer.3.weight
model.q2r_attention_layer.3.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.500000, cost=0.693730, test acc=0.519475, cost=0.699881, disagree_f1=0.683756, agree_f1=0.000000, average_f1=0.341878
BATCH 2 training acc=0.437500, cost=0.724382, test acc=0.519475, cost=0.690919, disagree_f1=0.683756, agree_f1=0.000000, average_f1=0.341878
BATCH 3 training acc=0.281250, cost=0.726258, test acc=0.480525, cost=0.707860, disagree_f1=0.000000, agree_f1=0.649128, average_f1=0.324564
BATCH 4 training acc=0.406250, cost=0.736912, test acc=0.480525, cost=0.712873, disagree_f1=0.000000, agree_f1=0.649128, average_f1=0.324564
BATCH 5 training acc=0.343750, cost=0.757871, test acc=0.480525, cost=0.700727, disagree_f1=0.000000, agree_f1=0.649128, average_f1=0.324564
BATCH 6 training acc=0.656250, cost=0.660317, test acc=0.480525, cost=0.698561, disagree_f1=0.000000, agree_f1=0.649128, average_f1=0.324564
BATCH 7 training acc=0.500000, cost=0.690918, test acc=0.481332, cost=0.693576, disagree_f1=0.003103, agree_f1=0.649482, average_f1=0.326292
BATCH 8 training acc=0.531250, cost=0.698049, test acc=0.485772, cost=0.692590, disagree_f1=0.045693, agree_f1=0.648066, average_f1=0.346880
BATCH 9 training acc=0.562500, cost=0.699246, test acc=0.550757, cost=0.690095, disagree_f1=0.629000, agree_f1=0.430691, average_f1=0.529845
BATCH 10 training acc=0.531250, cost=0.695821, test acc=0.547124, cost=0.689307, disagree_f1=0.660822, agree_f1=0.318761, average_f1=0.489792
BATCH 11 training acc=0.500000, cost=0.701361, test acc=0.544501, cost=0.689438, disagree_f1=0.675858, agree_f1=0.234136, average_f1=0.454997
BATCH 12 training acc=0.531250, cost=0.706246, test acc=0.544299, cost=0.689400, disagree_f1=0.675201, agree_f1=0.236646, average_f1=0.455924
BATCH 13 training acc=0.500000, cost=0.698022, test acc=0.544501, cost=0.688830, disagree_f1=0.666272, agree_f1=0.282809, average_f1=0.474541
BATCH 14 training acc=0.625000, cost=0.682491, test acc=0.551968, cost=0.688638, disagree_f1=0.655707, agree_f1=0.358752, average_f1=0.507230
BATCH 15 training acc=0.437500, cost=0.696369, test acc=0.555802, cost=0.688842, disagree_f1=0.636619, agree_f1=0.428757, average_f1=0.532688
BATCH 16 training acc=0.375000, cost=0.707759, test acc=0.509384, cost=0.691135, disagree_f1=0.309571, agree_f1=0.619502, average_f1=0.464537
BATCH 17 training acc=0.468750, cost=0.698989, test acc=0.480525, cost=0.698688, disagree_f1=0.000000, agree_f1=0.649128, average_f1=0.324564
BATCH 18 training acc=0.562500, cost=0.705149, test acc=0.480525, cost=0.702900, disagree_f1=0.000000, agree_f1=0.649128, average_f1=0.324564
