Using GPU: 1...
X_train.shape=(19819, 2, 64), y_train.shape=(19819,);
X_test.shape=(4955, 2, 64), y_test.shape=(4955,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9253959683225342
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.cross_dot_v2_r2q_attention_layer.0.weight
model.cross_dot_v2_r2q_attention_layer.0.bias
model.cross_dot_v2_q2r_attention_layer.0.weight
model.cross_dot_v2_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.437500, cost=0.695166, test acc=0.511604, cost=0.695182, disagree_f1=0.676903, agree_f1=0.000000, average_f1=0.338451
BATCH 2 training acc=0.500000, cost=0.702613, test acc=0.511604, cost=0.693756, disagree_f1=0.676903, agree_f1=0.000000, average_f1=0.338451
BATCH 3 training acc=0.593750, cost=0.674910, test acc=0.511604, cost=0.702187, disagree_f1=0.676903, agree_f1=0.000000, average_f1=0.338451
BATCH 4 training acc=0.343750, cost=0.758380, test acc=0.511604, cost=0.695835, disagree_f1=0.676903, agree_f1=0.000000, average_f1=0.338451
BATCH 5 training acc=0.625000, cost=0.664912, test acc=0.511604, cost=0.698614, disagree_f1=0.676903, agree_f1=0.000000, average_f1=0.338451
BATCH 6 training acc=0.500000, cost=0.686548, test acc=0.511604, cost=0.702588, disagree_f1=0.676903, agree_f1=0.000000, average_f1=0.338451
BATCH 7 training acc=0.500000, cost=0.707251, test acc=0.511604, cost=0.697928, disagree_f1=0.676903, agree_f1=0.000000, average_f1=0.338451
BATCH 8 training acc=0.468750, cost=0.722868, test acc=0.522301, cost=0.691992, disagree_f1=0.669828, agree_f1=0.136447, average_f1=0.403137
BATCH 9 training acc=0.625000, cost=0.673711, test acc=0.495459, cost=0.693925, disagree_f1=0.177632, agree_f1=0.636099, average_f1=0.406865
BATCH 10 training acc=0.250000, cost=0.726169, test acc=0.491625, cost=0.695598, disagree_f1=0.042569, agree_f1=0.653936, average_f1=0.348253
BATCH 11 training acc=0.593750, cost=0.683559, test acc=0.492432, cost=0.695381, disagree_f1=0.052731, agree_f1=0.653343, average_f1=0.353037
BATCH 12 training acc=0.406250, cost=0.709047, test acc=0.512412, cost=0.692670, disagree_f1=0.380195, agree_f1=0.598137, average_f1=0.489166
BATCH 13 training acc=0.625000, cost=0.675440, test acc=0.527750, cost=0.691575, disagree_f1=0.645455, agree_f1=0.293051, average_f1=0.469253
BATCH 14 training acc=0.500000, cost=0.689518, test acc=0.518264, cost=0.693389, disagree_f1=0.671800, agree_f1=0.094805, average_f1=0.383302
BATCH 15 training acc=0.718750, cost=0.668108, test acc=0.511806, cost=0.700141, disagree_f1=0.676993, agree_f1=0.000826, average_f1=0.338910
BATCH 16 training acc=0.437500, cost=0.744615, test acc=0.511604, cost=0.701786, disagree_f1=0.676903, agree_f1=0.000000, average_f1=0.338451
BATCH 17 training acc=0.562500, cost=0.670037, test acc=0.511604, cost=0.702159, disagree_f1=0.676816, agree_f1=0.000826, average_f1=0.338821
BATCH 18 training acc=0.625000, cost=0.677517, test acc=0.511403, cost=0.702268, disagree_f1=0.676640, agree_f1=0.000825, average_f1=0.338732
BATCH 19 training acc=0.531250, cost=0.718881, test acc=0.517861, cost=0.698066, disagree_f1=0.675892, agree_f1=0.059078, average_f1=0.367485
BATCH 20 training acc=0.500000, cost=0.700013, test acc=0.535419, cost=0.692451, disagree_f1=0.670672, agree_f1=0.211644, average_f1=0.441158
BATCH 21 training acc=0.656250, cost=0.659099, test acc=0.538446, cost=0.691654, disagree_f1=0.664810, agree_f1=0.259151, average_f1=0.461981
BATCH 22 training acc=0.468750, cost=0.720398, test acc=0.538648, cost=0.689940, disagree_f1=0.626104, agree_f1=0.397787, average_f1=0.511946
BATCH 23 training acc=0.500000, cost=0.698805, test acc=0.530979, cost=0.690248, disagree_f1=0.545027, agree_f1=0.516035, average_f1=0.530531
BATCH 24 training acc=0.468750, cost=0.692652, test acc=0.538648, cost=0.689763, disagree_f1=0.589734, agree_f1=0.473029, average_f1=0.531382
BATCH 25 training acc=0.562500, cost=0.679810, test acc=0.542886, cost=0.690365, disagree_f1=0.653086, agree_f1=0.330080, average_f1=0.491583
BATCH 26 training acc=0.531250, cost=0.696336, test acc=0.540061, cost=0.692790, disagree_f1=0.665591, agree_f1=0.263651, average_f1=0.464621
BATCH 27 training acc=0.500000, cost=0.703440, test acc=0.537841, cost=0.694511, disagree_f1=0.667441, agree_f1=0.242725, average_f1=0.455083
BATCH 28 training acc=0.593750, cost=0.675843, test acc=0.538042, cost=0.695701, disagree_f1=0.667442, agree_f1=0.243806, average_f1=0.455624
BATCH 29 training acc=0.500000, cost=0.716617, test acc=0.544904, cost=0.692367, disagree_f1=0.663383, agree_f1=0.297727, average_f1=0.480555
BATCH 30 training acc=0.593750, cost=0.660267, test acc=0.548739, cost=0.690193, disagree_f1=0.657475, agree_f1=0.338853, average_f1=0.498164
BATCH 31 training acc=0.593750, cost=0.699429, test acc=0.544299, cost=0.687870, disagree_f1=0.612959, agree_f1=0.446026, average_f1=0.529492
BATCH 32 training acc=0.562500, cost=0.685641, test acc=0.544501, cost=0.687797, disagree_f1=0.598184, agree_f1=0.474260, average_f1=0.536222
BATCH 33 training acc=0.500000, cost=0.685331, test acc=0.549546, cost=0.687838, disagree_f1=0.632532, agree_f1=0.418144, average_f1=0.525338
BATCH 34 training acc=0.562500, cost=0.677440, test acc=0.548335, cost=0.691767, disagree_f1=0.658945, agree_f1=0.331541, average_f1=0.495243
BATCH 35 training acc=0.437500, cost=0.776695, test acc=0.547528, cost=0.693160, disagree_f1=0.661534, agree_f1=0.317712, average_f1=0.489623
BATCH 36 training acc=0.531250, cost=0.712155, test acc=0.545308, cost=0.694561, disagree_f1=0.663380, agree_f1=0.299658, average_f1=0.481519
BATCH 37 training acc=0.468750, cost=0.739031, test acc=0.547730, cost=0.691196, disagree_f1=0.662144, agree_f1=0.316143, average_f1=0.489143
BATCH 38 training acc=0.468750, cost=0.702183, test acc=0.551160, cost=0.688688, disagree_f1=0.657846, agree_f1=0.347801, average_f1=0.502823
BATCH 39 training acc=0.531250, cost=0.667112, test acc=0.548537, cost=0.688954, disagree_f1=0.659979, agree_f1=0.328430, average_f1=0.494204
BATCH 40 training acc=0.500000, cost=0.687087, test acc=0.550959, cost=0.688394, disagree_f1=0.659630, agree_f1=0.340350, average_f1=0.499990
BATCH 41 training acc=0.500000, cost=0.678251, test acc=0.553784, cost=0.688090, disagree_f1=0.656410, agree_f1=0.363741, average_f1=0.510076
BATCH 42 training acc=0.500000, cost=0.682259, test acc=0.549142, cost=0.688435, disagree_f1=0.658410, agree_f1=0.337092, average_f1=0.497751
BATCH 43 training acc=0.531250, cost=0.688972, test acc=0.558426, cost=0.688071, disagree_f1=0.647552, agree_f1=0.408968, average_f1=0.528260
BATCH 44 training acc=0.437500, cost=0.706023, test acc=0.557417, cost=0.688225, disagree_f1=0.634317, agree_f1=0.439560, average_f1=0.536939
BATCH 45 training acc=0.531250, cost=0.668177, test acc=0.552170, cost=0.688317, disagree_f1=0.603538, agree_f1=0.485509, average_f1=0.544523
BATCH 46 training acc=0.593750, cost=0.676869, test acc=0.546115, cost=0.688629, disagree_f1=0.555797, agree_f1=0.536002, average_f1=0.545899
BATCH 47 training acc=0.531250, cost=0.686457, test acc=0.524117, cost=0.690064, disagree_f1=0.399695, agree_f1=0.605817, average_f1=0.502756
BATCH 48 training acc=0.593750, cost=0.690239, test acc=0.502321, cost=0.692179, disagree_f1=0.196743, agree_f1=0.639474, average_f1=0.418108
BATCH 49 training acc=0.468750, cost=0.708408, test acc=0.512412, cost=0.691088, disagree_f1=0.295216, agree_f1=0.627276, average_f1=0.461246
BATCH 50 training acc=0.468750, cost=0.705431, test acc=0.534410, cost=0.689182, disagree_f1=0.462112, agree_f1=0.589575, average_f1=0.525844
