Using GPU: 3...
X_train.shape=(2383, 2, 64), y_train.shape=(2383,);
X_test.shape=(596, 2, 64), y_test.shape=(596,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9832497860374129
model.bilstm.bilstm.weight_ih_l0
model.bilstm.bilstm.weight_hh_l0
model.bilstm.bilstm.bias_ih_l0
model.bilstm.bilstm.bias_hh_l0
model.bilstm.bilstm.weight_ih_l0_reverse
model.bilstm.bilstm.weight_hh_l0_reverse
model.bilstm.bilstm.bias_ih_l0_reverse
model.bilstm.bilstm.bias_hh_l0_reverse
model.quote_attention_Wy.weight
model.quote_attention_Wh.weight
model.quote_attention_Wa.weight
model.response_attention_Wy.weight
model.response_attention_Wh.weight
model.response_attention_Wa.weight
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.562500, cost=0.686295, test acc=0.615772, cost=0.664483, disagree_f1=0.762201, agree_f1=0.000000, average_f1=0.381101
BATCH 2 training acc=0.718750, cost=0.626853, test acc=0.615772, cost=0.658554, disagree_f1=0.762201, agree_f1=0.000000, average_f1=0.381101
BATCH 3 training acc=0.437500, cost=0.751396, test acc=0.615772, cost=0.656110, disagree_f1=0.762201, agree_f1=0.000000, average_f1=0.381101
BATCH 4 training acc=0.843750, cost=0.535936, test acc=0.615772, cost=0.659747, disagree_f1=0.762201, agree_f1=0.000000, average_f1=0.381101
BATCH 5 training acc=0.718750, cost=0.576420, test acc=0.615772, cost=0.671252, disagree_f1=0.762201, agree_f1=0.000000, average_f1=0.381101
BATCH 6 training acc=0.562500, cost=0.692193, test acc=0.615772, cost=0.673626, disagree_f1=0.762201, agree_f1=0.000000, average_f1=0.381101
BATCH 7 training acc=0.656250, cost=0.638067, test acc=0.615772, cost=0.668147, disagree_f1=0.762201, agree_f1=0.000000, average_f1=0.381101
BATCH 8 training acc=0.718750, cost=0.548265, test acc=0.615772, cost=0.667167, disagree_f1=0.762201, agree_f1=0.000000, average_f1=0.381101
BATCH 9 training acc=0.593750, cost=0.701848, test acc=0.615772, cost=0.658665, disagree_f1=0.762201, agree_f1=0.000000, average_f1=0.381101
BATCH 10 training acc=0.593750, cost=0.725076, test acc=0.615772, cost=0.646446, disagree_f1=0.762201, agree_f1=0.000000, average_f1=0.381101
BATCH 11 training acc=0.625000, cost=0.731875, test acc=0.615772, cost=0.639112, disagree_f1=0.762201, agree_f1=0.000000, average_f1=0.381101
BATCH 12 training acc=0.656250, cost=0.633236, test acc=0.627517, cost=0.637337, disagree_f1=0.764331, agree_f1=0.112000, average_f1=0.438166
BATCH 13 training acc=0.875000, cost=0.518827, test acc=0.627517, cost=0.635548, disagree_f1=0.763326, agree_f1=0.125984, average_f1=0.444655
BATCH 14 training acc=0.656250, cost=0.581326, test acc=0.627517, cost=0.631376, disagree_f1=0.763326, agree_f1=0.125984, average_f1=0.444655
BATCH 15 training acc=0.625000, cost=0.607064, test acc=0.627517, cost=0.625502, disagree_f1=0.763326, agree_f1=0.125984, average_f1=0.444655
BATCH 16 training acc=0.656250, cost=0.607903, test acc=0.625839, cost=0.618183, disagree_f1=0.762513, agree_f1=0.118577, average_f1=0.440545
BATCH 17 training acc=0.687500, cost=0.588829, test acc=0.627517, cost=0.610378, disagree_f1=0.763326, agree_f1=0.125984, average_f1=0.444655
BATCH 18 training acc=0.656250, cost=0.603321, test acc=0.627517, cost=0.607129, disagree_f1=0.763326, agree_f1=0.125984, average_f1=0.444655
BATCH 19 training acc=0.812500, cost=0.509602, test acc=0.625839, cost=0.616661, disagree_f1=0.764520, agree_f1=0.089796, average_f1=0.427158
BATCH 20 training acc=0.593750, cost=0.745712, test acc=0.625839, cost=0.622015, disagree_f1=0.764520, agree_f1=0.089796, average_f1=0.427158
BATCH 21 training acc=0.625000, cost=0.685101, test acc=0.624161, cost=0.620191, disagree_f1=0.763214, agree_f1=0.089431, average_f1=0.426322
BATCH 22 training acc=0.625000, cost=0.702287, test acc=0.625839, cost=0.613265, disagree_f1=0.764021, agree_f1=0.097166, average_f1=0.430594
BATCH 23 training acc=0.531250, cost=0.656553, test acc=0.629195, cost=0.605405, disagree_f1=0.762621, agree_f1=0.153257, average_f1=0.457939
BATCH 24 training acc=0.718750, cost=0.582446, test acc=0.647651, cost=0.602102, disagree_f1=0.770241, agree_f1=0.244604, average_f1=0.507423
BATCH 25 training acc=0.500000, cost=0.704715, test acc=0.664430, cost=0.604494, disagree_f1=0.775281, agree_f1=0.337748, average_f1=0.556515
BATCH 26 training acc=0.718750, cost=0.576850, test acc=0.669463, cost=0.609420, disagree_f1=0.772780, agree_f1=0.393846, average_f1=0.583313
