Using GPU: 1...
X_train.shape=(4700, 2, 64), y_train.shape=(4700,);
X_test.shape=(1176, 2, 64), y_test.shape=(1176,)
Creating the data generator ...
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.562500, cost=0.726050, test acc=0.676020, cost=1.496967, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 2 training acc=0.687500, cost=1.406735, test acc=0.676020, cost=0.890745, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 3 training acc=0.656250, cost=1.004903, test acc=0.647109, cost=0.659975, disagree_f1=0.771098, agree_f1=0.230056, average_f1=0.500577
BATCH 4 training acc=0.531250, cost=0.735505, test acc=0.647959, cost=0.662561, disagree_f1=0.768197, agree_f1=0.268551, average_f1=0.518374
BATCH 5 training acc=0.593750, cost=0.695298, test acc=0.676020, cost=0.625729, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 6 training acc=0.531250, cost=0.786833, test acc=0.676020, cost=0.621523, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 7 training acc=0.468750, cost=0.727735, test acc=0.675170, cost=0.628487, disagree_f1=0.806091, agree_f1=0.000000, average_f1=0.403046
BATCH 8 training acc=0.593750, cost=0.719655, test acc=0.616497, cost=0.670808, disagree_f1=0.713651, agree_f1=0.419562, average_f1=0.566607
BATCH 9 training acc=0.562500, cost=0.766798, test acc=0.648810, cost=0.662379, disagree_f1=0.739432, agree_f1=0.461538, average_f1=0.600485
BATCH 10 training acc=0.562500, cost=0.727754, test acc=0.677721, cost=0.631198, disagree_f1=0.807321, agree_f1=0.015584, average_f1=0.411453
BATCH 11 training acc=0.593750, cost=0.778265, test acc=0.675170, cost=0.620614, disagree_f1=0.806091, agree_f1=0.000000, average_f1=0.403046
BATCH 12 training acc=0.625000, cost=0.779782, test acc=0.676020, cost=0.613936, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 13 training acc=0.687500, cost=0.640105, test acc=0.676020, cost=0.613063, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 14 training acc=0.625000, cost=0.729061, test acc=0.676020, cost=0.618562, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 15 training acc=0.625000, cost=0.733549, test acc=0.676020, cost=0.614922, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 16 training acc=0.718750, cost=0.575849, test acc=0.676020, cost=0.615075, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 17 training acc=0.593750, cost=0.656195, test acc=0.676020, cost=0.609303, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 18 training acc=0.625000, cost=0.681050, test acc=0.676020, cost=0.608025, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 19 training acc=0.468750, cost=0.779501, test acc=0.676020, cost=0.604979, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 20 training acc=0.625000, cost=0.617732, test acc=0.676020, cost=0.605099, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 21 training acc=0.656250, cost=0.635839, test acc=0.676020, cost=0.605159, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
