Using GPU: 0...
X_train.shape=(2383, 2, 64), y_train.shape=(2383,);
X_test.shape=(596, 2, 64), y_test.shape=(596,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9832497860374129
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.500000, cost=0.772666, test acc=0.629195, cost=0.682174, disagree_f1=0.739694, agree_f1=0.355685, average_f1=0.547689
BATCH 2 training acc=0.593750, cost=0.656757, test acc=0.488255, cost=0.875510, disagree_f1=0.400786, agree_f1=0.553441, average_f1=0.477113
BATCH 3 training acc=0.468750, cost=0.947470, test acc=0.639262, cost=0.640207, disagree_f1=0.711409, agree_f1=0.519016, average_f1=0.615213
BATCH 4 training acc=0.500000, cost=0.933476, test acc=0.654362, cost=0.625067, disagree_f1=0.775599, agree_f1=0.248175, average_f1=0.511887
BATCH 5 training acc=0.406250, cost=0.864276, test acc=0.664430, cost=0.615057, disagree_f1=0.780702, agree_f1=0.285714, average_f1=0.533208
BATCH 6 training acc=0.593750, cost=0.670849, test acc=0.629195, cost=0.634559, disagree_f1=0.771930, agree_f1=0.008969, average_f1=0.390449
BATCH 7 training acc=0.656250, cost=0.676154, test acc=0.627517, cost=0.697362, disagree_f1=0.771134, agree_f1=0.000000, average_f1=0.385567
BATCH 8 training acc=0.656250, cost=0.830046, test acc=0.627517, cost=0.711656, disagree_f1=0.771134, agree_f1=0.000000, average_f1=0.385567
BATCH 9 training acc=0.812500, cost=0.514462, test acc=0.627517, cost=0.704093, disagree_f1=0.771134, agree_f1=0.000000, average_f1=0.385567
BATCH 10 training acc=0.687500, cost=0.817446, test acc=0.627517, cost=0.671928, disagree_f1=0.771134, agree_f1=0.000000, average_f1=0.385567
BATCH 11 training acc=0.750000, cost=0.604085, test acc=0.627517, cost=0.643387, disagree_f1=0.771134, agree_f1=0.000000, average_f1=0.385567
BATCH 12 training acc=0.593750, cost=0.698033, test acc=0.657718, cost=0.619805, disagree_f1=0.783898, agree_f1=0.177419, average_f1=0.480659
BATCH 13 training acc=0.718750, cost=0.563761, test acc=0.667785, cost=0.609436, disagree_f1=0.767606, agree_f1=0.417647, average_f1=0.592626
BATCH 14 training acc=0.625000, cost=0.612635, test acc=0.651007, cost=0.620530, disagree_f1=0.729870, agree_f1=0.507109, average_f1=0.618490
