Using GPU: 0...
X_train.shape=(4701, 2, 64), y_train.shape=(4701,);
X_test.shape=(1175, 2, 64), y_test.shape=(1175,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9742634608872334
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.quote2quote_attention_layer.0.weight
model.quote2quote_attention_layer.0.bias
model.quote2quote_attention_layer.3.weight
model.quote2quote_attention_layer.3.bias
model.response2quote_attention_layer.0.weight
model.response2quote_attention_layer.0.bias
model.response2quote_attention_layer.3.weight
model.response2quote_attention_layer.3.bias
model.response2response_attention_layer.0.weight
model.response2response_attention_layer.0.bias
model.response2response_attention_layer.3.weight
model.response2response_attention_layer.3.bias
model.quote2response_attention_layer.0.weight
model.quote2response_attention_layer.0.bias
model.quote2response_attention_layer.3.weight
model.quote2response_attention_layer.3.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.343750, cost=0.709742, test acc=0.660426, cost=0.674571, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 2 training acc=0.625000, cost=0.681470, test acc=0.660426, cost=0.653166, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 3 training acc=0.625000, cost=0.664162, test acc=0.660426, cost=0.637472, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 4 training acc=0.562500, cost=0.693273, test acc=0.660426, cost=0.635942, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 5 training acc=0.843750, cost=0.526048, test acc=0.660426, cost=0.633908, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 6 training acc=0.625000, cost=0.672019, test acc=0.660426, cost=0.633928, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 7 training acc=0.750000, cost=0.532147, test acc=0.660426, cost=0.643990, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 8 training acc=0.625000, cost=0.724552, test acc=0.660426, cost=0.647820, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 9 training acc=0.625000, cost=0.696123, test acc=0.660426, cost=0.640915, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 10 training acc=0.562500, cost=0.716826, test acc=0.660426, cost=0.630852, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 11 training acc=0.750000, cost=0.536728, test acc=0.660426, cost=0.626466, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 12 training acc=0.625000, cost=0.646161, test acc=0.660426, cost=0.622521, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 13 training acc=0.687500, cost=0.563095, test acc=0.660426, cost=0.618765, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 14 training acc=0.531250, cost=0.720917, test acc=0.660426, cost=0.615817, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 15 training acc=0.593750, cost=0.683798, test acc=0.661277, cost=0.616240, disagree_f1=0.795897, agree_f1=0.005000, average_f1=0.400449
BATCH 16 training acc=0.656250, cost=0.634393, test acc=0.663830, cost=0.616913, disagree_f1=0.796915, agree_f1=0.024691, average_f1=0.410803
BATCH 17 training acc=0.750000, cost=0.577264, test acc=0.663830, cost=0.611398, disagree_f1=0.796915, agree_f1=0.024691, average_f1=0.410803
BATCH 18 training acc=0.656250, cost=0.627041, test acc=0.666383, cost=0.606258, disagree_f1=0.798146, agree_f1=0.039216, average_f1=0.418681
BATCH 19 training acc=0.656250, cost=0.598773, test acc=0.667234, cost=0.604602, disagree_f1=0.798557, agree_f1=0.044010, average_f1=0.421284
BATCH 20 training acc=0.750000, cost=0.572709, test acc=0.666383, cost=0.612983, disagree_f1=0.797730, agree_f1=0.048544, average_f1=0.423137
BATCH 21 training acc=0.625000, cost=0.651691, test acc=0.668936, cost=0.618501, disagree_f1=0.798758, agree_f1=0.067146, average_f1=0.432952
BATCH 22 training acc=0.750000, cost=0.573312, test acc=0.676596, cost=0.613419, disagree_f1=0.801877, agree_f1=0.120370, average_f1=0.461124
BATCH 23 training acc=0.875000, cost=0.442944, test acc=0.678298, cost=0.620843, disagree_f1=0.802301, agree_f1=0.136986, average_f1=0.469644
BATCH 24 training acc=0.625000, cost=0.773373, test acc=0.683404, cost=0.613972, disagree_f1=0.804004, agree_f1=0.176991, average_f1=0.490498
BATCH 25 training acc=0.750000, cost=0.570491, test acc=0.682553, cost=0.604514, disagree_f1=0.802958, agree_f1=0.183807, average_f1=0.493383
BATCH 26 training acc=0.718750, cost=0.661670, test acc=0.682553, cost=0.596356, disagree_f1=0.802332, agree_f1=0.194384, average_f1=0.498358
BATCH 27 training acc=0.718750, cost=0.544935, test acc=0.684255, cost=0.594086, disagree_f1=0.801922, agree_f1=0.222222, average_f1=0.512072
BATCH 28 training acc=0.875000, cost=0.482592, test acc=0.685106, cost=0.592813, disagree_f1=0.802772, agree_f1=0.219409, average_f1=0.511091
BATCH 29 training acc=0.781250, cost=0.529567, test acc=0.685957, cost=0.593086, disagree_f1=0.804659, agree_f1=0.199566, average_f1=0.502112
BATCH 30 training acc=0.656250, cost=0.643014, test acc=0.685957, cost=0.593522, disagree_f1=0.804659, agree_f1=0.199566, average_f1=0.502112
BATCH 31 training acc=0.562500, cost=0.644079, test acc=0.686809, cost=0.590662, disagree_f1=0.804463, agree_f1=0.213675, average_f1=0.509069
BATCH 32 training acc=0.750000, cost=0.558248, test acc=0.690213, cost=0.587999, disagree_f1=0.804930, agree_f1=0.247934, average_f1=0.526432
BATCH 33 training acc=0.718750, cost=0.542403, test acc=0.693617, cost=0.586257, disagree_f1=0.805405, agree_f1=0.280000, average_f1=0.542703
BATCH 34 training acc=0.656250, cost=0.639494, test acc=0.695319, cost=0.583876, disagree_f1=0.803513, agree_f1=0.321970, average_f1=0.562741
BATCH 35 training acc=0.593750, cost=0.583070, test acc=0.700426, cost=0.583163, disagree_f1=0.805525, agree_f1=0.348148, average_f1=0.576837
BATCH 36 training acc=0.593750, cost=0.714260, test acc=0.701277, cost=0.585065, disagree_f1=0.802920, agree_f1=0.383128, average_f1=0.593024
BATCH 37 training acc=0.781250, cost=0.535083, test acc=0.701277, cost=0.586054, disagree_f1=0.801358, agree_f1=0.397942, average_f1=0.599650
BATCH 38 training acc=0.843750, cost=0.522636, test acc=0.700426, cost=0.585385, disagree_f1=0.802247, agree_f1=0.382456, average_f1=0.592352
BATCH 39 training acc=0.625000, cost=0.554607, test acc=0.703830, cost=0.587508, disagree_f1=0.802721, agree_f1=0.406143, average_f1=0.604432
BATCH 40 training acc=0.718750, cost=0.465401, test acc=0.703830, cost=0.594282, disagree_f1=0.801596, agree_f1=0.416107, average_f1=0.608852
BATCH 41 training acc=0.750000, cost=0.490628, test acc=0.705532, cost=0.608981, disagree_f1=0.803409, agree_f1=0.413559, average_f1=0.608484
BATCH 42 training acc=0.718750, cost=0.631176, test acc=0.708085, cost=0.621626, disagree_f1=0.804781, agree_f1=0.421585, average_f1=0.613183
BATCH 43 training acc=0.781250, cost=0.480044, test acc=0.708085, cost=0.626174, disagree_f1=0.800929, agree_f1=0.452951, average_f1=0.626940
BATCH 44 training acc=0.687500, cost=0.616229, test acc=0.711489, cost=0.626956, disagree_f1=0.800705, agree_f1=0.477658, average_f1=0.639182
BATCH 45 training acc=0.625000, cost=0.709675, test acc=0.697872, cost=0.624402, disagree_f1=0.780458, agree_f1=0.515689, average_f1=0.648073
BATCH 46 training acc=0.812500, cost=0.445107, test acc=0.700426, cost=0.622246, disagree_f1=0.782178, agree_f1=0.520436, average_f1=0.651307
BATCH 47 training acc=0.656250, cost=0.666239, test acc=0.702128, cost=0.615614, disagree_f1=0.784217, agree_f1=0.519231, average_f1=0.651724
BATCH 48 training acc=0.625000, cost=0.654403, test acc=0.695319, cost=0.610573, disagree_f1=0.774275, agree_f1=0.531414, average_f1=0.652844
BATCH 49 training acc=0.781250, cost=0.459243, test acc=0.672340, cost=0.619797, disagree_f1=0.737201, agree_f1=0.564972, average_f1=0.651087
BATCH 50 training acc=0.718750, cost=0.561184, test acc=0.617021, cost=0.638968, disagree_f1=0.665179, agree_f1=0.552684, average_f1=0.608931
BATCH 51 training acc=0.593750, cost=0.625843, test acc=0.611064, cost=0.638074, disagree_f1=0.656649, agree_f1=0.551521, average_f1=0.604085
BATCH 52 training acc=0.625000, cost=0.816258, test acc=0.626383, cost=0.626084, disagree_f1=0.676015, agree_f1=0.558794, average_f1=0.617404
BATCH 53 training acc=0.718750, cost=0.507599, test acc=0.668936, cost=0.605609, disagree_f1=0.732646, agree_f1=0.565363, average_f1=0.649005
BATCH 54 training acc=0.562500, cost=0.601455, test acc=0.705532, cost=0.588331, disagree_f1=0.777635, agree_f1=0.564232, average_f1=0.670933
BATCH 55 training acc=0.750000, cost=0.577732, test acc=0.712340, cost=0.575505, disagree_f1=0.795894, agree_f1=0.512968, average_f1=0.654431
BATCH 56 training acc=0.812500, cost=0.505714, test acc=0.717447, cost=0.571150, disagree_f1=0.804706, agree_f1=0.489231, average_f1=0.646968
BATCH 57 training acc=0.718750, cost=0.560581, test acc=0.721702, cost=0.569959, disagree_f1=0.810435, agree_f1=0.476800, average_f1=0.643617
BATCH 58 training acc=0.718750, cost=0.571592, test acc=0.720851, cost=0.570882, disagree_f1=0.811494, agree_f1=0.462295, average_f1=0.636895
BATCH 59 training acc=0.718750, cost=0.529378, test acc=0.720851, cost=0.567702, disagree_f1=0.810405, agree_f1=0.470968, average_f1=0.640686
BATCH 60 training acc=0.750000, cost=0.458702, test acc=0.722553, cost=0.568438, disagree_f1=0.811995, agree_f1=0.470779, average_f1=0.641387
BATCH 61 training acc=0.718750, cost=0.432213, test acc=0.725957, cost=0.578652, disagree_f1=0.816000, agree_f1=0.463333, average_f1=0.639667
BATCH 62 training acc=0.656250, cost=0.670688, test acc=0.726809, cost=0.581661, disagree_f1=0.816885, agree_f1=0.462312, average_f1=0.639598
BATCH 63 training acc=0.781250, cost=0.481472, test acc=0.728511, cost=0.573991, disagree_f1=0.815926, agree_f1=0.482982, average_f1=0.649454
BATCH 64 training acc=0.781250, cost=0.507601, test acc=0.732766, cost=0.562870, disagree_f1=0.812425, agree_f1=0.535503, average_f1=0.673964
BATCH 65 training acc=0.750000, cost=0.565188, test acc=0.716596, cost=0.560663, disagree_f1=0.790170, agree_f1=0.563565, average_f1=0.676868
BATCH 66 training acc=0.750000, cost=0.473104, test acc=0.711489, cost=0.565818, disagree_f1=0.781994, agree_f1=0.573585, average_f1=0.677789
BATCH 67 training acc=0.562500, cost=0.708353, test acc=0.680000, cost=0.575850, disagree_f1=0.745257, agree_f1=0.569794, average_f1=0.657526
BATCH 68 training acc=0.687500, cost=0.593004, test acc=0.650213, cost=0.592806, disagree_f1=0.707889, agree_f1=0.564157, average_f1=0.636023
BATCH 69 training acc=0.843750, cost=0.453177, test acc=0.637447, cost=0.603233, disagree_f1=0.688141, agree_f1=0.567073, average_f1=0.627607
BATCH 70 training acc=0.750000, cost=0.551999, test acc=0.631489, cost=0.612599, disagree_f1=0.677107, agree_f1=0.570862, average_f1=0.623984
BATCH 71 training acc=0.656250, cost=0.576709, test acc=0.640000, cost=0.603144, disagree_f1=0.690563, agree_f1=0.569685, average_f1=0.630124
BATCH 72 training acc=0.718750, cost=0.520093, test acc=0.655319, cost=0.592999, disagree_f1=0.710508, agree_f1=0.574132, average_f1=0.642320
BATCH 73 training acc=0.812500, cost=0.437146, test acc=0.682553, cost=0.574102, disagree_f1=0.747803, agree_f1=0.571757, average_f1=0.659780
BATCH 74 training acc=0.687500, cost=0.609946, test acc=0.721702, cost=0.559187, disagree_f1=0.794210, agree_f1=0.570302, average_f1=0.682256
BATCH 75 training acc=0.625000, cost=0.593785, test acc=0.742128, cost=0.560277, disagree_f1=0.821239, agree_f1=0.537405, average_f1=0.679322
BATCH 76 training acc=0.718750, cost=0.526233, test acc=0.737872, cost=0.568530, disagree_f1=0.823597, agree_f1=0.490066, average_f1=0.656832
BATCH 77 training acc=0.750000, cost=0.515571, test acc=0.739574, cost=0.569597, disagree_f1=0.825542, agree_f1=0.486577, average_f1=0.656059
BATCH 78 training acc=0.781250, cost=0.584564, test acc=0.735319, cost=0.567035, disagree_f1=0.823596, agree_f1=0.470187, average_f1=0.646892
BATCH 79 training acc=0.718750, cost=0.459463, test acc=0.737021, cost=0.560995, disagree_f1=0.823125, agree_f1=0.487562, average_f1=0.655344
BATCH 80 training acc=0.781250, cost=0.519368, test acc=0.744681, cost=0.553208, disagree_f1=0.824561, agree_f1=0.531250, average_f1=0.677906
