Using GPU: 3...
X_train.shape=(4701, 2, 64), y_train.shape=(4701,);
X_test.shape=(1175, 2, 64), y_test.shape=(1175,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9742634608872334
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.quote2quote_attention_layer.0.weight
model.quote2quote_attention_layer.0.bias
model.quote2quote_attention_layer.3.weight
model.quote2quote_attention_layer.3.bias
model.response2quote_attention_layer.0.weight
model.response2quote_attention_layer.0.bias
model.response2quote_attention_layer.3.weight
model.response2quote_attention_layer.3.bias
model.response2response_attention_layer.0.weight
model.response2response_attention_layer.0.bias
model.response2response_attention_layer.3.weight
model.response2response_attention_layer.3.bias
model.quote2response_attention_layer.0.weight
model.quote2response_attention_layer.0.bias
model.quote2response_attention_layer.3.weight
model.quote2response_attention_layer.3.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.218750, cost=0.714118, test acc=0.662128, cost=0.636655, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 2 training acc=0.562500, cost=0.731837, test acc=0.662128, cost=0.637155, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 3 training acc=0.718750, cost=0.602270, test acc=0.662128, cost=0.636811, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 4 training acc=0.656250, cost=0.640140, test acc=0.662128, cost=0.636322, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 5 training acc=0.625000, cost=0.658372, test acc=0.662128, cost=0.634371, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 6 training acc=0.593750, cost=0.693332, test acc=0.662128, cost=0.633889, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 7 training acc=0.656250, cost=0.635337, test acc=0.662128, cost=0.631764, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 8 training acc=0.781250, cost=0.559688, test acc=0.662128, cost=0.621965, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 9 training acc=0.593750, cost=0.671771, test acc=0.662128, cost=0.617857, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 10 training acc=0.531250, cost=0.700511, test acc=0.666383, cost=0.615323, disagree_f1=0.798768, agree_f1=0.024876, average_f1=0.411822
BATCH 11 training acc=0.718750, cost=0.572526, test acc=0.671489, cost=0.612162, disagree_f1=0.800826, agree_f1=0.063107, average_f1=0.431966
BATCH 12 training acc=0.687500, cost=0.620839, test acc=0.671489, cost=0.611172, disagree_f1=0.800826, agree_f1=0.063107, average_f1=0.431966
BATCH 13 training acc=0.718750, cost=0.550637, test acc=0.668936, cost=0.616559, disagree_f1=0.799794, agree_f1=0.044226, average_f1=0.422010
BATCH 14 training acc=0.750000, cost=0.507410, test acc=0.668085, cost=0.638098, disagree_f1=0.799589, agree_f1=0.034653, average_f1=0.417121
BATCH 15 training acc=0.750000, cost=0.549637, test acc=0.668085, cost=0.666762, disagree_f1=0.799589, agree_f1=0.034653, average_f1=0.417121
BATCH 16 training acc=0.625000, cost=0.812666, test acc=0.669787, cost=0.661537, disagree_f1=0.800412, agree_f1=0.044335, average_f1=0.422373
BATCH 17 training acc=0.718750, cost=0.737132, test acc=0.673191, cost=0.634815, disagree_f1=0.801653, agree_f1=0.072464, average_f1=0.437058
BATCH 18 training acc=0.593750, cost=0.707571, test acc=0.685106, cost=0.608227, disagree_f1=0.805263, agree_f1=0.177778, average_f1=0.491520
