Using GPU: 2...
X_train.shape=(4700, 2, 64), y_train.shape=(4700,);
X_test.shape=(1176, 2, 64), y_test.shape=(1176,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9742634608872334
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.q2q_attention_layer.0.weight
model.q2q_attention_layer.0.bias
model.q2q_attention_layer.3.weight
model.q2q_attention_layer.3.bias
model.r2r_attention_layer.0.weight
model.r2r_attention_layer.0.bias
model.r2r_attention_layer.3.weight
model.r2r_attention_layer.3.bias
model.r2q_attention_layer.0.weight
model.r2q_attention_layer.0.bias
model.r2q_attention_layer.3.weight
model.r2q_attention_layer.3.bias
model.q2r_attention_layer.0.weight
model.q2r_attention_layer.0.bias
model.q2r_attention_layer.3.weight
model.q2r_attention_layer.3.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.468750, cost=0.693953, test acc=0.676020, cost=0.628072, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 2 training acc=0.687500, cost=0.620156, test acc=0.676020, cost=0.638166, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 3 training acc=0.656250, cost=0.639425, test acc=0.676020, cost=0.646453, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 4 training acc=0.687500, cost=0.636776, test acc=0.676020, cost=0.626806, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 5 training acc=0.656250, cost=0.609770, test acc=0.676020, cost=0.614901, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 6 training acc=0.625000, cost=0.674142, test acc=0.676020, cost=0.618192, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 7 training acc=0.500000, cost=0.726625, test acc=0.695578, cost=0.652115, disagree_f1=0.803513, agree_f1=0.324528, average_f1=0.564020
BATCH 8 training acc=0.687500, cost=0.656219, test acc=0.567177, cost=0.682561, disagree_f1=0.619866, agree_f1=0.497532, average_f1=0.558699
BATCH 9 training acc=0.593750, cost=0.685742, test acc=0.585034, cost=0.673185, disagree_f1=0.658263, agree_f1=0.471861, average_f1=0.565062
BATCH 10 training acc=0.468750, cost=0.688782, test acc=0.661565, cost=0.645818, disagree_f1=0.756127, agree_f1=0.447222, average_f1=0.601675
BATCH 11 training acc=0.718750, cost=0.643525, test acc=0.691327, cost=0.624499, disagree_f1=0.792926, agree_f1=0.393990, average_f1=0.593458
BATCH 12 training acc=0.625000, cost=0.626031, test acc=0.697279, cost=0.609391, disagree_f1=0.806311, agree_f1=0.307393, average_f1=0.556852
BATCH 13 training acc=0.687500, cost=0.639276, test acc=0.689626, cost=0.605232, disagree_f1=0.809001, agree_f1=0.172336, average_f1=0.490668
BATCH 14 training acc=0.687500, cost=0.616028, test acc=0.687075, cost=0.609316, disagree_f1=0.810505, agree_f1=0.102439, average_f1=0.456472
BATCH 15 training acc=0.625000, cost=0.612894, test acc=0.687075, cost=0.612954, disagree_f1=0.810505, agree_f1=0.102439, average_f1=0.456472
BATCH 16 training acc=0.781250, cost=0.488569, test acc=0.686224, cost=0.622888, disagree_f1=0.810478, agree_f1=0.088889, average_f1=0.449683
BATCH 17 training acc=0.656250, cost=0.663330, test acc=0.688776, cost=0.617064, disagree_f1=0.811340, agree_f1=0.111650, average_f1=0.461495
BATCH 18 training acc=0.718750, cost=0.593160, test acc=0.687075, cost=0.608467, disagree_f1=0.809326, agree_f1=0.127962, average_f1=0.468644
