Using GPU: 2...
X_train.shape=(4701, 2, 64), y_train.shape=(4701,);
X_test.shape=(1175, 2, 64), y_test.shape=(1175,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9742634608872334
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.q2q_attention_layer.0.weight
model.q2q_attention_layer.0.bias
model.q2q_attention_layer.3.weight
model.q2q_attention_layer.3.bias
model.r2r_attention_layer.0.weight
model.r2r_attention_layer.0.bias
model.r2r_attention_layer.3.weight
model.r2r_attention_layer.3.bias
model.cross_dot_v1_r2q_attention_layer.0.weight
model.cross_dot_v1_r2q_attention_layer.0.bias
model.cross_dot_v1_q2r_attention_layer.0.weight
model.cross_dot_v1_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.625000, cost=0.683631, test acc=0.656170, cost=0.642964, disagree_f1=0.792395, agree_f1=0.000000, average_f1=0.396197
BATCH 2 training acc=0.562500, cost=0.673017, test acc=0.656170, cost=0.632691, disagree_f1=0.792395, agree_f1=0.000000, average_f1=0.396197
BATCH 3 training acc=0.687500, cost=0.621993, test acc=0.656170, cost=0.628772, disagree_f1=0.792395, agree_f1=0.000000, average_f1=0.396197
BATCH 4 training acc=0.781250, cost=0.538704, test acc=0.656170, cost=0.670653, disagree_f1=0.792395, agree_f1=0.000000, average_f1=0.396197
BATCH 5 training acc=0.625000, cost=0.716345, test acc=0.656170, cost=0.660544, disagree_f1=0.792395, agree_f1=0.000000, average_f1=0.396197
BATCH 6 training acc=0.687500, cost=0.602157, test acc=0.656170, cost=0.631556, disagree_f1=0.792395, agree_f1=0.000000, average_f1=0.396197
BATCH 7 training acc=0.718750, cost=0.601564, test acc=0.655319, cost=0.619288, disagree_f1=0.791774, agree_f1=0.000000, average_f1=0.395887
BATCH 8 training acc=0.656250, cost=0.631053, test acc=0.678298, cost=0.624763, disagree_f1=0.800000, agree_f1=0.178261, average_f1=0.489130
BATCH 9 training acc=0.625000, cost=0.665123, test acc=0.658723, cost=0.651769, disagree_f1=0.762862, agree_f1=0.391502, average_f1=0.577182
BATCH 10 training acc=0.687500, cost=0.644324, test acc=0.649362, cost=0.655203, disagree_f1=0.752106, agree_f1=0.401163, average_f1=0.576634
BATCH 11 training acc=0.656250, cost=0.630405, test acc=0.677447, cost=0.635490, disagree_f1=0.789093, agree_f1=0.314647, average_f1=0.551870
BATCH 12 training acc=0.562500, cost=0.650931, test acc=0.674043, cost=0.620642, disagree_f1=0.797676, agree_f1=0.161926, average_f1=0.479801
BATCH 13 training acc=0.687500, cost=0.628537, test acc=0.655319, cost=0.616829, disagree_f1=0.791559, agree_f1=0.004914, average_f1=0.398237
BATCH 14 training acc=0.531250, cost=0.736300, test acc=0.656170, cost=0.619263, disagree_f1=0.792395, agree_f1=0.000000, average_f1=0.396197
BATCH 15 training acc=0.656250, cost=0.596750, test acc=0.656170, cost=0.622134, disagree_f1=0.792395, agree_f1=0.000000, average_f1=0.396197
BATCH 16 training acc=0.562500, cost=0.692175, test acc=0.656170, cost=0.619559, disagree_f1=0.792395, agree_f1=0.000000, average_f1=0.396197
BATCH 17 training acc=0.593750, cost=0.644605, test acc=0.657021, cost=0.613861, disagree_f1=0.792802, agree_f1=0.004938, average_f1=0.398870
BATCH 18 training acc=0.656250, cost=0.647465, test acc=0.668085, cost=0.609079, disagree_f1=0.797086, agree_f1=0.088785, average_f1=0.442936
BATCH 19 training acc=0.843750, cost=0.504884, test acc=0.684255, cost=0.607181, disagree_f1=0.803808, agree_f1=0.191721, average_f1=0.497764
BATCH 20 training acc=0.718750, cost=0.544201, test acc=0.687660, cost=0.606830, disagree_f1=0.804267, agree_f1=0.227368, average_f1=0.515818
BATCH 21 training acc=0.625000, cost=0.671008, test acc=0.688511, cost=0.603549, disagree_f1=0.803014, agree_f1=0.256098, average_f1=0.529556
BATCH 22 training acc=0.687500, cost=0.600176, test acc=0.692766, cost=0.600265, disagree_f1=0.805391, agree_f1=0.270707, average_f1=0.538049
BATCH 23 training acc=0.687500, cost=0.561317, test acc=0.699574, cost=0.595843, disagree_f1=0.808048, agree_f1=0.309198, average_f1=0.558623
BATCH 24 training acc=0.562500, cost=0.694594, test acc=0.705532, cost=0.590635, disagree_f1=0.809681, agree_f1=0.349624, average_f1=0.579653
BATCH 25 training acc=0.656250, cost=0.697059, test acc=0.706383, cost=0.591244, disagree_f1=0.805195, agree_f1=0.404145, average_f1=0.604670
BATCH 26 training acc=0.781250, cost=0.565071, test acc=0.706383, cost=0.589734, disagree_f1=0.803866, agree_f1=0.416244, average_f1=0.610055
BATCH 27 training acc=0.718750, cost=0.514796, test acc=0.708085, cost=0.582102, disagree_f1=0.806761, agree_f1=0.403478, average_f1=0.605119
BATCH 28 training acc=0.718750, cost=0.563628, test acc=0.708085, cost=0.573782, disagree_f1=0.808914, agree_f1=0.381982, average_f1=0.595448
BATCH 29 training acc=0.593750, cost=0.604903, test acc=0.708936, cost=0.571634, disagree_f1=0.810841, agree_f1=0.369004, average_f1=0.589922
BATCH 30 training acc=0.687500, cost=0.564821, test acc=0.706383, cost=0.581270, disagree_f1=0.811166, agree_f1=0.340344, average_f1=0.575755
BATCH 31 training acc=0.687500, cost=0.604052, test acc=0.707234, cost=0.580833, disagree_f1=0.811816, agree_f1=0.340996, average_f1=0.576406
BATCH 32 training acc=0.687500, cost=0.572983, test acc=0.706383, cost=0.580262, disagree_f1=0.811372, agree_f1=0.337812, average_f1=0.574592
