Using GPU: 2...
X_train.shape=(4701, 2, 64), y_train.shape=(4701,);
X_test.shape=(1175, 2, 64), y_test.shape=(1175,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9742634608872334
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.r2q_attention_layer.0.weight
model.r2q_attention_layer.0.bias
model.r2q_attention_layer.3.weight
model.r2q_attention_layer.3.bias
model.q2r_attention_layer.0.weight
model.q2r_attention_layer.0.bias
model.q2r_attention_layer.3.weight
model.q2r_attention_layer.3.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.781250, cost=0.673168, test acc=0.666383, cost=0.633171, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 2 training acc=0.625000, cost=0.667011, test acc=0.666383, cost=0.635037, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 3 training acc=0.687500, cost=0.610038, test acc=0.666383, cost=0.640491, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 4 training acc=0.718750, cost=0.592727, test acc=0.666383, cost=0.644155, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 5 training acc=0.656250, cost=0.640934, test acc=0.666383, cost=0.629816, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 6 training acc=0.593750, cost=0.708136, test acc=0.666383, cost=0.618505, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 7 training acc=0.562500, cost=0.722636, test acc=0.675745, cost=0.642097, disagree_f1=0.801666, agree_f1=0.111888, average_f1=0.456777
BATCH 8 training acc=0.531250, cost=0.676964, test acc=0.590638, cost=0.672813, disagree_f1=0.684590, agree_f1=0.416970, average_f1=0.550780
BATCH 9 training acc=0.593750, cost=0.674618, test acc=0.581277, cost=0.678934, disagree_f1=0.656904, agree_f1=0.462882, average_f1=0.559893
BATCH 10 training acc=0.625000, cost=0.672834, test acc=0.670638, cost=0.655022, disagree_f1=0.774344, agree_f1=0.390551, average_f1=0.582448
BATCH 11 training acc=0.531250, cost=0.678106, test acc=0.679149, cost=0.627354, disagree_f1=0.801055, agree_f1=0.171429, average_f1=0.486242
BATCH 12 training acc=0.843750, cost=0.554857, test acc=0.668936, cost=0.607360, disagree_f1=0.801023, agree_f1=0.015190, average_f1=0.408106
BATCH 13 training acc=0.593750, cost=0.682428, test acc=0.666383, cost=0.604434, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 14 training acc=0.656250, cost=0.652224, test acc=0.666383, cost=0.607489, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 15 training acc=0.718750, cost=0.535121, test acc=0.666383, cost=0.615348, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 16 training acc=0.687500, cost=0.596607, test acc=0.666383, cost=0.622518, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 17 training acc=0.593750, cost=0.712676, test acc=0.666383, cost=0.617142, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 18 training acc=0.593750, cost=0.661536, test acc=0.666383, cost=0.607523, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 19 training acc=0.656250, cost=0.657627, test acc=0.668936, cost=0.600670, disagree_f1=0.801023, agree_f1=0.015190, average_f1=0.408106
BATCH 20 training acc=0.593750, cost=0.638929, test acc=0.691064, cost=0.600554, disagree_f1=0.810047, agree_f1=0.173121, average_f1=0.491584
BATCH 21 training acc=0.375000, cost=0.817429, test acc=0.702979, cost=0.611241, disagree_f1=0.807501, agree_f1=0.350093, average_f1=0.578797
BATCH 22 training acc=0.468750, cost=0.692922, test acc=0.686809, cost=0.631751, disagree_f1=0.778046, agree_f1=0.468208, average_f1=0.623127
BATCH 23 training acc=0.687500, cost=0.649467, test acc=0.659574, cost=0.649581, disagree_f1=0.737877, agree_f1=0.514563, average_f1=0.626220
BATCH 24 training acc=0.625000, cost=0.660424, test acc=0.639149, cost=0.658211, disagree_f1=0.705556, agree_f1=0.534066, average_f1=0.619811
BATCH 25 training acc=0.687500, cost=0.658410, test acc=0.651064, cost=0.654007, disagree_f1=0.721088, agree_f1=0.534091, average_f1=0.627590
BATCH 26 training acc=0.625000, cost=0.642421, test acc=0.652766, cost=0.646488, disagree_f1=0.731225, agree_f1=0.509615, average_f1=0.620420
BATCH 27 training acc=0.781250, cost=0.623795, test acc=0.675745, cost=0.631668, disagree_f1=0.760227, agree_f1=0.499343, average_f1=0.629785
BATCH 28 training acc=0.656250, cost=0.641047, test acc=0.697021, cost=0.614963, disagree_f1=0.788095, agree_f1=0.468657, average_f1=0.628376
BATCH 29 training acc=0.718750, cost=0.591298, test acc=0.701277, cost=0.598522, disagree_f1=0.799084, agree_f1=0.417910, average_f1=0.608497
BATCH 30 training acc=0.562500, cost=0.622785, test acc=0.707234, cost=0.588461, disagree_f1=0.810364, agree_f1=0.358209, average_f1=0.584286
BATCH 31 training acc=0.625000, cost=0.668843, test acc=0.704681, cost=0.586790, disagree_f1=0.814538, agree_f1=0.275574, average_f1=0.545056
BATCH 32 training acc=0.687500, cost=0.622978, test acc=0.699574, cost=0.587614, disagree_f1=0.812931, agree_f1=0.237581, average_f1=0.525256
BATCH 33 training acc=0.718750, cost=0.598804, test acc=0.697021, cost=0.588951, disagree_f1=0.812236, agree_f1=0.215859, average_f1=0.514048
BATCH 34 training acc=0.781250, cost=0.479537, test acc=0.697872, cost=0.593214, disagree_f1=0.813060, agree_f1=0.212860, average_f1=0.512960
BATCH 35 training acc=0.625000, cost=0.693935, test acc=0.699574, cost=0.590259, disagree_f1=0.813524, agree_f1=0.227571, average_f1=0.520547
BATCH 36 training acc=0.593750, cost=0.761053, test acc=0.701277, cost=0.581681, disagree_f1=0.813990, agree_f1=0.241901, average_f1=0.527946
BATCH 37 training acc=0.687500, cost=0.549144, test acc=0.702979, cost=0.575480, disagree_f1=0.813469, agree_f1=0.271399, average_f1=0.542434
BATCH 38 training acc=0.812500, cost=0.488939, test acc=0.699574, cost=0.571795, disagree_f1=0.809908, agree_f1=0.283976, average_f1=0.546942
BATCH 39 training acc=0.781250, cost=0.524872, test acc=0.703830, cost=0.569428, disagree_f1=0.811892, agree_f1=0.304000, average_f1=0.557946
BATCH 40 training acc=0.687500, cost=0.682826, test acc=0.703830, cost=0.567167, disagree_f1=0.812095, agree_f1=0.301205, average_f1=0.556650
BATCH 41 training acc=0.812500, cost=0.474651, test acc=0.696170, cost=0.566698, disagree_f1=0.809193, agree_f1=0.254697, average_f1=0.531945
BATCH 42 training acc=0.843750, cost=0.434295, test acc=0.697021, cost=0.569868, disagree_f1=0.810638, agree_f1=0.242553, average_f1=0.526596
BATCH 43 training acc=0.843750, cost=0.468516, test acc=0.699574, cost=0.580443, disagree_f1=0.813129, agree_f1=0.234273, average_f1=0.523701
