Using GPU: 2...
X_train.shape=(2383, 2, 64), y_train.shape=(2383,);
X_test.shape=(596, 2, 64), y_test.shape=(596,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9832497860374129
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.cross_dot_v2_r2q_attention_layer.0.weight
model.cross_dot_v2_r2q_attention_layer.0.bias
model.cross_dot_v2_q2r_attention_layer.0.weight
model.cross_dot_v2_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.531250, cost=0.694909, test acc=0.627517, cost=0.657364, disagree_f1=0.771134, agree_f1=0.000000, average_f1=0.385567
BATCH 2 training acc=0.531250, cost=0.702107, test acc=0.627517, cost=0.655642, disagree_f1=0.771134, agree_f1=0.000000, average_f1=0.385567
BATCH 3 training acc=0.625000, cost=0.656035, test acc=0.627517, cost=0.649401, disagree_f1=0.771134, agree_f1=0.000000, average_f1=0.385567
BATCH 4 training acc=0.781250, cost=0.556755, test acc=0.627517, cost=0.652577, disagree_f1=0.771134, agree_f1=0.000000, average_f1=0.385567
BATCH 5 training acc=0.656250, cost=0.655149, test acc=0.627517, cost=0.654514, disagree_f1=0.771134, agree_f1=0.000000, average_f1=0.385567
BATCH 6 training acc=0.531250, cost=0.739209, test acc=0.627517, cost=0.640538, disagree_f1=0.771134, agree_f1=0.000000, average_f1=0.385567
BATCH 7 training acc=0.687500, cost=0.579059, test acc=0.627517, cost=0.631934, disagree_f1=0.771134, agree_f1=0.000000, average_f1=0.385567
BATCH 8 training acc=0.718750, cost=0.573752, test acc=0.627517, cost=0.627138, disagree_f1=0.769710, agree_f1=0.026316, average_f1=0.398013
BATCH 9 training acc=0.656250, cost=0.570263, test acc=0.666107, cost=0.622398, disagree_f1=0.787166, agree_f1=0.225681, average_f1=0.506423
BATCH 10 training acc=0.625000, cost=0.626786, test acc=0.664430, cost=0.614955, disagree_f1=0.770115, agree_f1=0.378882, average_f1=0.574498
BATCH 11 training acc=0.625000, cost=0.746568, test acc=0.672819, cost=0.619572, disagree_f1=0.747736, agree_f1=0.534606, average_f1=0.641171
BATCH 12 training acc=0.718750, cost=0.591609, test acc=0.651007, cost=0.645397, disagree_f1=0.695015, agree_f1=0.592157, average_f1=0.643586
BATCH 13 training acc=0.593750, cost=0.689620, test acc=0.645973, cost=0.634618, disagree_f1=0.700709, agree_f1=0.566735, average_f1=0.633722
BATCH 14 training acc=0.562500, cost=0.671493, test acc=0.672819, cost=0.609932, disagree_f1=0.745763, agree_f1=0.541176, average_f1=0.643470
BATCH 15 training acc=0.718750, cost=0.655288, test acc=0.667785, cost=0.614528, disagree_f1=0.757353, agree_f1=0.473404, average_f1=0.615379
BATCH 16 training acc=0.593750, cost=0.615576, test acc=0.672819, cost=0.622851, disagree_f1=0.768683, agree_f1=0.441261, average_f1=0.604972
BATCH 17 training acc=0.656250, cost=0.659905, test acc=0.677852, cost=0.613438, disagree_f1=0.773585, agree_f1=0.441860, average_f1=0.607723
