Using GPU: 3...
X_train.shape=(4701, 2, 64), y_train.shape=(4701,);
X_test.shape=(1175, 2, 64), y_test.shape=(1175,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9742634608872334
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.cross_dot_q2r_attention_layer.0.weight
model.cross_dot_q2r_attention_layer.0.bias
model.cross_dot_r2q_attention_layer.0.weight
model.cross_dot_r2q_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.437500, cost=0.691861, test acc=0.666383, cost=0.651579, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 2 training acc=0.687500, cost=0.647079, test acc=0.666383, cost=0.631800, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 3 training acc=0.625000, cost=0.644360, test acc=0.666383, cost=0.631140, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 4 training acc=0.750000, cost=0.571127, test acc=0.666383, cost=0.649282, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 5 training acc=0.625000, cost=0.700487, test acc=0.666383, cost=0.639198, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 6 training acc=0.750000, cost=0.516701, test acc=0.666383, cost=0.634865, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 7 training acc=0.687500, cost=0.611120, test acc=0.666383, cost=0.627185, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 8 training acc=0.500000, cost=0.796007, test acc=0.666383, cost=0.616848, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 9 training acc=0.750000, cost=0.566738, test acc=0.666383, cost=0.615107, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 10 training acc=0.687500, cost=0.623814, test acc=0.666383, cost=0.615819, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 11 training acc=0.718750, cost=0.603860, test acc=0.666383, cost=0.613759, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 12 training acc=0.656250, cost=0.653047, test acc=0.666383, cost=0.612225, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 13 training acc=0.593750, cost=0.689013, test acc=0.666383, cost=0.612927, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 14 training acc=0.687500, cost=0.592033, test acc=0.666383, cost=0.611566, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 15 training acc=0.750000, cost=0.585299, test acc=0.666383, cost=0.608670, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 16 training acc=0.750000, cost=0.547400, test acc=0.666383, cost=0.608271, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 17 training acc=0.718750, cost=0.528473, test acc=0.666383, cost=0.617502, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 18 training acc=0.562500, cost=0.710622, test acc=0.666383, cost=0.623540, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 19 training acc=0.625000, cost=0.669243, test acc=0.666383, cost=0.617408, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 20 training acc=0.625000, cost=0.591774, test acc=0.666383, cost=0.607955, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 21 training acc=0.750000, cost=0.507584, test acc=0.666383, cost=0.601184, disagree_f1=0.799591, agree_f1=0.005076, average_f1=0.402334
BATCH 22 training acc=0.562500, cost=0.662675, test acc=0.693617, cost=0.593487, disagree_f1=0.810726, agree_f1=0.196429, average_f1=0.503577
BATCH 23 training acc=0.687500, cost=0.584114, test acc=0.700426, cost=0.591015, disagree_f1=0.808279, agree_f1=0.315175, average_f1=0.561727
BATCH 24 training acc=0.625000, cost=0.669497, test acc=0.697872, cost=0.597110, disagree_f1=0.793725, agree_f1=0.435612, average_f1=0.614668
BATCH 25 training acc=0.656250, cost=0.597449, test acc=0.691064, cost=0.602368, disagree_f1=0.781193, agree_f1=0.474674, average_f1=0.627934
BATCH 26 training acc=0.687500, cost=0.608738, test acc=0.688511, cost=0.605691, disagree_f1=0.770964, agree_f1=0.513298, average_f1=0.642131
BATCH 27 training acc=0.656250, cost=0.608199, test acc=0.689362, cost=0.599968, disagree_f1=0.771160, agree_f1=0.516556, average_f1=0.643858
BATCH 28 training acc=0.656250, cost=0.571043, test acc=0.688511, cost=0.588494, disagree_f1=0.775460, agree_f1=0.491667, average_f1=0.633563
BATCH 29 training acc=0.625000, cost=0.621941, test acc=0.690213, cost=0.583916, disagree_f1=0.780723, agree_f1=0.472464, average_f1=0.626593
BATCH 30 training acc=0.750000, cost=0.517129, test acc=0.696170, cost=0.589936, disagree_f1=0.791350, agree_f1=0.441315, average_f1=0.616332
BATCH 31 training acc=0.718750, cost=0.592881, test acc=0.697021, cost=0.607882, disagree_f1=0.796804, agree_f1=0.404682, average_f1=0.600743
BATCH 32 training acc=0.562500, cost=0.793379, test acc=0.701277, cost=0.609934, disagree_f1=0.801583, agree_f1=0.395869, average_f1=0.598726
BATCH 33 training acc=0.718750, cost=0.621510, test acc=0.702979, cost=0.596000, disagree_f1=0.803602, agree_f1=0.390925, average_f1=0.597263
BATCH 34 training acc=0.625000, cost=0.730378, test acc=0.700426, cost=0.578623, disagree_f1=0.801130, agree_f1=0.393103, average_f1=0.597117
BATCH 35 training acc=0.750000, cost=0.578270, test acc=0.702979, cost=0.574153, disagree_f1=0.799310, agree_f1=0.428805, average_f1=0.614058
BATCH 36 training acc=0.718750, cost=0.529704, test acc=0.702128, cost=0.575267, disagree_f1=0.795322, agree_f1=0.453125, average_f1=0.624223
BATCH 37 training acc=0.687500, cost=0.534254, test acc=0.701277, cost=0.576900, disagree_f1=0.792676, agree_f1=0.465753, average_f1=0.629215
BATCH 38 training acc=0.625000, cost=0.659689, test acc=0.706383, cost=0.581234, disagree_f1=0.794275, agree_f1=0.487370, average_f1=0.640823
BATCH 39 training acc=0.656250, cost=0.713323, test acc=0.708936, cost=0.591246, disagree_f1=0.791717, agree_f1=0.516949, average_f1=0.654333
BATCH 40 training acc=0.656250, cost=0.608312, test acc=0.707234, cost=0.595912, disagree_f1=0.789988, agree_f1=0.516854, average_f1=0.653421
