Using GPU: 3...
X_train.shape=(4701, 2, 64), y_train.shape=(4701,);
X_test.shape=(1175, 2, 64), y_test.shape=(1175,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9742634608872334
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.q2q_attention_layer.0.weight
model.q2q_attention_layer.0.bias
model.q2q_attention_layer.3.weight
model.q2q_attention_layer.3.bias
model.r2r_attention_layer.0.weight
model.r2r_attention_layer.0.bias
model.r2r_attention_layer.3.weight
model.r2r_attention_layer.3.bias
model.r2q_attention_layer.0.weight
model.r2q_attention_layer.0.bias
model.r2q_attention_layer.3.weight
model.r2q_attention_layer.3.bias
model.q2r_attention_layer.0.weight
model.q2r_attention_layer.0.bias
model.q2r_attention_layer.3.weight
model.q2r_attention_layer.3.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.718750, cost=0.679651, test acc=0.660426, cost=0.645101, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 2 training acc=0.625000, cost=0.685655, test acc=0.660426, cost=0.639532, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 3 training acc=0.625000, cost=0.673524, test acc=0.660426, cost=0.637020, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 4 training acc=0.656250, cost=0.640672, test acc=0.659574, cost=0.651920, disagree_f1=0.794872, agree_f1=0.000000, average_f1=0.397436
BATCH 5 training acc=0.625000, cost=0.675860, test acc=0.660426, cost=0.649182, disagree_f1=0.795280, agree_f1=0.004988, average_f1=0.400134
BATCH 6 training acc=0.718750, cost=0.616458, test acc=0.660426, cost=0.630913, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 7 training acc=0.656250, cost=0.639977, test acc=0.660426, cost=0.626538, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 8 training acc=0.843750, cost=0.509105, test acc=0.660426, cost=0.645004, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 9 training acc=0.750000, cost=0.579198, test acc=0.660426, cost=0.672777, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 10 training acc=0.687500, cost=0.651537, test acc=0.660426, cost=0.676735, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 11 training acc=0.812500, cost=0.490910, test acc=0.660426, cost=0.678073, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 12 training acc=0.656250, cost=0.717435, test acc=0.660426, cost=0.662803, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 13 training acc=0.625000, cost=0.743101, test acc=0.660426, cost=0.642465, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 14 training acc=0.687500, cost=0.633041, test acc=0.660426, cost=0.631488, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 15 training acc=0.718750, cost=0.568625, test acc=0.660426, cost=0.629309, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 16 training acc=0.593750, cost=0.656532, test acc=0.659574, cost=0.633123, disagree_f1=0.794661, agree_f1=0.004975, average_f1=0.399818
BATCH 17 training acc=0.718750, cost=0.605227, test acc=0.663830, cost=0.637019, disagree_f1=0.796706, agree_f1=0.029484, average_f1=0.413095
BATCH 18 training acc=0.656250, cost=0.661994, test acc=0.662128, cost=0.633428, disagree_f1=0.795887, agree_f1=0.019753, average_f1=0.407820
BATCH 19 training acc=0.656250, cost=0.656783, test acc=0.660426, cost=0.628248, disagree_f1=0.795069, agree_f1=0.009926, average_f1=0.402497
BATCH 20 training acc=0.687500, cost=0.630463, test acc=0.660426, cost=0.620517, disagree_f1=0.795280, agree_f1=0.004988, average_f1=0.400134
BATCH 21 training acc=0.750000, cost=0.563096, test acc=0.659574, cost=0.612414, disagree_f1=0.794872, agree_f1=0.000000, average_f1=0.397436
BATCH 22 training acc=0.687500, cost=0.610408, test acc=0.660426, cost=0.610235, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 23 training acc=0.750000, cost=0.540336, test acc=0.660426, cost=0.617959, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 24 training acc=0.593750, cost=0.692303, test acc=0.660426, cost=0.623232, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 25 training acc=0.687500, cost=0.596916, test acc=0.659574, cost=0.619560, disagree_f1=0.794872, agree_f1=0.000000, average_f1=0.397436
