Using GPU: 3...
X_train.shape=(4701, 2, 64), y_train.shape=(4701,);
X_test.shape=(1175, 2, 64), y_test.shape=(1175,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9742634608872334
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.q2q_attention_layer.0.weight
model.q2q_attention_layer.0.bias
model.q2q_attention_layer.3.weight
model.q2q_attention_layer.3.bias
model.r2r_attention_layer.0.weight
model.r2r_attention_layer.0.bias
model.r2r_attention_layer.3.weight
model.r2r_attention_layer.3.bias
model.cross_dot_v1_r2q_attention_layer.0.weight
model.cross_dot_v1_r2q_attention_layer.0.bias
model.cross_dot_v1_q2r_attention_layer.0.weight
model.cross_dot_v1_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.687500, cost=0.688451, test acc=0.666383, cost=0.636908, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 2 training acc=0.625000, cost=0.689127, test acc=0.666383, cost=0.632276, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 3 training acc=0.750000, cost=0.562081, test acc=0.666383, cost=0.637163, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 4 training acc=0.656250, cost=0.627584, test acc=0.666383, cost=0.629004, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 5 training acc=0.750000, cost=0.578752, test acc=0.666383, cost=0.625703, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 6 training acc=0.531250, cost=0.778303, test acc=0.666383, cost=0.613999, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 7 training acc=0.625000, cost=0.682074, test acc=0.674894, cost=0.631527, disagree_f1=0.802482, agree_f1=0.081731, average_f1=0.442106
BATCH 8 training acc=0.437500, cost=0.697402, test acc=0.511489, cost=0.692292, disagree_f1=0.482883, agree_f1=0.537097, average_f1=0.509990
BATCH 9 training acc=0.500000, cost=0.682977, test acc=0.348936, cost=0.748396, disagree_f1=0.044944, agree_f1=0.506133, average_f1=0.275538
BATCH 10 training acc=0.281250, cost=0.778973, test acc=0.395745, cost=0.727710, disagree_f1=0.195011, agree_f1=0.516349, average_f1=0.355680
BATCH 11 training acc=0.437500, cost=0.725257, test acc=0.588085, cost=0.676072, disagree_f1=0.632777, agree_f1=0.531008, average_f1=0.581892
BATCH 12 training acc=0.531250, cost=0.683783, test acc=0.666383, cost=0.627324, disagree_f1=0.759509, agree_f1=0.455556, average_f1=0.607532
BATCH 13 training acc=0.687500, cost=0.618971, test acc=0.700426, cost=0.604807, disagree_f1=0.810140, agree_f1=0.290323, average_f1=0.550231
BATCH 14 training acc=0.687500, cost=0.628623, test acc=0.685106, cost=0.608245, disagree_f1=0.806889, agree_f1=0.147465, average_f1=0.477177
BATCH 15 training acc=0.781250, cost=0.500694, test acc=0.668085, cost=0.631731, disagree_f1=0.800613, agree_f1=0.010152, average_f1=0.405383
BATCH 16 training acc=0.656250, cost=0.609648, test acc=0.666383, cost=0.649170, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 17 training acc=0.562500, cost=0.711543, test acc=0.668085, cost=0.642373, disagree_f1=0.800613, agree_f1=0.010152, average_f1=0.405383
BATCH 18 training acc=0.718750, cost=0.599912, test acc=0.668936, cost=0.621593, disagree_f1=0.800615, agree_f1=0.025063, average_f1=0.412839
BATCH 19 training acc=0.750000, cost=0.538731, test acc=0.675745, cost=0.606754, disagree_f1=0.803101, agree_f1=0.081928, average_f1=0.442514
BATCH 20 training acc=0.625000, cost=0.667861, test acc=0.699574, cost=0.596468, disagree_f1=0.812134, agree_f1=0.250531, average_f1=0.531332
BATCH 21 training acc=0.656250, cost=0.598966, test acc=0.704681, cost=0.596652, disagree_f1=0.808393, agree_f1=0.356215, average_f1=0.582304
BATCH 22 training acc=0.562500, cost=0.681843, test acc=0.695319, cost=0.610455, disagree_f1=0.789164, agree_f1=0.450920, average_f1=0.620042
BATCH 23 training acc=0.656250, cost=0.664276, test acc=0.687660, cost=0.622860, disagree_f1=0.775260, agree_f1=0.488145, average_f1=0.631703
BATCH 24 training acc=0.718750, cost=0.616273, test acc=0.687660, cost=0.629045, disagree_f1=0.768454, agree_f1=0.520261, average_f1=0.644358
BATCH 25 training acc=0.750000, cost=0.625769, test acc=0.694468, cost=0.619894, disagree_f1=0.780428, agree_f1=0.497902, average_f1=0.639165
BATCH 26 training acc=0.562500, cost=0.681063, test acc=0.706383, cost=0.609060, disagree_f1=0.798834, agree_f1=0.456693, average_f1=0.627763
BATCH 27 training acc=0.718750, cost=0.603918, test acc=0.702128, cost=0.597271, disagree_f1=0.804688, agree_f1=0.372760, average_f1=0.588724
BATCH 28 training acc=0.750000, cost=0.600617, test acc=0.691064, cost=0.586588, disagree_f1=0.805778, agree_f1=0.245322, average_f1=0.525550
BATCH 29 training acc=0.531250, cost=0.689864, test acc=0.681702, cost=0.583428, disagree_f1=0.802534, agree_f1=0.179825, average_f1=0.491179
