Using GPU: 3...
X_train.shape=(4700, 2, 64), y_train.shape=(4700,);
X_test.shape=(1176, 2, 64), y_test.shape=(1176,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9742634608872334
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.cross_dot_v2_r2q_attention_layer.0.weight
model.cross_dot_v2_r2q_attention_layer.0.bias
model.cross_dot_v2_q2r_attention_layer.0.weight
model.cross_dot_v2_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.593750, cost=0.690870, test acc=0.676020, cost=0.628595, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 2 training acc=0.687500, cost=0.614045, test acc=0.676020, cost=0.662990, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 3 training acc=0.750000, cost=0.580166, test acc=0.676020, cost=0.653806, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 4 training acc=0.656250, cost=0.667074, test acc=0.676020, cost=0.626542, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 5 training acc=0.687500, cost=0.637758, test acc=0.676020, cost=0.623104, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 6 training acc=0.781250, cost=0.556158, test acc=0.676020, cost=0.617306, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 7 training acc=0.843750, cost=0.515397, test acc=0.676020, cost=0.619495, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 8 training acc=0.593750, cost=0.663185, test acc=0.676020, cost=0.624224, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 9 training acc=0.562500, cost=0.809067, test acc=0.676020, cost=0.616147, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 10 training acc=0.625000, cost=0.692385, test acc=0.676020, cost=0.609833, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 11 training acc=0.468750, cost=0.753971, test acc=0.676020, cost=0.618867, disagree_f1=0.806107, agree_f1=0.015504, average_f1=0.410805
BATCH 12 training acc=0.593750, cost=0.650773, test acc=0.691327, cost=0.645183, disagree_f1=0.796411, agree_f1=0.362039, average_f1=0.579225
BATCH 13 training acc=0.687500, cost=0.643761, test acc=0.649660, cost=0.657766, disagree_f1=0.744099, agree_f1=0.444744, average_f1=0.594422
BATCH 14 training acc=0.687500, cost=0.649432, test acc=0.668367, cost=0.650472, disagree_f1=0.765625, agree_f1=0.433140, average_f1=0.599382
BATCH 15 training acc=0.562500, cost=0.691624, test acc=0.698129, cost=0.637595, disagree_f1=0.804623, agree_f1=0.336449, average_f1=0.570536
BATCH 16 training acc=0.656250, cost=0.634568, test acc=0.696429, cost=0.624450, disagree_f1=0.812795, agree_f1=0.197753, average_f1=0.505274
BATCH 17 training acc=0.656250, cost=0.669194, test acc=0.684524, cost=0.615776, disagree_f1=0.809646, agree_f1=0.079404, average_f1=0.444525
BATCH 18 training acc=0.562500, cost=0.719487, test acc=0.679422, cost=0.612806, disagree_f1=0.807947, agree_f1=0.030848, average_f1=0.419398
BATCH 19 training acc=0.750000, cost=0.573875, test acc=0.676020, cost=0.607109, disagree_f1=0.806501, agree_f1=0.005222, average_f1=0.405861
BATCH 20 training acc=0.750000, cost=0.549893, test acc=0.676020, cost=0.602443, disagree_f1=0.806501, agree_f1=0.005222, average_f1=0.405861
BATCH 21 training acc=0.593750, cost=0.613994, test acc=0.676020, cost=0.603026, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 22 training acc=0.750000, cost=0.483150, test acc=0.676020, cost=0.613063, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 23 training acc=0.656250, cost=0.655233, test acc=0.676020, cost=0.620073, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 24 training acc=0.656250, cost=0.631978, test acc=0.676871, cost=0.617838, disagree_f1=0.806911, agree_f1=0.010417, average_f1=0.408664
BATCH 25 training acc=0.625000, cost=0.658544, test acc=0.679422, cost=0.607056, disagree_f1=0.807947, agree_f1=0.030848, average_f1=0.419398
BATCH 26 training acc=0.843750, cost=0.380794, test acc=0.687925, cost=0.606688, disagree_f1=0.810140, agree_f1=0.124105, average_f1=0.467122
BATCH 27 training acc=0.687500, cost=0.582517, test acc=0.687075, cost=0.605467, disagree_f1=0.807732, agree_f1=0.159817, average_f1=0.483775
BATCH 28 training acc=0.718750, cost=0.562420, test acc=0.687075, cost=0.602905, disagree_f1=0.806925, agree_f1=0.174888, average_f1=0.490907
BATCH 29 training acc=0.812500, cost=0.502462, test acc=0.689626, cost=0.602962, disagree_f1=0.809200, agree_f1=0.168565, average_f1=0.488883
BATCH 30 training acc=0.687500, cost=0.567134, test acc=0.688776, cost=0.596700, disagree_f1=0.807368, agree_f1=0.190265, average_f1=0.498817
BATCH 31 training acc=0.750000, cost=0.540720, test acc=0.699830, cost=0.587530, disagree_f1=0.810724, agree_f1=0.275154, average_f1=0.542939
BATCH 32 training acc=0.625000, cost=0.632250, test acc=0.702381, cost=0.580411, disagree_f1=0.807481, agree_f1=0.344569, average_f1=0.576025
BATCH 33 training acc=0.718750, cost=0.599491, test acc=0.704932, cost=0.584500, disagree_f1=0.796481, agree_f1=0.463679, average_f1=0.630080
BATCH 34 training acc=0.656250, cost=0.615840, test acc=0.698980, cost=0.599006, disagree_f1=0.781751, agree_f1=0.515068, average_f1=0.648410
BATCH 35 training acc=0.656250, cost=0.584612, test acc=0.688776, cost=0.604470, disagree_f1=0.769231, agree_f1=0.522193, average_f1=0.645712
BATCH 36 training acc=0.812500, cost=0.577272, test acc=0.698980, cost=0.596290, disagree_f1=0.780124, agree_f1=0.522911, average_f1=0.651518
BATCH 37 training acc=0.718750, cost=0.605906, test acc=0.710034, cost=0.578698, disagree_f1=0.797866, agree_f1=0.487218, average_f1=0.642542
BATCH 38 training acc=0.781250, cost=0.577905, test acc=0.699830, cost=0.567641, disagree_f1=0.801127, agree_f1=0.388215, average_f1=0.594671
BATCH 39 training acc=0.781250, cost=0.565259, test acc=0.702381, cost=0.572994, disagree_f1=0.811015, agree_f1=0.300000, average_f1=0.555508
BATCH 40 training acc=0.718750, cost=0.537269, test acc=0.699830, cost=0.583241, disagree_f1=0.811532, agree_f1=0.263048, average_f1=0.537290
BATCH 41 training acc=0.687500, cost=0.654055, test acc=0.699830, cost=0.583100, disagree_f1=0.811331, agree_f1=0.266112, average_f1=0.538722
BATCH 42 training acc=0.593750, cost=0.605707, test acc=0.698980, cost=0.573020, disagree_f1=0.806979, agree_f1=0.316602, average_f1=0.561791
BATCH 43 training acc=0.750000, cost=0.597665, test acc=0.698129, cost=0.564166, disagree_f1=0.800450, agree_f1=0.380454, average_f1=0.590452
BATCH 44 training acc=0.593750, cost=0.677441, test acc=0.714286, cost=0.568078, disagree_f1=0.799043, agree_f1=0.505882, average_f1=0.652463
BATCH 45 training acc=0.718750, cost=0.517440, test acc=0.709184, cost=0.585483, disagree_f1=0.782443, agree_f1=0.561538, average_f1=0.671991
BATCH 46 training acc=0.656250, cost=0.579921, test acc=0.689626, cost=0.594333, disagree_f1=0.759394, agree_f1=0.562874, average_f1=0.661134
BATCH 47 training acc=0.656250, cost=0.580706, test acc=0.703231, cost=0.590426, disagree_f1=0.772934, agree_f1=0.571779, average_f1=0.672357
