Using GPU: 3...
X_train.shape=(4701, 2, 64), y_train.shape=(4701,);
X_test.shape=(1175, 2, 64), y_test.shape=(1175,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9742634608872334
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.cross_dot_v2_r2q_attention_layer.0.weight
model.cross_dot_v2_r2q_attention_layer.0.bias
model.cross_dot_v2_q2r_attention_layer.0.weight
model.cross_dot_v2_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.562500, cost=0.689973, test acc=0.662128, cost=0.643540, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 2 training acc=0.687500, cost=0.620082, test acc=0.662128, cost=0.669524, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 3 training acc=0.718750, cost=0.596403, test acc=0.662128, cost=0.657206, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 4 training acc=0.812500, cost=0.473940, test acc=0.662128, cost=0.681434, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 5 training acc=0.687500, cost=0.628035, test acc=0.662128, cost=0.659937, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 6 training acc=0.781250, cost=0.566321, test acc=0.662128, cost=0.637327, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 7 training acc=0.562500, cost=0.712708, test acc=0.662128, cost=0.624340, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 8 training acc=0.593750, cost=0.655471, test acc=0.680851, cost=0.652885, disagree_f1=0.788255, agree_f1=0.352332, average_f1=0.570293
BATCH 9 training acc=0.500000, cost=0.679508, test acc=0.474043, cost=0.700327, disagree_f1=0.383234, agree_f1=0.541543, average_f1=0.462388
BATCH 10 training acc=0.406250, cost=0.712664, test acc=0.514894, cost=0.695669, disagree_f1=0.480874, agree_f1=0.544728, average_f1=0.512801
BATCH 11 training acc=0.593750, cost=0.673403, test acc=0.618723, cost=0.663657, disagree_f1=0.692308, agree_f1=0.498881, average_f1=0.595595
BATCH 12 training acc=0.718750, cost=0.668283, test acc=0.678298, cost=0.631756, disagree_f1=0.787402, agree_f1=0.339161, average_f1=0.563281
BATCH 13 training acc=0.656250, cost=0.619702, test acc=0.672340, cost=0.613428, disagree_f1=0.801239, agree_f1=0.067797, average_f1=0.434518
BATCH 14 training acc=0.718750, cost=0.562568, test acc=0.662128, cost=0.624522, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 15 training acc=0.718750, cost=0.557565, test acc=0.662128, cost=0.665783, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 16 training acc=0.718750, cost=0.544201, test acc=0.662128, cost=0.698722, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
BATCH 17 training acc=0.656250, cost=0.631283, test acc=0.662128, cost=0.705004, disagree_f1=0.796723, agree_f1=0.000000, average_f1=0.398361
