Using GPU: 0...
X_train.shape=(2383, 2, 64), y_train.shape=(2383,);
X_test.shape=(596, 2, 64), y_test.shape=(596,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9832497860374129
model.bilstm.embedding.weight
model.bilstm.bilstm.weight_ih_l0
model.bilstm.bilstm.weight_hh_l0
model.bilstm.bilstm.bias_ih_l0
model.bilstm.bilstm.bias_hh_l0
model.bilstm.bilstm.weight_ih_l0_reverse
model.bilstm.bilstm.weight_hh_l0_reverse
model.bilstm.bilstm.bias_ih_l0_reverse
model.bilstm.bilstm.bias_hh_l0_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.cross_dot_v2_r2q_attention_layer.0.weight
model.cross_dot_v2_r2q_attention_layer.0.bias
model.cross_dot_v2_q2r_attention_layer.0.weight
model.cross_dot_v2_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.343750, cost=0.705187, test acc=0.627517, cost=0.651770, disagree_f1=0.771134, agree_f1=0.000000, average_f1=0.385567
BATCH 2 training acc=0.625000, cost=0.650030, test acc=0.627517, cost=0.653870, disagree_f1=0.771134, agree_f1=0.000000, average_f1=0.385567
BATCH 3 training acc=0.562500, cost=0.731745, test acc=0.627517, cost=0.630871, disagree_f1=0.771134, agree_f1=0.000000, average_f1=0.385567
BATCH 4 training acc=0.625000, cost=0.647150, test acc=0.645973, cost=0.628902, disagree_f1=0.778128, agree_f1=0.124481, average_f1=0.451305
BATCH 5 training acc=0.531250, cost=0.682385, test acc=0.659396, cost=0.655168, disagree_f1=0.730412, agree_f1=0.537585, average_f1=0.633999
BATCH 6 training acc=0.687500, cost=0.647641, test acc=0.647651, cost=0.658900, disagree_f1=0.699140, agree_f1=0.574899, average_f1=0.637020
BATCH 7 training acc=0.656250, cost=0.665381, test acc=0.651007, cost=0.651565, disagree_f1=0.709497, agree_f1=0.563025, average_f1=0.636261
BATCH 8 training acc=0.656250, cost=0.651154, test acc=0.677852, cost=0.632999, disagree_f1=0.753213, agree_f1=0.536232, average_f1=0.644723
BATCH 9 training acc=0.750000, cost=0.607137, test acc=0.672819, cost=0.613213, disagree_f1=0.769231, agree_f1=0.438040, average_f1=0.603636
BATCH 10 training acc=0.562500, cost=0.651206, test acc=0.656040, cost=0.606460, disagree_f1=0.767310, agree_f1=0.340836, average_f1=0.554073
BATCH 11 training acc=0.562500, cost=0.691380, test acc=0.657718, cost=0.605783, disagree_f1=0.774336, agree_f1=0.291667, average_f1=0.533001
BATCH 12 training acc=0.718750, cost=0.660970, test acc=0.657718, cost=0.608712, disagree_f1=0.780645, agree_f1=0.221374, average_f1=0.501010
BATCH 13 training acc=0.718750, cost=0.571513, test acc=0.649329, cost=0.611531, disagree_f1=0.778836, agree_f1=0.153846, average_f1=0.466341
BATCH 14 training acc=0.562500, cost=0.702808, test acc=0.651007, cost=0.609765, disagree_f1=0.779661, agree_f1=0.161290, average_f1=0.470476
BATCH 15 training acc=0.687500, cost=0.555542, test acc=0.652685, cost=0.607303, disagree_f1=0.779082, agree_f1=0.188235, average_f1=0.483659
BATCH 16 training acc=0.531250, cost=0.712032, test acc=0.654362, cost=0.603575, disagree_f1=0.774123, agree_f1=0.264286, average_f1=0.519204
BATCH 17 training acc=0.687500, cost=0.643166, test acc=0.666107, cost=0.604987, disagree_f1=0.774120, agree_f1=0.360129, average_f1=0.567124
BATCH 18 training acc=0.593750, cost=0.634952, test acc=0.671141, cost=0.613726, disagree_f1=0.762136, agree_f1=0.467391, average_f1=0.614764
BATCH 19 training acc=0.718750, cost=0.557936, test acc=0.672819, cost=0.619953, disagree_f1=0.748387, agree_f1=0.532374, average_f1=0.640381
BATCH 20 training acc=0.718750, cost=0.591596, test acc=0.667785, cost=0.621947, disagree_f1=0.738095, agree_f1=0.545872, average_f1=0.641983
BATCH 21 training acc=0.718750, cost=0.614464, test acc=0.669463, cost=0.615480, disagree_f1=0.742484, agree_f1=0.538642, average_f1=0.640563
BATCH 22 training acc=0.593750, cost=0.670681, test acc=0.676174, cost=0.604582, disagree_f1=0.757233, agree_f1=0.513854, average_f1=0.635543
BATCH 23 training acc=0.625000, cost=0.657376, test acc=0.669463, cost=0.595718, disagree_f1=0.766311, agree_f1=0.435530, average_f1=0.600920
BATCH 24 training acc=0.687500, cost=0.609556, test acc=0.666107, cost=0.592463, disagree_f1=0.771001, agree_f1=0.383901, average_f1=0.577451
BATCH 25 training acc=0.656250, cost=0.632165, test acc=0.667785, cost=0.591649, disagree_f1=0.776018, agree_f1=0.357143, average_f1=0.566580
BATCH 26 training acc=0.687500, cost=0.615820, test acc=0.672819, cost=0.592022, disagree_f1=0.780652, agree_f1=0.356436, average_f1=0.568544
BATCH 27 training acc=0.593750, cost=0.671938, test acc=0.672819, cost=0.590992, disagree_f1=0.780652, agree_f1=0.356436, average_f1=0.568544
BATCH 28 training acc=0.687500, cost=0.557627, test acc=0.676174, cost=0.589039, disagree_f1=0.782902, agree_f1=0.363036, average_f1=0.572969
BATCH 29 training acc=0.625000, cost=0.688074, test acc=0.677852, cost=0.585972, disagree_f1=0.782805, agree_f1=0.376623, average_f1=0.579714
BATCH 30 training acc=0.562500, cost=0.627731, test acc=0.689597, cost=0.583052, disagree_f1=0.788087, agree_f1=0.420063, average_f1=0.604075
BATCH 31 training acc=0.812500, cost=0.492324, test acc=0.687919, cost=0.580773, disagree_f1=0.785219, agree_f1=0.429448, average_f1=0.607334
BATCH 32 training acc=0.687500, cost=0.566708, test acc=0.701342, cost=0.576653, disagree_f1=0.790588, agree_f1=0.479532, average_f1=0.635060
BATCH 33 training acc=0.687500, cost=0.521628, test acc=0.706376, cost=0.571661, disagree_f1=0.789916, agree_f1=0.512535, average_f1=0.651225
BATCH 34 training acc=0.687500, cost=0.596480, test acc=0.708054, cost=0.568238, disagree_f1=0.784653, agree_f1=0.546875, average_f1=0.665764
BATCH 35 training acc=0.812500, cost=0.545266, test acc=0.718121, cost=0.564709, disagree_f1=0.785714, agree_f1=0.588235, average_f1=0.686975
BATCH 36 training acc=0.656250, cost=0.654481, test acc=0.714765, cost=0.562385, disagree_f1=0.780928, agree_f1=0.591346, average_f1=0.686137
BATCH 37 training acc=0.687500, cost=0.527364, test acc=0.711409, cost=0.560105, disagree_f1=0.775457, agree_f1=0.596244, average_f1=0.685851
BATCH 38 training acc=0.750000, cost=0.579190, test acc=0.713087, cost=0.556927, disagree_f1=0.777053, agree_f1=0.597647, average_f1=0.687350
BATCH 39 training acc=0.656250, cost=0.579540, test acc=0.718121, cost=0.554700, disagree_f1=0.782946, agree_f1=0.598086, average_f1=0.690516
BATCH 40 training acc=0.625000, cost=0.617455, test acc=0.721477, cost=0.553467, disagree_f1=0.783854, agree_f1=0.608491, average_f1=0.696172
BATCH 41 training acc=0.718750, cost=0.630354, test acc=0.713087, cost=0.553816, disagree_f1=0.773510, agree_f1=0.608696, average_f1=0.691103
BATCH 42 training acc=0.687500, cost=0.603218, test acc=0.709732, cost=0.551945, disagree_f1=0.770252, agree_f1=0.605923, average_f1=0.688087
BATCH 43 training acc=0.562500, cost=0.597965, test acc=0.716443, cost=0.551398, disagree_f1=0.773154, agree_f1=0.621924, average_f1=0.697539
BATCH 44 training acc=0.812500, cost=0.493691, test acc=0.708054, cost=0.551691, disagree_f1=0.762943, agree_f1=0.620087, average_f1=0.691515
BATCH 45 training acc=0.750000, cost=0.540154, test acc=0.718121, cost=0.546514, disagree_f1=0.776596, agree_f1=0.618182, average_f1=0.697389
BATCH 46 training acc=0.687500, cost=0.531624, test acc=0.726510, cost=0.541565, disagree_f1=0.790757, agree_f1=0.605327, average_f1=0.698042
BATCH 47 training acc=0.656250, cost=0.537154, test acc=0.731544, cost=0.541691, disagree_f1=0.801980, agree_f1=0.583333, average_f1=0.692657
BATCH 48 training acc=0.593750, cost=0.672524, test acc=0.726510, cost=0.543161, disagree_f1=0.800490, agree_f1=0.565333, average_f1=0.682911
BATCH 49 training acc=0.656250, cost=0.598389, test acc=0.724832, cost=0.540057, disagree_f1=0.797030, agree_f1=0.572917, average_f1=0.684973
BATCH 50 training acc=0.656250, cost=0.575075, test acc=0.724832, cost=0.537470, disagree_f1=0.790281, agree_f1=0.600000, average_f1=0.695141
BATCH 51 training acc=0.781250, cost=0.490837, test acc=0.713087, cost=0.544883, disagree_f1=0.766712, agree_f1=0.627451, average_f1=0.697082
BATCH 52 training acc=0.687500, cost=0.558677, test acc=0.704698, cost=0.557246, disagree_f1=0.748571, agree_f1=0.642276, average_f1=0.695424
BATCH 53 training acc=0.656250, cost=0.597787, test acc=0.696309, cost=0.559668, disagree_f1=0.738061, agree_f1=0.638723, average_f1=0.688392
BATCH 54 training acc=0.781250, cost=0.540637, test acc=0.706376, cost=0.554678, disagree_f1=0.750357, agree_f1=0.643585, average_f1=0.696971
BATCH 55 training acc=0.562500, cost=0.696681, test acc=0.718121, cost=0.543522, disagree_f1=0.772358, agree_f1=0.629956, average_f1=0.701157
BATCH 56 training acc=0.687500, cost=0.574166, test acc=0.724832, cost=0.538397, disagree_f1=0.783069, agree_f1=0.623853, average_f1=0.703461
BATCH 57 training acc=0.687500, cost=0.672417, test acc=0.724832, cost=0.538070, disagree_f1=0.782493, agree_f1=0.625571, average_f1=0.704032
BATCH 58 training acc=0.812500, cost=0.479736, test acc=0.728188, cost=0.534801, disagree_f1=0.787402, agree_f1=0.623256, average_f1=0.705329
BATCH 59 training acc=0.562500, cost=0.712506, test acc=0.731544, cost=0.533157, disagree_f1=0.793282, agree_f1=0.617225, average_f1=0.705253
BATCH 60 training acc=0.812500, cost=0.516438, test acc=0.736577, cost=0.531515, disagree_f1=0.799489, agree_f1=0.616137, average_f1=0.707813
BATCH 61 training acc=0.750000, cost=0.533101, test acc=0.744966, cost=0.530721, disagree_f1=0.808081, agree_f1=0.620000, average_f1=0.714040
BATCH 62 training acc=0.781250, cost=0.456371, test acc=0.744966, cost=0.533174, disagree_f1=0.811881, agree_f1=0.604167, average_f1=0.708024
BATCH 63 training acc=0.718750, cost=0.547913, test acc=0.733221, cost=0.542074, disagree_f1=0.810036, agree_f1=0.552113, average_f1=0.681074
BATCH 64 training acc=0.687500, cost=0.675563, test acc=0.728188, cost=0.546990, disagree_f1=0.808511, agree_f1=0.531792, average_f1=0.670151
