Using GPU: 2...
X_train.shape=(4701, 2, 64), y_train.shape=(4701,);
X_test.shape=(1175, 2, 64), y_test.shape=(1175,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9742634608872334
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.quote_attention_layer.0.weight
model.quote_attention_layer.0.bias
model.quote_attention_layer.3.weight
model.quote_attention_layer.3.bias
model.response_attention_layer.0.weight
model.response_attention_layer.0.bias
model.response_attention_layer.3.weight
model.response_attention_layer.3.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.437500, cost=0.695692, test acc=0.666383, cost=0.653098, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 2 training acc=0.687500, cost=0.650864, test acc=0.666383, cost=0.631877, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 3 training acc=0.625000, cost=0.641359, test acc=0.666383, cost=0.632688, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 4 training acc=0.750000, cost=0.566378, test acc=0.666383, cost=0.652149, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 5 training acc=0.625000, cost=0.736373, test acc=0.666383, cost=0.639456, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 6 training acc=0.750000, cost=0.537665, test acc=0.666383, cost=0.633644, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 7 training acc=0.687500, cost=0.604756, test acc=0.666383, cost=0.626208, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 8 training acc=0.500000, cost=0.800302, test acc=0.666383, cost=0.619044, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 9 training acc=0.750000, cost=0.561784, test acc=0.666383, cost=0.618748, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 10 training acc=0.687500, cost=0.630836, test acc=0.666383, cost=0.619809, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 11 training acc=0.718750, cost=0.597713, test acc=0.666383, cost=0.617589, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 12 training acc=0.656250, cost=0.641088, test acc=0.666383, cost=0.615834, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 13 training acc=0.593750, cost=0.678004, test acc=0.666383, cost=0.615794, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 14 training acc=0.687500, cost=0.603117, test acc=0.666383, cost=0.613906, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 15 training acc=0.750000, cost=0.560313, test acc=0.666383, cost=0.611370, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 16 training acc=0.750000, cost=0.527602, test acc=0.666383, cost=0.613485, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 17 training acc=0.718750, cost=0.529832, test acc=0.666383, cost=0.627289, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 18 training acc=0.562500, cost=0.714527, test acc=0.666383, cost=0.633538, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 19 training acc=0.625000, cost=0.708258, test acc=0.666383, cost=0.624872, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 20 training acc=0.625000, cost=0.588247, test acc=0.666383, cost=0.613652, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 21 training acc=0.750000, cost=0.514383, test acc=0.666383, cost=0.605682, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 22 training acc=0.562500, cost=0.667807, test acc=0.670638, cost=0.598943, disagree_f1=0.801640, agree_f1=0.030075, average_f1=0.415858
BATCH 23 training acc=0.687500, cost=0.584426, test acc=0.695319, cost=0.598586, disagree_f1=0.811777, agree_f1=0.200893, average_f1=0.506335
BATCH 24 training acc=0.593750, cost=0.672808, test acc=0.702979, cost=0.607434, disagree_f1=0.804919, agree_f1=0.377897, average_f1=0.591408
BATCH 25 training acc=0.593750, cost=0.602000, test acc=0.687660, cost=0.613675, disagree_f1=0.782969, agree_f1=0.443096, average_f1=0.613032
BATCH 26 training acc=0.750000, cost=0.616456, test acc=0.674894, cost=0.619099, disagree_f1=0.763027, agree_f1=0.482385, average_f1=0.622706
BATCH 27 training acc=0.687500, cost=0.617006, test acc=0.674043, cost=0.616037, disagree_f1=0.761073, agree_f1=0.487282, average_f1=0.624178
BATCH 28 training acc=0.656250, cost=0.596790, test acc=0.680000, cost=0.603620, disagree_f1=0.770171, agree_f1=0.473389, average_f1=0.621780
BATCH 29 training acc=0.593750, cost=0.631424, test acc=0.683404, cost=0.594091, disagree_f1=0.777512, agree_f1=0.451327, average_f1=0.614420
BATCH 30 training acc=0.812500, cost=0.537226, test acc=0.692766, cost=0.588454, disagree_f1=0.792886, agree_f1=0.405272, average_f1=0.599079
