Using GPU: 0...
X_train.shape=(4701, 2, 64), y_train.shape=(4701,);
X_test.shape=(1175, 2, 64), y_test.shape=(1175,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9742634608872334
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.r2q_attention_layer.0.weight
model.r2q_attention_layer.0.bias
model.r2q_attention_layer.3.weight
model.r2q_attention_layer.3.bias
model.q2r_attention_layer.0.weight
model.q2r_attention_layer.0.bias
model.q2r_attention_layer.3.weight
model.q2r_attention_layer.3.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.531250, cost=0.690853, test acc=0.666383, cost=0.672909, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 2 training acc=0.718750, cost=0.655256, test acc=0.666383, cost=0.639831, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 3 training acc=0.593750, cost=0.681504, test acc=0.666383, cost=0.629319, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 4 training acc=0.750000, cost=0.590277, test acc=0.666383, cost=0.634914, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 5 training acc=0.906250, cost=0.416732, test acc=0.666383, cost=0.688772, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 6 training acc=0.781250, cost=0.536453, test acc=0.666383, cost=0.771508, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 7 training acc=0.468750, cost=1.131212, test acc=0.666383, cost=0.771758, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 8 training acc=0.718750, cost=0.660246, test acc=0.666383, cost=0.726841, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 9 training acc=0.625000, cost=0.816483, test acc=0.666383, cost=0.673930, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 10 training acc=0.718750, cost=0.583644, test acc=0.666383, cost=0.642576, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 11 training acc=0.562500, cost=0.743394, test acc=0.666383, cost=0.629817, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 12 training acc=0.687500, cost=0.607910, test acc=0.666383, cost=0.631312, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 13 training acc=0.687500, cost=0.637842, test acc=0.666383, cost=0.637147, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 14 training acc=0.593750, cost=0.673178, test acc=0.666383, cost=0.644515, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 15 training acc=0.625000, cost=0.666217, test acc=0.666383, cost=0.650393, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 16 training acc=0.687500, cost=0.644452, test acc=0.666383, cost=0.651341, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 17 training acc=0.656250, cost=0.655824, test acc=0.666383, cost=0.649600, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 18 training acc=0.468750, cost=0.715484, test acc=0.666383, cost=0.649947, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 19 training acc=0.656250, cost=0.652842, test acc=0.666383, cost=0.647669, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 20 training acc=0.593750, cost=0.667666, test acc=0.666383, cost=0.644367, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 21 training acc=0.656250, cost=0.643641, test acc=0.666383, cost=0.639710, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 22 training acc=0.593750, cost=0.668139, test acc=0.666383, cost=0.635568, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 23 training acc=0.718750, cost=0.613021, test acc=0.666383, cost=0.629572, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 24 training acc=0.625000, cost=0.650841, test acc=0.666383, cost=0.624415, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 25 training acc=0.718750, cost=0.608639, test acc=0.666383, cost=0.619375, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 26 training acc=0.625000, cost=0.678310, test acc=0.666383, cost=0.616688, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 27 training acc=0.625000, cost=0.669053, test acc=0.666383, cost=0.614944, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 28 training acc=0.656250, cost=0.619471, test acc=0.666383, cost=0.612874, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 29 training acc=0.593750, cost=0.723613, test acc=0.666383, cost=0.612161, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 30 training acc=0.687500, cost=0.594847, test acc=0.666383, cost=0.610788, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 31 training acc=0.625000, cost=0.653560, test acc=0.666383, cost=0.609844, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 32 training acc=0.750000, cost=0.574876, test acc=0.667234, cost=0.608065, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
BATCH 33 training acc=0.718750, cost=0.580056, test acc=0.667234, cost=0.605534, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
BATCH 34 training acc=0.656250, cost=0.626867, test acc=0.667234, cost=0.602957, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
BATCH 35 training acc=0.718750, cost=0.567899, test acc=0.667234, cost=0.600618, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
BATCH 36 training acc=0.593750, cost=0.671630, test acc=0.667234, cost=0.598064, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
BATCH 37 training acc=0.468750, cost=0.776109, test acc=0.667234, cost=0.595083, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
BATCH 38 training acc=0.625000, cost=0.632373, test acc=0.668936, cost=0.593026, disagree_f1=0.800819, agree_f1=0.020151, average_f1=0.410485
BATCH 39 training acc=0.593750, cost=0.660781, test acc=0.673191, cost=0.594256, disagree_f1=0.802062, agree_f1=0.063415, average_f1=0.432738
BATCH 40 training acc=0.718750, cost=0.587723, test acc=0.689362, cost=0.594569, disagree_f1=0.808600, agree_f1=0.176072, average_f1=0.492336
BATCH 41 training acc=0.718750, cost=0.524865, test acc=0.699574, cost=0.588721, disagree_f1=0.810927, agree_f1=0.269151, average_f1=0.540039
BATCH 42 training acc=0.625000, cost=0.652055, test acc=0.708936, cost=0.583943, disagree_f1=0.812705, agree_f1=0.347328, average_f1=0.580017
BATCH 43 training acc=0.687500, cost=0.688986, test acc=0.708936, cost=0.582057, disagree_f1=0.807649, agree_f1=0.402098, average_f1=0.604873
BATCH 44 training acc=0.656250, cost=0.582253, test acc=0.705532, cost=0.577249, disagree_f1=0.802059, agree_f1=0.425249, average_f1=0.613654
BATCH 45 training acc=0.750000, cost=0.577872, test acc=0.709787, cost=0.570500, disagree_f1=0.802319, agree_f1=0.454400, average_f1=0.628359
BATCH 46 training acc=0.656250, cost=0.638396, test acc=0.709787, cost=0.565179, disagree_f1=0.797386, agree_f1=0.488756, average_f1=0.643071
BATCH 47 training acc=0.812500, cost=0.570605, test acc=0.716596, cost=0.553676, disagree_f1=0.804692, agree_f1=0.483721, average_f1=0.644207
BATCH 48 training acc=0.625000, cost=0.651408, test acc=0.718298, cost=0.547127, disagree_f1=0.806772, agree_f1=0.480377, average_f1=0.643574
BATCH 49 training acc=0.843750, cost=0.417755, test acc=0.719149, cost=0.552593, disagree_f1=0.812500, agree_f1=0.440678, average_f1=0.626589
BATCH 50 training acc=0.531250, cost=0.762562, test acc=0.721702, cost=0.554709, disagree_f1=0.814521, agree_f1=0.442930, average_f1=0.628725
