Using GPU: 0...
X_train.shape=(4701, 2, 64), y_train.shape=(4701,);
X_test.shape=(1175, 2, 64), y_test.shape=(1175,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9742634608872334
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.cross_dot_v2_r2q_attention_layer.0.weight
model.cross_dot_v2_r2q_attention_layer.0.bias
model.cross_dot_v2_q2r_attention_layer.0.weight
model.cross_dot_v2_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.312500, cost=0.701450, test acc=0.666383, cost=0.656621, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 2 training acc=0.750000, cost=0.640826, test acc=0.666383, cost=0.632967, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 3 training acc=0.656250, cost=0.642185, test acc=0.666383, cost=0.635272, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 4 training acc=0.500000, cost=0.765111, test acc=0.666383, cost=0.631099, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 5 training acc=0.812500, cost=0.495884, test acc=0.666383, cost=0.633890, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 6 training acc=0.656250, cost=0.636162, test acc=0.666383, cost=0.632739, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 7 training acc=0.718750, cost=0.589647, test acc=0.666383, cost=0.631216, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 8 training acc=0.625000, cost=0.687867, test acc=0.666383, cost=0.624309, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 9 training acc=0.687500, cost=0.616098, test acc=0.666383, cost=0.621435, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 10 training acc=0.562500, cost=0.711481, test acc=0.666383, cost=0.623751, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 11 training acc=0.500000, cost=0.719974, test acc=0.666383, cost=0.634555, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 12 training acc=0.750000, cost=0.598787, test acc=0.667234, cost=0.638891, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
BATCH 13 training acc=0.500000, cost=0.694333, test acc=0.667234, cost=0.646106, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
BATCH 14 training acc=0.812500, cost=0.613383, test acc=0.667234, cost=0.643351, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
BATCH 15 training acc=0.656250, cost=0.641900, test acc=0.667234, cost=0.636536, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
BATCH 16 training acc=0.718750, cost=0.614855, test acc=0.667234, cost=0.626396, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
BATCH 17 training acc=0.718750, cost=0.604956, test acc=0.667234, cost=0.617537, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
BATCH 18 training acc=0.843750, cost=0.511839, test acc=0.666383, cost=0.612765, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 19 training acc=0.718750, cost=0.603521, test acc=0.666383, cost=0.617114, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 20 training acc=0.656250, cost=0.600129, test acc=0.666383, cost=0.627638, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 21 training acc=0.718750, cost=0.626598, test acc=0.666383, cost=0.631511, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 22 training acc=0.562500, cost=0.757204, test acc=0.666383, cost=0.625665, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 23 training acc=0.687500, cost=0.667913, test acc=0.666383, cost=0.616899, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 24 training acc=0.781250, cost=0.514524, test acc=0.666383, cost=0.613182, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 25 training acc=0.562500, cost=0.679476, test acc=0.666383, cost=0.609574, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 26 training acc=0.750000, cost=0.570524, test acc=0.667234, cost=0.608545, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
BATCH 27 training acc=0.718750, cost=0.563455, test acc=0.667234, cost=0.608161, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
BATCH 28 training acc=0.656250, cost=0.612906, test acc=0.667234, cost=0.607947, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
BATCH 29 training acc=0.531250, cost=0.700453, test acc=0.667234, cost=0.608301, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
BATCH 30 training acc=0.781250, cost=0.559475, test acc=0.667234, cost=0.607619, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
BATCH 31 training acc=0.812500, cost=0.502840, test acc=0.667234, cost=0.604722, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
BATCH 32 training acc=0.656250, cost=0.609913, test acc=0.667234, cost=0.601920, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
BATCH 33 training acc=0.687500, cost=0.573503, test acc=0.667234, cost=0.599273, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
BATCH 34 training acc=0.656250, cost=0.614542, test acc=0.667234, cost=0.597469, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
