Using GPU: 0...
X_train.shape=(4701, 2, 64), y_train.shape=(4701,);
X_test.shape=(1175, 2, 64), y_test.shape=(1175,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9742634608872334
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.q2q_attention_layer.0.weight
model.q2q_attention_layer.0.bias
model.q2q_attention_layer.3.weight
model.q2q_attention_layer.3.bias
model.r2r_attention_layer.0.weight
model.r2r_attention_layer.0.bias
model.r2r_attention_layer.3.weight
model.r2r_attention_layer.3.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.593750, cost=0.690130, test acc=0.660426, cost=0.654159, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 2 training acc=0.656250, cost=0.652916, test acc=0.660426, cost=0.635020, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 3 training acc=0.812500, cost=0.536234, test acc=0.660426, cost=0.641396, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 4 training acc=0.625000, cost=0.712117, test acc=0.660426, cost=0.645864, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 5 training acc=0.812500, cost=0.501795, test acc=0.660426, cost=0.656344, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 6 training acc=0.593750, cost=0.734510, test acc=0.660426, cost=0.647703, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 7 training acc=0.656250, cost=0.657880, test acc=0.660426, cost=0.637102, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 8 training acc=0.812500, cost=0.498568, test acc=0.660426, cost=0.634817, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 9 training acc=0.750000, cost=0.571119, test acc=0.660426, cost=0.633950, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 10 training acc=0.656250, cost=0.654947, test acc=0.660426, cost=0.631713, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 11 training acc=0.625000, cost=0.676128, test acc=0.660426, cost=0.629846, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 12 training acc=0.593750, cost=0.642106, test acc=0.660426, cost=0.629402, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 13 training acc=0.718750, cost=0.592893, test acc=0.660426, cost=0.629925, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 14 training acc=0.656250, cost=0.631580, test acc=0.660426, cost=0.628826, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 15 training acc=0.718750, cost=0.609505, test acc=0.660426, cost=0.625181, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 16 training acc=0.687500, cost=0.614488, test acc=0.660426, cost=0.621483, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 17 training acc=0.562500, cost=0.657124, test acc=0.660426, cost=0.618163, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 18 training acc=0.593750, cost=0.628743, test acc=0.661277, cost=0.614340, disagree_f1=0.795897, agree_f1=0.005000, average_f1=0.400449
BATCH 19 training acc=0.750000, cost=0.536634, test acc=0.665532, cost=0.612387, disagree_f1=0.797943, agree_f1=0.029630, average_f1=0.413787
BATCH 20 training acc=0.750000, cost=0.530035, test acc=0.668936, cost=0.621472, disagree_f1=0.799174, agree_f1=0.058111, average_f1=0.428643
BATCH 21 training acc=0.656250, cost=0.616782, test acc=0.674894, cost=0.623989, disagree_f1=0.801661, agree_f1=0.099057, average_f1=0.450359
BATCH 22 training acc=0.656250, cost=0.658212, test acc=0.673191, cost=0.607487, disagree_f1=0.797040, agree_f1=0.161572, average_f1=0.479306
BATCH 23 training acc=0.468750, cost=0.778684, test acc=0.688511, cost=0.599612, disagree_f1=0.797118, agree_f1=0.329670, average_f1=0.563394
BATCH 24 training acc=0.718750, cost=0.575202, test acc=0.666383, cost=0.624330, disagree_f1=0.750953, agree_f1=0.494845, average_f1=0.622899
BATCH 25 training acc=0.687500, cost=0.631302, test acc=0.650213, cost=0.630157, disagree_f1=0.728354, agree_f1=0.508961, average_f1=0.618657
BATCH 26 training acc=0.687500, cost=0.615859, test acc=0.673191, cost=0.609486, disagree_f1=0.760000, agree_f1=0.488000, average_f1=0.624000
BATCH 27 training acc=0.781250, cost=0.591804, test acc=0.689362, cost=0.593579, disagree_f1=0.786674, agree_f1=0.428795, average_f1=0.607735
BATCH 28 training acc=0.718750, cost=0.563819, test acc=0.687660, cost=0.616153, disagree_f1=0.795543, agree_f1=0.338739, average_f1=0.567141
BATCH 29 training acc=0.625000, cost=0.646999, test acc=0.684255, cost=0.651593, disagree_f1=0.796489, agree_f1=0.296015, average_f1=0.546252
BATCH 30 training acc=0.687500, cost=0.631480, test acc=0.685106, cost=0.651537, disagree_f1=0.796926, agree_f1=0.299242, average_f1=0.548084
BATCH 31 training acc=0.562500, cost=0.751766, test acc=0.688511, cost=0.625226, disagree_f1=0.797566, agree_f1=0.324723, average_f1=0.561145
BATCH 32 training acc=0.843750, cost=0.375211, test acc=0.690213, cost=0.611518, disagree_f1=0.797327, agree_f1=0.342960, average_f1=0.570144
BATCH 33 training acc=0.656250, cost=0.548277, test acc=0.689362, cost=0.596014, disagree_f1=0.792496, agree_f1=0.382403, average_f1=0.587449
BATCH 34 training acc=0.687500, cost=0.588986, test acc=0.689362, cost=0.590361, disagree_f1=0.787172, agree_f1=0.425197, average_f1=0.606184
BATCH 35 training acc=0.687500, cost=0.551473, test acc=0.687660, cost=0.590936, disagree_f1=0.781157, agree_f1=0.454681, average_f1=0.617919
BATCH 36 training acc=0.750000, cost=0.566581, test acc=0.681702, cost=0.592876, disagree_f1=0.773881, agree_f1=0.462644, average_f1=0.618263
BATCH 37 training acc=0.718750, cost=0.613812, test acc=0.681702, cost=0.593968, disagree_f1=0.771114, agree_f1=0.477654, average_f1=0.624384
BATCH 38 training acc=0.625000, cost=0.615985, test acc=0.685106, cost=0.595520, disagree_f1=0.773562, agree_f1=0.483240, average_f1=0.628401
BATCH 39 training acc=0.843750, cost=0.530102, test acc=0.691915, cost=0.595237, disagree_f1=0.784524, agree_f1=0.459701, average_f1=0.622113
BATCH 40 training acc=0.750000, cost=0.578056, test acc=0.696170, cost=0.593528, disagree_f1=0.791594, agree_f1=0.439560, average_f1=0.615577
BATCH 41 training acc=0.718750, cost=0.496987, test acc=0.701277, cost=0.598756, disagree_f1=0.800908, agree_f1=0.402044, average_f1=0.601476
BATCH 42 training acc=0.781250, cost=0.610329, test acc=0.700426, cost=0.600038, disagree_f1=0.802691, agree_f1=0.378092, average_f1=0.590391
BATCH 43 training acc=0.718750, cost=0.639257, test acc=0.699574, cost=0.598078, disagree_f1=0.803998, agree_f1=0.357013, average_f1=0.580505
BATCH 44 training acc=0.781250, cost=0.498152, test acc=0.699574, cost=0.602837, disagree_f1=0.806575, agree_f1=0.327619, average_f1=0.567097
BATCH 45 training acc=0.687500, cost=0.598840, test acc=0.698723, cost=0.597119, disagree_f1=0.806346, agree_f1=0.321839, average_f1=0.564092
BATCH 46 training acc=0.500000, cost=0.706629, test acc=0.702128, cost=0.584827, disagree_f1=0.807481, agree_f1=0.342105, average_f1=0.574793
BATCH 47 training acc=0.625000, cost=0.646983, test acc=0.705532, cost=0.576628, disagree_f1=0.807350, agree_f1=0.375451, average_f1=0.591400
BATCH 48 training acc=0.625000, cost=0.717189, test acc=0.704681, cost=0.580458, disagree_f1=0.801146, agree_f1=0.426446, average_f1=0.613796
BATCH 49 training acc=0.781250, cost=0.515592, test acc=0.701277, cost=0.588534, disagree_f1=0.792431, agree_f1=0.467375, average_f1=0.629903
BATCH 50 training acc=0.718750, cost=0.587308, test acc=0.707234, cost=0.599568, disagree_f1=0.785000, agree_f1=0.541333, average_f1=0.663167
BATCH 51 training acc=0.812500, cost=0.594833, test acc=0.702979, cost=0.604017, disagree_f1=0.776711, agree_f1=0.556544, average_f1=0.666628
BATCH 52 training acc=0.718750, cost=0.588220, test acc=0.695319, cost=0.605770, disagree_f1=0.766319, agree_f1=0.562347, average_f1=0.664333
BATCH 53 training acc=0.687500, cost=0.585316, test acc=0.702979, cost=0.599647, disagree_f1=0.774984, agree_f1=0.563204, average_f1=0.669094
BATCH 54 training acc=0.750000, cost=0.559624, test acc=0.708085, cost=0.590624, disagree_f1=0.783596, agree_f1=0.551634, average_f1=0.667615
BATCH 55 training acc=0.718750, cost=0.591125, test acc=0.709787, cost=0.576536, disagree_f1=0.792957, agree_f1=0.514936, average_f1=0.653946
BATCH 56 training acc=0.781250, cost=0.528401, test acc=0.708936, cost=0.568221, disagree_f1=0.799766, agree_f1=0.467290, average_f1=0.633528
BATCH 57 training acc=0.687500, cost=0.540540, test acc=0.712340, cost=0.570222, disagree_f1=0.804398, agree_f1=0.456592, average_f1=0.630495
BATCH 58 training acc=0.687500, cost=0.547763, test acc=0.718298, cost=0.579314, disagree_f1=0.812039, agree_f1=0.438031, average_f1=0.625035
BATCH 59 training acc=0.750000, cost=0.532927, test acc=0.715745, cost=0.584735, disagree_f1=0.810227, agree_f1=0.433898, average_f1=0.622063
BATCH 60 training acc=0.750000, cost=0.532025, test acc=0.714894, cost=0.587838, disagree_f1=0.809767, agree_f1=0.431239, average_f1=0.620503
BATCH 61 training acc=0.687500, cost=0.504630, test acc=0.716596, cost=0.589055, disagree_f1=0.810903, agree_f1=0.434635, average_f1=0.622769
BATCH 62 training acc=0.812500, cost=0.379519, test acc=0.715745, cost=0.587544, disagree_f1=0.807159, agree_f1=0.459547, average_f1=0.633353
BATCH 63 training acc=0.656250, cost=0.649880, test acc=0.725106, cost=0.581094, disagree_f1=0.809664, agree_f1=0.505360, average_f1=0.657512
BATCH 64 training acc=0.687500, cost=0.671507, test acc=0.723404, cost=0.577602, disagree_f1=0.804099, agree_f1=0.529667, average_f1=0.666883
BATCH 65 training acc=0.750000, cost=0.587497, test acc=0.713191, cost=0.576066, disagree_f1=0.791847, agree_f1=0.538988, average_f1=0.665417
BATCH 66 training acc=0.687500, cost=0.556249, test acc=0.703830, cost=0.579103, disagree_f1=0.778344, agree_f1=0.553846, average_f1=0.666095
