Using GPU: 0...
X_train.shape=(4701, 2, 64), y_train.shape=(4701,);
X_test.shape=(1175, 2, 64), y_test.shape=(1175,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9742634608872334
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.718750, cost=0.690204, test acc=0.666383, cost=0.649479, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 2 training acc=0.625000, cost=0.666853, test acc=0.666383, cost=0.634994, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 3 training acc=0.687500, cost=0.622921, test acc=0.666383, cost=0.632467, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 4 training acc=0.718750, cost=0.586001, test acc=0.666383, cost=0.649246, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 5 training acc=0.656250, cost=0.660195, test acc=0.666383, cost=0.648372, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 6 training acc=0.593750, cost=0.759126, test acc=0.666383, cost=0.630767, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 7 training acc=0.562500, cost=0.762354, test acc=0.666383, cost=0.623648, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 8 training acc=0.593750, cost=0.683059, test acc=0.666383, cost=0.630598, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 9 training acc=0.593750, cost=0.664673, test acc=0.666383, cost=0.642751, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 10 training acc=0.687500, cost=0.631993, test acc=0.666383, cost=0.647806, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 11 training acc=0.625000, cost=0.664840, test acc=0.666383, cost=0.647035, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 12 training acc=0.875000, cost=0.587882, test acc=0.666383, cost=0.638580, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 13 training acc=0.593750, cost=0.668679, test acc=0.666383, cost=0.631092, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 14 training acc=0.656250, cost=0.642507, test acc=0.666383, cost=0.623883, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 15 training acc=0.718750, cost=0.590328, test acc=0.666383, cost=0.616115, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 16 training acc=0.687500, cost=0.596474, test acc=0.666383, cost=0.611350, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 17 training acc=0.593750, cost=0.664768, test acc=0.666383, cost=0.610901, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 18 training acc=0.593750, cost=0.642133, test acc=0.666383, cost=0.611729, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 19 training acc=0.656250, cost=0.655478, test acc=0.666383, cost=0.610992, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 20 training acc=0.562500, cost=0.667319, test acc=0.666383, cost=0.608740, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 21 training acc=0.375000, cost=0.914367, test acc=0.666383, cost=0.606439, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 22 training acc=0.531250, cost=0.747413, test acc=0.666383, cost=0.608741, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 23 training acc=0.625000, cost=0.631954, test acc=0.666383, cost=0.613984, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 24 training acc=0.656250, cost=0.628563, test acc=0.667234, cost=0.619422, disagree_f1=0.800000, agree_f1=0.010127, average_f1=0.405063
BATCH 25 training acc=0.750000, cost=0.577919, test acc=0.673191, cost=0.621073, disagree_f1=0.802469, agree_f1=0.054187, average_f1=0.428328
BATCH 26 training acc=0.562500, cost=0.654304, test acc=0.686809, cost=0.621974, disagree_f1=0.808133, agree_f1=0.148148, average_f1=0.478141
BATCH 27 training acc=0.718750, cost=0.574469, test acc=0.692766, cost=0.618573, disagree_f1=0.810300, agree_f1=0.192394, average_f1=0.501347
BATCH 28 training acc=0.718750, cost=0.620837, test acc=0.696170, cost=0.613111, disagree_f1=0.811808, agree_f1=0.211921, average_f1=0.511864
BATCH 29 training acc=0.781250, cost=0.559125, test acc=0.693617, cost=0.605242, disagree_f1=0.810726, agree_f1=0.196429, average_f1=0.503577
BATCH 30 training acc=0.625000, cost=0.620836, test acc=0.691915, cost=0.598473, disagree_f1=0.810471, agree_f1=0.177273, average_f1=0.493872
BATCH 31 training acc=0.593750, cost=0.678075, test acc=0.691915, cost=0.595049, disagree_f1=0.810471, agree_f1=0.177273, average_f1=0.493872
BATCH 32 training acc=0.593750, cost=0.652126, test acc=0.691064, cost=0.592941, disagree_f1=0.809649, agree_f1=0.180587, average_f1=0.495118
BATCH 33 training acc=0.718750, cost=0.613428, test acc=0.692766, cost=0.590851, disagree_f1=0.810100, agree_f1=0.195991, average_f1=0.503046
BATCH 34 training acc=0.781250, cost=0.499566, test acc=0.692766, cost=0.589891, disagree_f1=0.810100, agree_f1=0.195991, average_f1=0.503046
BATCH 35 training acc=0.625000, cost=0.664692, test acc=0.697872, cost=0.587501, disagree_f1=0.812269, agree_f1=0.226580, average_f1=0.519424
BATCH 36 training acc=0.625000, cost=0.745058, test acc=0.702128, cost=0.584100, disagree_f1=0.813632, agree_f1=0.258475, average_f1=0.536053
BATCH 37 training acc=0.718750, cost=0.542718, test acc=0.703830, cost=0.581559, disagree_f1=0.813104, agree_f1=0.286885, average_f1=0.549995
BATCH 38 training acc=0.812500, cost=0.522959, test acc=0.702128, cost=0.578811, disagree_f1=0.810811, agree_f1=0.300000, average_f1=0.555405
BATCH 39 training acc=0.812500, cost=0.518399, test acc=0.701277, cost=0.576870, disagree_f1=0.809962, agree_f1=0.302187, average_f1=0.556074
BATCH 40 training acc=0.718750, cost=0.668983, test acc=0.701277, cost=0.576085, disagree_f1=0.810168, agree_f1=0.299401, average_f1=0.554784
BATCH 41 training acc=0.812500, cost=0.492048, test acc=0.702128, cost=0.578688, disagree_f1=0.811219, agree_f1=0.294355, average_f1=0.552787
BATCH 42 training acc=0.812500, cost=0.433720, test acc=0.697872, cost=0.591374, disagree_f1=0.810464, agree_f1=0.255765, average_f1=0.533115
