Using GPU: 0...
X_train.shape=(2384, 2, 64), y_train.shape=(2384,);
X_test.shape=(595, 2, 64), y_test.shape=(595,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9832497860374129
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.406250, cost=0.704913, test acc=0.621849, cost=0.673228, disagree_f1=0.766839, agree_f1=0.000000, average_f1=0.383420
BATCH 2 training acc=0.687500, cost=0.657925, test acc=0.621849, cost=0.655186, disagree_f1=0.766839, agree_f1=0.000000, average_f1=0.383420
BATCH 3 training acc=0.562500, cost=0.679322, test acc=0.621849, cost=0.650848, disagree_f1=0.766839, agree_f1=0.000000, average_f1=0.383420
BATCH 4 training acc=0.750000, cost=0.564086, test acc=0.621849, cost=0.662569, disagree_f1=0.766839, agree_f1=0.000000, average_f1=0.383420
BATCH 5 training acc=0.562500, cost=0.743476, test acc=0.621849, cost=0.659869, disagree_f1=0.766839, agree_f1=0.000000, average_f1=0.383420
BATCH 6 training acc=0.562500, cost=0.741815, test acc=0.621849, cost=0.647651, disagree_f1=0.766839, agree_f1=0.000000, average_f1=0.383420
BATCH 7 training acc=0.656250, cost=0.596871, test acc=0.621849, cost=0.642966, disagree_f1=0.766839, agree_f1=0.000000, average_f1=0.383420
BATCH 8 training acc=0.437500, cost=0.755405, test acc=0.636975, cost=0.645377, disagree_f1=0.773109, agree_f1=0.092437, average_f1=0.432773
BATCH 9 training acc=0.656250, cost=0.676685, test acc=0.640336, cost=0.654245, disagree_f1=0.764317, agree_f1=0.241135, average_f1=0.502726
BATCH 10 training acc=0.750000, cost=0.623762, test acc=0.653782, cost=0.651602, disagree_f1=0.776573, agree_f1=0.231343, average_f1=0.503958
BATCH 11 training acc=0.687500, cost=0.638105, test acc=0.643697, cost=0.644708, disagree_f1=0.776371, agree_f1=0.123967, average_f1=0.450169
BATCH 12 training acc=0.781250, cost=0.595268, test acc=0.621849, cost=0.636334, disagree_f1=0.766839, agree_f1=0.000000, average_f1=0.383420
BATCH 13 training acc=0.625000, cost=0.600983, test acc=0.621849, cost=0.632622, disagree_f1=0.766839, agree_f1=0.000000, average_f1=0.383420
BATCH 14 training acc=0.562500, cost=0.681677, test acc=0.621849, cost=0.633377, disagree_f1=0.766839, agree_f1=0.000000, average_f1=0.383420
BATCH 15 training acc=0.625000, cost=0.646934, test acc=0.621849, cost=0.634624, disagree_f1=0.766839, agree_f1=0.000000, average_f1=0.383420
BATCH 16 training acc=0.718750, cost=0.624406, test acc=0.621849, cost=0.636048, disagree_f1=0.766839, agree_f1=0.000000, average_f1=0.383420
