Using GPU: 1...
X_train.shape=(4700, 2, 64), y_train.shape=(4700,);
X_test.shape=(1176, 2, 64), y_test.shape=(1176,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9742634608872334
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.q2q_attention_layer.0.weight
model.q2q_attention_layer.0.bias
model.q2q_attention_layer.3.weight
model.q2q_attention_layer.3.bias
model.r2r_attention_layer.0.weight
model.r2r_attention_layer.0.bias
model.r2r_attention_layer.3.weight
model.r2r_attention_layer.3.bias
model.cross_dot_v2_r2q_attention_layer.0.weight
model.cross_dot_v2_r2q_attention_layer.0.bias
model.cross_dot_v2_q2r_attention_layer.0.weight
model.cross_dot_v2_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.625000, cost=0.683234, test acc=0.676020, cost=0.625356, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 2 training acc=0.531250, cost=0.725608, test acc=0.676020, cost=0.625552, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 3 training acc=0.500000, cost=0.738565, test acc=0.676020, cost=0.635240, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 4 training acc=0.750000, cost=0.610638, test acc=0.676020, cost=0.634585, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 5 training acc=0.656250, cost=0.637401, test acc=0.676020, cost=0.626719, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 6 training acc=0.687500, cost=0.630638, test acc=0.676020, cost=0.617636, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 7 training acc=0.531250, cost=0.708970, test acc=0.676020, cost=0.614768, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 8 training acc=0.718750, cost=0.578794, test acc=0.676020, cost=0.611376, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 9 training acc=0.750000, cost=0.590753, test acc=0.676020, cost=0.612533, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 10 training acc=0.562500, cost=0.719582, test acc=0.676020, cost=0.610516, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 11 training acc=0.593750, cost=0.651012, test acc=0.676871, cost=0.607065, disagree_f1=0.807107, agree_f1=0.005236, average_f1=0.406171
BATCH 12 training acc=0.562500, cost=0.686013, test acc=0.678571, cost=0.611183, disagree_f1=0.806946, agree_f1=0.040609, average_f1=0.423778
BATCH 13 training acc=0.656250, cost=0.608124, test acc=0.704082, cost=0.620594, disagree_f1=0.810251, agree_f1=0.328185, average_f1=0.569218
BATCH 14 training acc=0.812500, cost=0.588590, test acc=0.692177, cost=0.622591, disagree_f1=0.788551, agree_f1=0.434375, average_f1=0.611463
BATCH 15 training acc=0.812500, cost=0.534393, test acc=0.693027, cost=0.612818, disagree_f1=0.790238, agree_f1=0.427892, average_f1=0.609065
BATCH 16 training acc=0.625000, cost=0.624424, test acc=0.695578, cost=0.604383, disagree_f1=0.794960, agree_f1=0.409241, average_f1=0.602100
BATCH 17 training acc=0.656250, cost=0.586653, test acc=0.702381, cost=0.603145, disagree_f1=0.804905, agree_f1=0.372760, average_f1=0.588833
BATCH 18 training acc=0.687500, cost=0.639955, test acc=0.702381, cost=0.608675, disagree_f1=0.807903, agree_f1=0.339623, average_f1=0.573763
