Using GPU: 1...
X_train.shape=(4701, 2, 64), y_train.shape=(4701,);
X_test.shape=(1175, 2, 64), y_test.shape=(1175,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9742634608872334
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.r2q_attention_layer.0.weight
model.r2q_attention_layer.0.bias
model.r2q_attention_layer.3.weight
model.r2q_attention_layer.3.bias
model.q2r_attention_layer.0.weight
model.q2r_attention_layer.0.bias
model.q2r_attention_layer.3.weight
model.q2r_attention_layer.3.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.468750, cost=0.693932, test acc=0.666383, cost=0.630887, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 2 training acc=0.750000, cost=0.579894, test acc=0.666383, cost=0.653656, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 3 training acc=0.656250, cost=0.679503, test acc=0.666383, cost=0.662616, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 4 training acc=0.750000, cost=0.541879, test acc=0.666383, cost=0.656709, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 5 training acc=0.718750, cost=0.600658, test acc=0.666383, cost=0.635316, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 6 training acc=0.750000, cost=0.532521, test acc=0.666383, cost=0.626025, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 7 training acc=0.625000, cost=0.684933, test acc=0.666383, cost=0.617729, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 8 training acc=0.625000, cost=0.633906, test acc=0.667234, cost=0.619284, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
BATCH 9 training acc=0.750000, cost=0.604118, test acc=0.667234, cost=0.617859, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
BATCH 10 training acc=0.718750, cost=0.594642, test acc=0.667234, cost=0.612603, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
BATCH 11 training acc=0.437500, cost=0.771928, test acc=0.667234, cost=0.612034, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
BATCH 12 training acc=0.687500, cost=0.587173, test acc=0.667234, cost=0.608297, disagree_f1=0.800204, agree_f1=0.005089, average_f1=0.402647
BATCH 13 training acc=0.562500, cost=0.768521, test acc=0.670638, cost=0.610004, disagree_f1=0.801233, agree_f1=0.039702, average_f1=0.420467
BATCH 14 training acc=0.812500, cost=0.530653, test acc=0.672340, cost=0.606188, disagree_f1=0.802057, agree_f1=0.049383, average_f1=0.425720
BATCH 15 training acc=0.718750, cost=0.610302, test acc=0.669787, cost=0.601624, disagree_f1=0.801433, agree_f1=0.020202, average_f1=0.410817
BATCH 16 training acc=0.593750, cost=0.680853, test acc=0.669787, cost=0.600326, disagree_f1=0.801433, agree_f1=0.020202, average_f1=0.410817
BATCH 17 training acc=0.593750, cost=0.647937, test acc=0.669787, cost=0.598992, disagree_f1=0.801230, agree_f1=0.025126, average_f1=0.413178
BATCH 18 training acc=0.593750, cost=0.679430, test acc=0.671489, cost=0.598437, disagree_f1=0.800207, agree_f1=0.076555, average_f1=0.438381
