Using GPU: 1...
X_train.shape=(4701, 2, 64), y_train.shape=(4701,);
X_test.shape=(1175, 2, 64), y_test.shape=(1175,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9742634608872334
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.cross_dot_v2_r2q_attention_layer.0.weight
model.cross_dot_v2_r2q_attention_layer.0.bias
model.cross_dot_v2_q2r_attention_layer.0.weight
model.cross_dot_v2_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.500000, cost=0.700313, test acc=0.660426, cost=0.640727, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 2 training acc=0.656250, cost=0.627917, test acc=0.660426, cost=0.640372, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 3 training acc=0.687500, cost=0.615547, test acc=0.660426, cost=0.658389, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 4 training acc=0.750000, cost=0.528273, test acc=0.660426, cost=0.683930, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 5 training acc=0.593750, cost=0.772143, test acc=0.660426, cost=0.660298, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 6 training acc=0.500000, cost=0.841341, test acc=0.660426, cost=0.629216, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 7 training acc=0.562500, cost=0.701022, test acc=0.660426, cost=0.627203, disagree_f1=0.795489, agree_f1=0.000000, average_f1=0.397745
BATCH 8 training acc=0.593750, cost=0.640968, test acc=0.649362, cost=0.655039, disagree_f1=0.764302, agree_f1=0.315615, average_f1=0.539958
BATCH 9 training acc=0.781250, cost=0.635153, test acc=0.594894, cost=0.672920, disagree_f1=0.673973, agree_f1=0.465169, average_f1=0.569571
BATCH 10 training acc=0.625000, cost=0.671861, test acc=0.558298, cost=0.684135, disagree_f1=0.595479, agree_f1=0.513590, average_f1=0.554534
BATCH 11 training acc=0.437500, cost=0.717490, test acc=0.546383, cost=0.687138, disagree_f1=0.568421, agree_f1=0.521973, average_f1=0.545197
BATCH 12 training acc=0.562500, cost=0.675521, test acc=0.603404, cost=0.667310, disagree_f1=0.668563, agree_f1=0.506356, average_f1=0.587460
BATCH 13 training acc=0.750000, cost=0.605795, test acc=0.666383, cost=0.634583, disagree_f1=0.762712, agree_f1=0.438395, average_f1=0.600554
BATCH 14 training acc=0.718750, cost=0.622270, test acc=0.675745, cost=0.609296, disagree_f1=0.792597, agree_f1=0.257310, average_f1=0.524953
BATCH 15 training acc=0.656250, cost=0.653378, test acc=0.669787, cost=0.607964, disagree_f1=0.799172, agree_f1=0.071770, average_f1=0.435471
BATCH 16 training acc=0.718750, cost=0.537549, test acc=0.659574, cost=0.626089, disagree_f1=0.794661, agree_f1=0.004975, average_f1=0.399818
BATCH 17 training acc=0.718750, cost=0.560191, test acc=0.660426, cost=0.648793, disagree_f1=0.795280, agree_f1=0.004988, average_f1=0.400134
BATCH 18 training acc=0.781250, cost=0.509120, test acc=0.660426, cost=0.666280, disagree_f1=0.795280, agree_f1=0.004988, average_f1=0.400134
BATCH 19 training acc=0.687500, cost=0.582803, test acc=0.660426, cost=0.659582, disagree_f1=0.795280, agree_f1=0.004988, average_f1=0.400134
BATCH 20 training acc=0.625000, cost=0.626827, test acc=0.660426, cost=0.639488, disagree_f1=0.795069, agree_f1=0.009926, average_f1=0.402497
BATCH 21 training acc=0.656250, cost=0.775130, test acc=0.670638, cost=0.614093, disagree_f1=0.799586, agree_f1=0.076372, average_f1=0.437979
BATCH 22 training acc=0.687500, cost=0.578342, test acc=0.678298, cost=0.600474, disagree_f1=0.801262, agree_f1=0.156250, average_f1=0.478756
BATCH 23 training acc=0.687500, cost=0.551808, test acc=0.691915, cost=0.598274, disagree_f1=0.802186, agree_f1=0.303846, average_f1=0.553016
BATCH 24 training acc=0.781250, cost=0.486518, test acc=0.690213, cost=0.598556, disagree_f1=0.793651, agree_f1=0.378840, average_f1=0.586245
BATCH 25 training acc=0.750000, cost=0.545124, test acc=0.688511, cost=0.597114, disagree_f1=0.787209, agree_f1=0.419048, average_f1=0.603128
BATCH 26 training acc=0.781250, cost=0.555655, test acc=0.688511, cost=0.594690, disagree_f1=0.788194, agree_f1=0.411576, average_f1=0.599885
BATCH 27 training acc=0.781250, cost=0.514448, test acc=0.691064, cost=0.598623, disagree_f1=0.793162, agree_f1=0.389916, average_f1=0.591539
BATCH 28 training acc=0.718750, cost=0.604344, test acc=0.689362, cost=0.604434, disagree_f1=0.793902, agree_f1=0.369603, average_f1=0.581752
BATCH 29 training acc=0.750000, cost=0.573116, test acc=0.688511, cost=0.608460, disagree_f1=0.794843, agree_f1=0.353357, average_f1=0.574100
BATCH 30 training acc=0.562500, cost=0.790203, test acc=0.691064, cost=0.602888, disagree_f1=0.796411, agree_f1=0.359788, average_f1=0.578099
BATCH 31 training acc=0.781250, cost=0.523612, test acc=0.691064, cost=0.596858, disagree_f1=0.795262, agree_f1=0.370884, average_f1=0.583073
BATCH 32 training acc=0.750000, cost=0.605985, test acc=0.693617, cost=0.590915, disagree_f1=0.792865, agree_f1=0.411765, average_f1=0.602315
BATCH 33 training acc=0.781250, cost=0.511298, test acc=0.695319, cost=0.588832, disagree_f1=0.793541, agree_f1=0.418831, average_f1=0.606186
BATCH 34 training acc=0.531250, cost=0.697551, test acc=0.692766, cost=0.588816, disagree_f1=0.788518, agree_f1=0.438569, average_f1=0.613544
BATCH 35 training acc=0.750000, cost=0.559250, test acc=0.695319, cost=0.589242, disagree_f1=0.790398, agree_f1=0.442368, average_f1=0.616383
